Relatório ;0;;;;;;;
Entre ;06/03/2013 00:00:00 e 06/03/2013 23:59:59 ;tirado em 06/03/2013 17:12:04;;;;;;
Data/Hora;Ordem;Descrição;Pago;Troco;Valor;Forma;Feito;
00/00/0000 00:00:00;#225290/2;Certidão de Distribuições Criminais ;;;64.00;Dinheiro;Não;
00/00/0000 00:00:00;#225290/6;Certidão de Distribuições Criminais ;;;14.00;Dinheiro;Não;
00/00/0000 00:00:00;#225290/5;Certidão de Distribuições Criminais ;;;14.00;Dinheiro;Não;
;

00/00/0000 00:00:00;#225290/1;Certidão de Matrícula Atualizada com Neg;;;80.01;Dinheiro;Não;
;

00/00/0000 00:00:00;#225290/4;Distribuidor Civel ;;;14.00;Dinheiro;Não;
00/00/0000 00:00:00;#225290/3;Distribuidor Civel ;;;14.00;Dinheiro;Não;
00/00/0000 00:00:00;#225290/7;Distribuidor Civel ;;;14.00;Dinheiro;Não;
;;;;Total;214.01;;;
