Referência;09/2014;
Franquia;Royalties;Fundo de Propaganda;Faturamento;Despesa;Tipo
Açailandia - MA;R$ 500,00;R$ 50,00;R$ 150,00;R$ 0,00;Fixo 500.00 semestre
Afrânio - PE;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Alagoinhas - BA;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Americana - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Américo Brasiliense - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Ananindeua - PA;R$ 500,00;R$ 75,20;R$ 3.760,00;R$ 0,00;Fixo 500.00 semestre
Anápolis - GO;R$ 500,00;R$ 50,00;R$ 1.135,00;R$ 0,00;Fixo 500.00 semestre
Angra dos Reis - RJ;R$ 500,00;R$ 50,00;R$ 3.477,64;R$ 0,00;Fixo 500.00 semestre
Aparecida de Goiânia  - GO;R$ 0,00;R$ 0,00;R$ 6.399,74;R$ 0,00;0.00% do Bruto
Aracaju - SE;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Araçatuba - SP;R$ 57,00;R$ 22,80;R$ 1.140,00;R$ 0,00;5.00% do Bruto
Araguaína - TO;R$ 500,00;R$ 38,36;R$ 1.918,00;R$ 0,00;Fixo 500.00 semestre
Araguari - MG;R$ 500,00;R$ 38,80;R$ 1.940,00;R$ 0,00;Fixo 500.00 semestre
Araraquara - SP;R$ 72,80;R$ 29,12;R$ 1.456,00;R$ 0,00;5.00% do Bruto
Araras - SP;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Araxá - MG;R$ 500,00;R$ 39,66;R$ 1.982,86;R$ 0,00;Fixo 500.00 semestre
Assis - SP;R$ 500,00;R$ 65,20;R$ 3.259,78;R$ 0,00;Fixo 500.00 semestre
Assis Chateaubriand - PR;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Avaré - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Bacabal - MA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Bagé - RS;R$ 500,00;R$ 50,00;R$ 956,98;R$ 0,00;Fixo 500.00 semestre
Balneário Camboriú - SC;R$ 500,00;R$ 0,00;R$ 2.151,00;R$ 0,00;Fixo 500.00 semestre
Balsas - MA;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Barretos - SP;R$ 237,22;R$ 94,89;R$ 4.744,39;R$ 0,00;5.00% do Bruto
Barueri - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Barueri Lj 02 - SP;R$ 1.500,00;R$ 150,00;R$ 15.177,94;R$ 0,00;Fixo 1500.00 semestre
Batatais - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Bauru - SP;R$ 500,00;R$ 50,00;R$ 10.698,86;R$ 0,00;Fixo 500.00 semestre
Bebedouro - SP;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Belém - PA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Belo Horizonte LJ 01 - MG;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Belo Horizonte LJ 02 - MG;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Belo Horizonte LJ 03 - MG;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Bento Gonçalves - RS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Betim - MG;R$ 44,75;R$ 17,90;R$ 895,00;R$ 0,00;5.00% do Bruto
Birigui - SP;R$ 500,00;R$ 2,82;R$ 140,80;R$ 0,00;Fixo 500.00 semestre
Blumenau - SC;R$ 5,00;R$ 2,00;R$ 100,00;R$ 0,00;5.00% do Bruto
Boa Esperança - MG;R$ 500,00;R$ 50,00;R$ 1.037,00;R$ 0,00;Fixo 500.00 semestre
Boa Vista - RR;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Boituva - SP;R$ 500,00;R$ 3,80;R$ 190,00;R$ 0,00;Fixo 500.00 semestre
Bom Jesus da Lapa - BA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Bonsucesso - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Bragança Paulista - SP;R$ 500,00;R$ 50,00;R$ 3.360,00;R$ 0,00;Fixo 500.00 semestre
Brasília - LJ 02  - DF;R$ 1.000,00;R$ 27,55;R$ 1.377,30;R$ 0,00;Fixo 1000.00 semestre
Brasília - LJ 03  - DF;R$ 1.500,00;R$ 150,00;R$ 495,00;R$ 0,00;Fixo 1500.00 semestre
Brasília LJ 04 - DF;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Bruxelas - Bélgica;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0.00% do Bruto
Cabo de Santo Agostinho - PE;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Cabo Frio - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Caçapava - SP;R$ 300,00;R$ 30,00;R$ 1.695,00;R$ 0,00;Fixo 300.00 semestre
Caeté - MG;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Caetité - BA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Camaçari - BA;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Camaçari LJ 02 - BA;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Campinas - SP;R$ 1.000,00;R$ 100,00;R$ 1.350,00;R$ 0,00;Fixo 1000.00 semestre
Campinas LJ 03 - SP;R$ 1.000,00;R$ 16,16;R$ 808,15;R$ 0,00;Fixo 1000.00 semestre
Campinas/Jundiaí - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Campo Grande - MS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Campo Grande - RJ;R$ 500,00;R$ 50,00;R$ 5.664,00;R$ 0,00;Fixo 500.00 semestre
Campo Mourão - PR;R$ 500,00;R$ 1,33;R$ 66,38;R$ 0,00;Fixo 500.00 semestre
Campos do Jordão - SP;R$ 500,00;R$ 50,00;R$ 62,26;R$ 0,00;Fixo 500.00 semestre
Campos dos Goytacazes - RJ;R$ 1.000,00;R$ 100,00;R$ 225,00;R$ 0,00;Fixo 1000.00 semestre
Canaã dos Carajás - PA;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Canoas - RS;R$ 500,00;R$ 50,00;R$ 1.250,00;R$ 0,00;Fixo 500.00 semestre
Caraguatatuba - SP;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Caratinga - MG;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Carioca - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Uruçui - PI;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Caruaru - PE;R$ 500,00;R$ 50,00;R$ 610,00;R$ 0,00;Fixo 500.00 semestre
Catalão - GO;R$ 350,00;R$ 35,00;R$ 2.382,00;R$ 0,00;Fixo 350.00 semestre
Caxias do Sul - RS;R$ 500,00;R$ 50,00;R$ 4.694,17;R$ 0,00;Fixo 500.00 semestre
Ceará - CE;R$ 2.000,00;R$ 200,00;R$ 3.303,00;R$ 0,00;Fixo 2000.00 semestre
Chapadinha - MA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Chapecó - SC;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Cianorte - PR;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Conselheiro Lafaiete - MG;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Consolação - SP;R$ 1.000,00;R$ 100,00;R$ 6.694,94;R$ 0,00;Fixo 1000.00 semestre
Contagem - MG;R$ 500,00;R$ 50,00;R$ 250,00;R$ 0,00;Fixo 500.00 semestre
Copacabana - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Cotia - SP;R$ 1.000,00;R$ 82,12;R$ 4.106,00;R$ 0,00;Fixo 1000.00 semestre
Cubatão - SP;R$ 500,00;R$ 50,00;R$ 3.868,67;R$ 0,00;Fixo 500.00 semestre
Cuiabá - MT;R$ 1.500,00;R$ 150,00;R$ 0,00;R$ 0,00;Fixo 1500.00 semestre
Curitiba - PR;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Curitiba Lj 02 - PR;R$ 1.000,00;R$ 100,00;R$ 7.600,00;R$ 0,00;Fixo 1000.00 semestre
Diadema - SP;R$ 500,00;R$ 138,18;R$ 6.909,00;R$ 0,00;Fixo 500.00 semestre
Dracena - SP;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Duque de Caxias - RJ;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Extrema - MG;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Fazenda Rio Grande - PR;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Flamengo - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Florianópolis  - SC;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Florianópolis LJ 02 - SC;R$ 500,00;R$ 50,00;R$ 827,00;R$ 0,00;Fixo 500.00 semestre
Formiga - MG;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Foz do Iguaçu - PR;R$ 500,00;R$ 50,00;R$ 8.739,03;R$ 0,00;Fixo 500.00 semestre
Franca - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Francisco Beltrão - PR;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Goianésia - GO;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Goiânia - GO;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Governador Valadares - MG;R$ 1.000,00;R$ 35,27;R$ 1.763,30;R$ 0,00;Fixo 1000.00 semestre
Guanambi - BA;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Guarapari - ES;R$ 126,00;R$ 50,40;R$ 2.520,00;R$ 0,00;5.00% do Bruto
Guarapuava - PR;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Guaratinguetá - SP;R$ 500,00;R$ 4,91;R$ 245,71;R$ 0,00;Fixo 500.00 semestre
Guariba - SP;R$ 350,00;R$ 35,00;R$ 0,00;R$ 0,00;Fixo 350.00 semestre
Guarujá  - SP;R$ 1.000,00;R$ 100,00;R$ 0,00;R$ 0,00;Fixo 1000.00 semestre
Guarulhos - SP;R$ 1.000,00;R$ 100,00;R$ 3.517,54;R$ 0,00;Fixo 1000.00 semestre
