Relatório ;0;;;;;;;
Entre ;18/05/2015 00:00:00 e 18/05/2015 23:59:59 ;tirado em 18/05/2015 11:55:45;;;;;;
Data/Hora;Ordem;Descrição;Pago;Troco;Valor;Forma;Feito;
00/00/0000 00:00:00;#348152/1;Casamento ;;;185.00;Depósito;Não;
;

00/00/0000 00:00:00;#358858/1;Casamento +Daje;;;23.41;Boleto;Não;
;

00/00/0000 00:00:00;#357160/1;Certidão de Matrícula Atualizada com Neg;;;127.28;Depósito;Não;
;

00/00/0000 00:00:00;#360476/1;Inteiro Teor - Nascimento +carta registr;;;24.00;Depósito;Não;
;

00/00/0000 00:00:00;#360482/2;Matricula Atualizada + honorário + posta;;;282.57;Depósito;Não;
00/00/0000 00:00:00;#360482/1;Matricula Atualizada + honorário + posta;;;282.57;Depósito;Não;
;;;;Total;924.83;;;
