Referência;03/2013;
Franquia;Royalties;Fundo de Propaganda;Faturamento;Despesa;Tipo
Águas de Lindóia - SP;R$ 0,00;R$ 3,00;R$ 150,00;R$ 0,00;0.00% do Bruto
Alagoinhas - BA;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Alfenas - MG;R$ 500,00;R$ 7,57;R$ 378,31;R$ 0,00;Fixo 500.00 semestre
Amazonas - AM;R$ 44,38;R$ 17,75;R$ 887,55;R$ 0,00;5.00% do Bruto
Américo Brasiliense - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Anália Franco - SP;R$ 800,00;R$ 80,00;R$ 2.005,00;R$ 0,00;Fixo 800.00 semestre
Ananindeua - PA;R$ 500,00;R$ 54,60;R$ 2.730,00;R$ 0,00;Fixo 500.00 semestre
Aparecida de Goiânia - GO;R$ 500,00;R$ 50,00;R$ 5.002,80;R$ 0,00;Fixo 500.00 semestre
Apucarana - PR;R$ 500,00;R$ 7,83;R$ 391,28;R$ 0,00;Fixo 500.00 semestre
Araçatuba - SP;R$ 9,50;R$ 3,80;R$ 190,00;R$ 0,00;5.00% do Bruto
Araguaína - TO;R$ 500,00;R$ 2,06;R$ 103,00;R$ 0,00;Fixo 500.00 semestre
Araguari - MG;R$ 500,00;R$ 22,20;R$ 1.110,00;R$ 0,00;Fixo 500.00 semestre
Arapongas - PR;R$ 500,00;R$ 12,53;R$ 626,62;R$ 0,00;Fixo 500.00 semestre
Araraquara - SP;R$ 79,25;R$ 31,70;R$ 1.585,00;R$ 0,00;5.00% do Bruto
Araruama - RJ;R$ 300,00;R$ 12,20;R$ 610,21;R$ 0,00;Fixo 300.00 semestre
Araxá - MG;R$ 500,00;R$ 22,97;R$ 1.148,29;R$ 0,00;Fixo 500.00 semestre
Assis - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Atibaia - SP;R$ 500,00;R$ 3,68;R$ 184,00;R$ 0,00;Fixo 500.00 semestre
Balneário Camboriú - SC;R$ 1.000,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 1000.00 semestre
Barra da Tijuca - Rio de Janeiro - RJ;R$ 875,00;R$ 27,66;R$ 1.383,00;R$ 0,00;Fixo 875.00 semestre
Barreiras - BA;R$ 500,00;R$ 47,78;R$ 2.389,00;R$ 0,00;Fixo 500.00 semestre
Barretos - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
