Referência;2010;
CLIENTE;CNPJ;VALOR Janeiro;PEDIDOS Janeiro;VALOR Fevereiro;PEDIDOS Fevereiro;VALOR Março;PEDIDOS Março;VALOR Abril;PEDIDOS Abril;VALOR Maio;PEDIDOS Maio;VALOR Junho;PEDIDOS Junho;VALOR Julho;PEDIDOS Julho;VALOR Agosto;PEDIDOS Agosto;VALOR Setembro;PEDIDOS Setembro;VALOR Outubro;PEDIDOS Outubro;VALOR Novembro;PEDIDOS Novembro;VALOR Dezembro;PEDIDOS Dezembro;VALOR Ano;Pedidos Ano;
		caixa economica federal;	00.360.305/0453-96;0,00;0;0,00;0;600,00;2;0,00;0;159,00;1;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;759,00;3,00
MONTEIRO & SARAN ADVOGADOS ASSOCIADOS S/C ;	01.501.108/0001-20;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;40,00;1;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;40,00;1,00
BOTHOMÉ ADVOGADOS ASSOCIADOS;	02.492.252/0001-00;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;50,00;1;0,00;0;0,00;0;0,00;0;50,00;1,00
Cabanellos Schuuh;	04.374.945/0001-24;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;826,00;13;0,00;0;7814,30;82;2601,00;23;238,00;2;0,00;0;0,00;0;11479,30;120,00
Brandão e Duarte Advogados Associados;	04.593.912/0001-75;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;675,00;10;0,00;0;109,00;1;0,00;0;784,00;11,00
Porto Shop S/A;	05.047.690/0002-39;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;90,00;1;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;90,00;1,00
David &Schmidt Advogados ;	05.470.139/0001-12;0,00;0;0,00;0;0,00;0;0,00;0;2828,60;65;0,00;0;7728,00;150;3226,50;54;12654,00;216;5120,01;106;585,00;5;219,00;1;32361,11;597,00
Agroimport do Brasil;	05.625.220/0001-24;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;250,00;5;90,00;1;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;340,00;6,00
VELLOSO E FRAÇÃO ADVOGADOS ASSOCIADOS;	07.411.217/0001-33;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;300,00;2;0,00;0;0,00;0;0,00;0;0,00;0;300,00;2,00
Office Assessoria e Consultoria Ltda.;	08.574.798/0001-97;0,00;0;0,00;0;0,00;0;0,00;0;331,60;5;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;331,60;5,00
Display Card ;	08.654.997/0001-05;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;757,00;10;0,00;0;0,00;0;757,00;10,00
GERSON BRANCO ADVOGADOS;	10.504.232/0001-30;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;500,02;3;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;389,00;1;889,02;4,00
Marcelo F N Souza - BANCO DO BRASIL;	72.134.109/0001-22;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;166,50;3;0,00;0;166,50;3,00
FUNDAPLUB - Novembro 2010;	88.926.381/0001-85;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;40,00;2;0,00;0;40,00;2,00
