Ordens ;Protocolo;Resposta ;Custas ;Motivo de atraso 
#143752/694;;Negativa ;;
#147611/1;;1 Posistiva;;
#148420/2;;Negativa ;;
#148420/4;;Negativa ;;
#148443/1;;1 Posistiva;;
#148456/2;;2 Posistiva;;
#148484/2;;3 Posistiva;;
#148484/4;;Negativa ;;
#148484/6;;2 Posistiva;;
#148484/8;;Negativa ;;
#148484/10;;4 Posistiva;;
#148484/12;;Negativa ;;
#148484/14;;4 Posistiva;;
#148484/16;;Negativa ;;
#148490/2;;3 Posistiva;;
#148490/4;;Negativa ;;
#148490/6;;Negativa ;;
#148490/8;;Negativa ;;
#148490/10;;1 Posistiva;;
#148490/12;;Negativa ;;
#148490/14;;Negativa ;;
#148490/16;;Negativa ;;
#148490/18;;6 Positiva ;;
#148490/20;;Negativa ;;
#148490/22;;Negativa ;;
#148490/24;;Negativa ;;
#148490/26;;Negativa ;;
#148490/28;;Negativa ;;
#148490/30;;Negativa ;;
#148490/32;;Negativa ;;
#148490/34;;3 Positiva ;;
#148490/36;;1 Positiva ;;
#148490/38;;6 Positiva ;;
#148490/40;;Negativa ;;
#148499/2;;2 Positiva ;;
#148499/4;;Negativa ;;
#148499/6;;Negativa ;;
#148499/8;;Negativa ;;
#148499/10;;4 Positiva ;;
#148499/12;;Negativa ;;
#148499/14;;1 Positiva ;;
#148499/16;;Negativa ;;
#148499/18;;Negativa ;;
#148499/20;;Negativa ;;
#148499/22;;Negativa ;;
#148499/24;;Negativa ;;
#148499/26;;Negativa ;;
#148508/2;;1 Positiva ;;
#148508/4;;Negativa ;;
#148508/6;;1 Positiva ;;
#148508/8;;1 Positiva ;;
#148508/10;;Negativa ;;
#148508/12;;Negativa ;;
#148508/14;;1 Positiva ;;
#148539/2;;2 Positiva ;;
#148539/4;;Negativa ;;
#148539/6;;Negativa ;;
#148539/8;;Negativa ;;
#148543/2;;2 Positiva ;;
#148546/2;;4 Positiva ;;
#148546/4;;Negativa ;;
#148546/6;;Negativa ;;
#148551/2;;1 Positiva ;;
#148551/4;;;;
#148551/6;;1 Positiva ;;
#148563/2;;1 Positiva ;;
#148563/4;;Negativa ;;
#148599/1;;Negativa ;;
#148599/2;;Negativa ;;
#148599/3;;Negativa ;;
#148599/4;;1 Positiva ;;
#148599/5;;2 Positiva ;;
#148599/6;;3 Positiva ;;
#148599/7;;6 Positiva ;;
#148599/8;;1 Positiva ;;
#148599/9;;Negativa ;;
#148599/10;;Negativa ;;
#148599/11;;1 Positiva ;;
#148599/12;;2 Positiva ;;
#148599/13;;Negativa ;;
#148599/14;;1 Positiva ;;
#148599/15;;Negativa ;;
#148599/16;;1 Positiva ;;
#148599/17;;2 Positiva ;;
#148599/18;;2 Positiva ;;
#148599/19;;2 Positiva ;;
#148599/20;;1 Positiva ;;
#148599/21;;Negativa ;;
#148599/22;;3 Positiva ;;
#148599/23;;1 Positiva ;;
#148599/24;;Negativa ;;
#148599/25;;1 Positiva ;;
#148599/26;;1 Positiva ;;
#148599/27;;Negativa ;;
#148599/28;;2 Positiva ;;
#148599/29;;2 Positiva ;;
#148599/30;;1 Positiva ;;
#148599/31;;Negativa ;;
#148599/32;;2 Positiva ;;
#148599/33;;Negativa ;;
#148599/34;;Negativa ;;
#148599/35;;1 Positiva ;;
#148599/36;;Negativa ;;
#148599/37;;3 Positiva ;;
#148599/38;;Negativa ;;
#148599/39;;1 Positiva ;;
#148599/40;;Negativa ;;
#148599/41;;2 Positiva ;;
#148599/42;;Negativa ;;
#148599/43;;Negativa ;;
#148599/44;;4 Positiva ;;
#148599/45;;2 Positiva ;;
#148599/46;;Negativa ;;
#148599/47;;Negativa ;;
#148599/48;;1 Positiva ;;
#148599/49;;Negativa ;;
#148599/50;;3 Positiva ;;
#148599/51;;7 Positiva ;;
#148599/52;;1 Positiva ;;
#148599/53;;Negativa ;;
#148599/54;;1 Positiva ;;
