Ordens ;Protocolo;Resposta ;Custas ;Motivo de atrazo
#148599/475;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148927/2;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#148927/4;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#148927/6;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#148934/2;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#148934/4;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/1;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/2;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/3;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#148946/4;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/5;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/6;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#148946/7;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/8;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/9;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#148946/10;;1 Positiva ;;Detran não emitiu a certidão na data prometida
#148946/11;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/12;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/13;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/14;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/15;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/16;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/17;;2 Positiva ;;Detran não emitiu a certidão na data prometida
#148946/18;;2 Positiva ;;Detran não emitiu a certidão na data prometida
#148946/19;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/20;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/21;;3 Positiva ;;Detran não emitiu a certidão na data prometida 
#148946/22;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#148946/23;;4 Positiva ;;Detran não emitiu a certidão na data prometida 
#148946/24;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/25;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/26;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/27;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/28;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/29;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#148946/30;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/31;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#148946/32;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#148946/33;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/34;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/35;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#148946/36;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#148946/37;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#148946/38;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/39;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/40;;2 Positiva ;;Detran não emitiu a certidão na data prometida
#148946/41;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/42;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#148946/43;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/44;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/45;;1 Positiva ;;Detran não emitiu a certidão na data prometida
#148946/46;;Negativa ;;Detran não emitiu a certidão na data prometida 
#148946/47;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#148946/48;;Negativa ;;Detran não emitiu a certidão na data prometida 
