Ordens ;Protocolo;Resposta ;Custas ;Motivo de atrazo
#151239/2;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151287/4;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151329/4;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/1;;3 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/3;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/9;;5 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/12;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/14;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/16;;3 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/19;;1 Positiva ;;Detran não emitiu certidadão na data prometida
#151345/24;;3 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/25;;3 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/27;;3 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/30;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/31;;3 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/32;;8 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/34;;4 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/35;;7 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/36;;5 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/41;;3 Positiva ;;Detran não emitiu certidadão na data prometida
#151345/47;;5 Positiva ;;Detran não emitiu certidadão na data prometida
#151345/49;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/50;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/51;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/52;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/53;;3 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/55;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/58;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/59;;12 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/61;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/63;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/67;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/68;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/72;;6 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/74;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/75;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/76;;3 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/78;;3 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/81;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/82;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/83;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/85;;4 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/89;;2 Positiva ;;Detran não emitiu certidadão na data prometida
#151345/90;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/91;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/94;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/95;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/97;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/98;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/102;;1 Positiva ;;Detran não emitiu certidadão na data prometida
#151345/103;;1 Positiva ;;Detran não emitiu certidadão na data prometida
#151345/104;;2 Positiva ;;Detran não emitiu certidadão na data prometida
#151345/105;;2 Positiva ;;Detran não emitiu certidadão na data prometida
#151345/110;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
