Referência;07/2011;
Franquia;Royalties;Fundo de Propaganda;Faturamento;Despesa;Tipo
Amazonas - AM;R$ 115,00;R$ 46,00;R$ 2.300,00;R$ 0,00;5.00% do Bruto
Aparecida de Goiânia - GO;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;10.50% do Líquido
Araçatuba - SP;R$ 16,50;R$ 6,60;R$ 330,00;R$ 0,00;5.00% do Bruto
Araraquara - SP;R$ 89,60;R$ 35,84;R$ 1.792,02;R$ 0,00;5.00% do Bruto
Balneário Camboriú - SC;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Barretos - SP e Bebedouro-SP;R$ 63,00;R$ 25,20;R$ 1.260,00;R$ 0,00;5.00% do Bruto
Batatais - SP;R$ 14,51;R$ 5,80;R$ 290,20;R$ 0,00;5.00% do Bruto
Bauru - SP;R$ 200,38;R$ 38,17;R$ 5.064,31;R$ 2.928,00;10.50% do Líquido
Belém - PA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Belo Horizonte - MG;R$ 23,31;R$ 9,32;R$ 466,15;R$ 0,00;5.00% do Bruto
Betim - MG;R$ 32,00;R$ 12,80;R$ 640,00;R$ 0,00;5.00% do Bruto
Blumenau - SC;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Bragança Paulista - SP;R$ 172,10;R$ 68,84;R$ 3.442,00;R$ 0,00;5.00% do Bruto
Brasília - DF;R$ 35,65;R$ 14,26;R$ 713,08;R$ 0,00;5.00% do Bruto
Cabo Frio - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Cachoeirinha - RS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Campinas - SP;R$ 318,83;R$ 127,53;R$ 6.376,51;R$ 0,00;5.00% do Bruto
Capivari - SP;R$ 4,00;R$ 1,60;R$ 80,00;R$ 0,00;5.00% do Bruto
Caraguatatuba - SP;R$ 119,75;R$ 47,90;R$ 2.395,00;R$ 0,00;5.00% do Bruto
Cascavel - PR;R$ 21,62;R$ 8,65;R$ 432,40;R$ 0,00;5.00% do Bruto
Chapecó - SC;R$ 257,71;R$ 103,08;R$ 5.154,20;R$ 0,00;5.00% do Bruto
Cuiabá - MT;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Curitiba - PR;R$ 3,42;R$ 1,37;R$ 68,44;R$ 0,00;5.00% do Bruto
Diadema - SP;R$ 211,98;R$ 84,79;R$ 4.239,55;R$ 0,00;5.00% do Bruto
Dourados - MS;R$ 29,00;R$ 11,60;R$ 580,00;R$ 0,00;5.00% do Bruto
Florianópolis - SC;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Goiânia - GO;R$ -2,01;R$ -0,81;R$ 902,35;R$ 902,00;5.00% do Líquido
Guarulhos - SP;R$ 0,00;R$ 237,16;R$ 11.858,00;R$ 0,00;0.00% do Bruto
Hortolândia - SP;R$ 7,74;R$ 3,09;R$ 154,70;R$ 0,00;5.00% do Bruto
Ilhéus - BA;R$ 53,50;R$ 21,40;R$ 1.070,02;R$ 0,00;5.00% do Bruto
Indaiatuba - SP;R$ 130,10;R$ 52,04;R$ 2.602,01;R$ 0,00;5.00% do Bruto
Itabuna - BA;R$ 1.000,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo segundo semestre
Itaguaí - RJ;R$ 267,25;R$ 106,90;R$ 5.345,00;R$ 0,00;5.00% do Bruto
Itaperuna - RJ;R$ 30,50;R$ 12,20;R$ 610,00;R$ 0,00;5.00% do Bruto
Itapetininga - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Itu - SP;R$ 81,75;R$ 32,70;R$ 1.635,00;R$ 0,00;5.00% do Bruto
Jacareí - SP;R$ 29,35;R$ 11,74;R$ 587,00;R$ 0,00;5.00% do Bruto
Jaraguá do Sul - SC;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
João Pessoa - PB;R$ 12,75;R$ 5,10;R$ 255,00;R$ 0,00;5.00% do Bruto
Jundiaí - SP;R$ 116,43;R$ 46,57;R$ 2.328,54;R$ 0,00;5.00% do Bruto
Lajeado - RS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Limeira - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Londrina - PR;R$ 262,82;R$ 50,06;R$ 5.515,20;R$ 2.764,00;10.50% do Líquido
Maceió - AL;R$ 5,00;R$ 2,00;R$ 100,00;R$ 0,00;5.00% do Bruto
Maringá - PR;R$ 150,87;R$ 60,35;R$ 3.017,36;R$ 0,00;5.00% do Bruto
Niterói - RJ;R$ 50,91;R$ 20,36;R$ 1.018,23;R$ 0,00;5.00% do Bruto
Olímpia - SP;R$ 1.500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo terceiro semestre
Osasco - SP;R$ 219,60;R$ 87,84;R$ 4.392,00;R$ 0,00;5.00% do Bruto
Ourinhos - SP;R$ 21,65;R$ 8,66;R$ 433,00;R$ 0,00;5.00% do Bruto
Paraíba - PB;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Patos de Minas - MG;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Piracicaba - SP;R$ 273,98;R$ 109,59;R$ 11.088,64;R$ 5.110,00;5.00% do Líquido
Porto Alegre - RS;R$ 122,67;R$ 23,36;R$ 3.147,90;R$ 1.838,00;10.50% do Líquido
Presidente Prudente - SP;R$ 172,58;R$ 69,03;R$ 3.451,56;R$ 0,00;5.00% do Bruto
Recife - PE;R$ 5,25;R$ 2,10;R$ 105,00;R$ 0,00;5.00% do Bruto
Resende - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Ribeirão Preto - SP;R$ 163,38;R$ 31,12;R$ 1.556,00;R$ 0,00;10.50% do Bruto
Rio de Janeiro - RJ;R$ 48,16;R$ 19,26;R$ 1.185,55;R$ 169,00;5.00% do Líquido
Rio Grande da Serra – SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;10.50% do Líquido
Rondonópolis - MT;R$ 84,33;R$ 33,73;R$ 1.686,65;R$ 0,00;5.00% do Bruto
Salto - SP;R$ 44,10;R$ 17,64;R$ 882,05;R$ 0,00;5.00% do Bruto
Salvador - BA;R$ 1.500,00;R$ 22,14;R$ 1.910,00;R$ 717,00;Fixo terceiro semestre
Santa Bárbara d´Oeste - SP;R$ 113,83;R$ 45,53;R$ 2.276,50;R$ 0,00;5.00% do Bruto
São Bernardo do Campo - SP;R$ 195,30;R$ 78,12;R$ 3.905,99;R$ 0,00;5.00% do Bruto
São Caetano do Sul - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
São Carlos - SP;R$ 64,15;R$ 25,66;R$ 1.283,00;R$ 0,00;5.00% do Bruto
São José - SC;R$ 265,43;R$ 50,56;R$ 7.993,62;R$ 5.106,00;10.50% do Líquido
São José do Rio Preto - SP;R$ 3.453,56;R$ 657,82;R$ 66.548,37;R$ 25.392,00;10.50% do Líquido
São José dos Campos - SP;R$ 702,72;R$ 281,09;R$ 14.054,48;R$ 0,00;5.00% do Bruto
São José dos Pinhais - PR;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
São Luis - MA;R$ 1.243,88;R$ 497,55;R$ 24.877,58;R$ 0,00;5.00% do Bruto
Simões Filho - BA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Sinop - MT;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Sorocaba - SP;R$ 362,86;R$ 69,12;R$ 5.405,00;R$ 1.706,00;10.50% do Líquido
Sumaré - SP;R$ 63,05;R$ 25,22;R$ 1.261,06;R$ 0,00;5.00% do Bruto
Suzano / Itaquaquecetuba / Arujá / Mogi- SP;R$ 565,50;R$ 226,20;R$ 11.310,00;R$ 0,00;5.00% do Bruto
Taubaté - SP;R$ 287,29;R$ 114,92;R$ 5.745,84;R$ 0,00;5.00% do Bruto
Teresópolis - RJ;R$ 9,38;R$ 1,79;R$ 1.558,43;R$ 1.399,00;10.50% do Líquido
Timóteo - MG;R$ 69,50;R$ 13,90;R$ 695,00;R$ 0,00;10.00% do Bruto
Tocantins - TO;R$ 21,06;R$ 8,42;R$ 421,12;R$ 0,00;5.00% do Bruto
Uberlândia - MG;R$ 987,74;R$ 395,09;R$ 19.754,72;R$ 0,00;5.00% do Bruto
Valinhos - SP;R$ 77,44;R$ 30,98;R$ 1.548,83;R$ 0,00;5.00% do Bruto
Vitória - ES;R$ 41,90;R$ 16,76;R$ 837,90;R$ 0,00;5.00% do Bruto
Vitória da Conquista - BA;R$ 2.500,00;R$ 49,06;R$ 2.453,00;R$ 0,00;Fixo terceiro semestre
Total;R$ 19.105,61;R$ 4.322,47;R$ 274.391,06;R$ 48.031,00
