Referência;07/2013;
Franquia;Royalties;Fundo de Propaganda;Faturamento;Despesa;Tipo
 ORLÃNDIA + SÃO JOQUIM DA BARRA, MORRO AGUDO E SALES DE OLIVEIRA - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Açailandia - MA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Águas de Lindóia - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0.00% do Bruto
Alagoinhas - BA;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Alfenas - MG;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Amapá - AP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Amazonas - AM;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Americana - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Américo Brasiliense - SP;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Anália Franco - SP;R$ 800,00;R$ 80,00;R$ 3.248,50;R$ 0,00;Fixo 800.00 semestre
Ananindeua - PA;R$ 500,00;R$ 58,26;R$ 2.913,00;R$ 0,00;Fixo 500.00 semestre
Anápolis - GO;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Aparecida de Goiânia - GO;R$ 500,00;R$ 50,00;R$ 7.504,00;R$ 0,00;Fixo 500.00 semestre
Apucarana - PR;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Aracajú - SE;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Araçatuba - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Araguaína - TO;R$ 500,00;R$ 3,00;R$ 150,00;R$ 0,00;Fixo 500.00 semestre
Araguari - MG;R$ 500,00;R$ 53,84;R$ 2.692,00;R$ 0,00;Fixo 500.00 semestre
Arapongas - PR;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Araraquara - SP;R$ 39,70;R$ 15,88;R$ 794,00;R$ 0,00;5.00% do Bruto
Araras - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Araruama - RJ;R$ 400,00;R$ 9,13;R$ 456,60;R$ 0,00;Fixo 400.00 semestre
Araxá - MG;R$ 500,00;R$ 4,08;R$ 204,22;R$ 0,00;Fixo 500.00 semestre
Assis - SP;R$ 500,00;R$ 10,69;R$ 534,35;R$ 0,00;Fixo 500.00 semestre
Atibaia - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Avaré - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Balneário Camboriú - SC;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Barra da Tijuca - RJ;R$ 875,00;R$ 134,30;R$ 6.715,01;R$ 0,00;Fixo 875.00 semestre
Barreiras - BA;R$ 300,00;R$ 69,53;R$ 3.476,70;R$ 0,00;Fixo 300.00 semestre
Barretos - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Barueri - SP;R$ 12,60;R$ 5,04;R$ 252,00;R$ 0,00;5.00% do Bruto
