Ordens;Protocolo;Resposta ;custas;motivo do atraso
#145956/1;13113;Nada Consta;;
#145956/3;13115;Nada Consta;;
#145956/5;13116;Nada Consta;;
#146054/1;13120;Nada Consta;;
#146123/35;13126;Nada Consta;;
#146123/39;13127;Nada Consta;;
#146123/42;13128;Nada Consta;;
#146123/44;13130;Nada Consta;;
#146123/66;13132;Nada Consta;;
#146123/67;13133;Nada Consta;;
#146123/70;13134;Nada Consta;;
#146123/75;13135;Nada Consta;;
#146123/88;13136;Nada Consta;;
#146123/126;13140;Nada Consta;;
#146123/127;13141;Nada Consta;;
#146123/136;13142;Nada Consta;;
#146123/138;13143;Nada Consta;;
#146123/142;13145;Nada Consta;;
#146123/143;13146;Nada Consta;;
#146123/146;13148;Nada Consta;;
#146123/149;13149;Nada Consta;;
#146123/154;13152;Nada Consta;;
#146123/157;13154;Nada Consta;;
#146123/170;13155;Nada Consta;;
#146123/171;13156;Nada Consta;;
#146123/172;13157;Nada Consta;;
#146123/182;13159;Nada Consta;;
#146123/206;13162;Nada Consta;;
#146123/207;13163;Nada Consta;;
#146123/208;13164;Nada Consta;;
#146123/211;13165;Nada Consta;;
#146123/243;13169;Nada Consta;;
#146123/245;13172;Nada Consta;;
#146123/247;13175;Nada Consta;;
#146123/251;13176;Nada Consta;;
#146123/262;13178;Nada Consta;;
#146134/1;13179;Nada Consta;;
#146139/1;13180;Nada Consta;;
#144476/440;13182;Nada Consta;;
#146165/1;13184;Nada Consta;;
