Referência;09/2010;
Franquia;Royalties;Fundo de Propaganda;Faturamento;Despesa;Tipo
Aparecida de Goiânia - GO;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Araçatuba - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Araraquara - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Balneário Camboriú - SC;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Barretos - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Batatais - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Bauru - SP;R$ 42,70;R$ 8,13;R$ 1.036,30;R$ 583,00;10.50% do Líquido
Betim - MG;R$ 74,50;R$ 29,80;R$ 1.490,00;R$ 0,00;5.00% do Bruto
Brasília - DF;R$ 1.500,00;R$ 29,80;R$ 275,00;R$ 0,00;Fixo  semestre
Cachoeirinha - RS;R$ 1.000,00;R$ 29,80;R$ 2.225,00;R$ 0,00;Fixo  semestre
Campinas - SP;R$ 748,13;R$ 299,25;R$ 14.962,52;R$ 0,00;5.00% do Bruto
Capivari - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Caraguatatuba - SP;R$ 39,70;R$ 15,88;R$ 794,00;R$ 0,00;5.00% do Bruto
Cascavel - PR;R$ 16,50;R$ 6,60;R$ 330,00;R$ 0,00;5.00% do Bruto
Catanduva - SP;R$ 14,14;R$ 2,69;R$ 276,10;R$ 129,00;10.50% do Líquido
Chapecó - SC;R$ 242,75;R$ 97,10;R$ 4.855,00;R$ 0,00;5.00% do Bruto
Cuiabá - MT;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Curitiba - PR;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Diadema - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Dourados - MS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Feira de Santana - BA;R$ 68,80;R$ 27,52;R$ 1.376,00;R$ 0,00;5.00% do Bruto
Goiânia - GO;R$ 15,42;R$ 6,17;R$ 877,99;R$ 530,00;5.00% do Líquido
Guarulhos - SP;R$ 344,30;R$ 68,86;R$ 3.443,00;R$ 0,00;10.00% do Bruto
Guaxupé - MG;R$ 5,01;R$ 0,96;R$ 50,00;R$ 0,00;10.50% do Líquido
Ilhéus - BA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Indaiatuba - SP;R$ 8,50;R$ 3,40;R$ 170,00;R$ 0,00;5.00% do Bruto
Itabuna - BA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Itaguaí - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Itaquaquecetuba - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0.00% do Bruto
Itu - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Jaraguá do Sul - SC;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Jundiaí - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Lajeado - RS;R$ 700,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo  semestre
Londrina - PR;R$ 28,61;R$ 5,45;R$ 581,61;R$ 283,00;10.50% do Líquido
Maceió - AL;R$ 15,00;R$ 6,00;R$ 300,00;R$ 0,00;5.00% do Bruto
Maringá - PR;R$ 38,53;R$ 15,41;R$ 770,63;R$ 0,00;5.00% do Bruto
Niterói - RJ;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Olímpia - SP;R$ 1.000,00;R$ 0,00;R$ 665,00;R$ 0,00;Fixo  semestre
Osasco - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Paulínia - SP;R$ 2,00;R$ 0,40;R$ 20,00;R$ 0,00;10.00% do Bruto
