Relatório de ;Desembolso por franquia ; Comissionamento de 14%; 
Pedidos Enviados
Entre ;10/05/2009 00:00:00 ;e 10/05/2010 23:59:00; tirado em ;10/05/2010 20:56:34
Sistecart - Sistema de Cartório Certidões Ltda - EPP
Pedido;Valor Cobrado;Comissão;Data;Franquia;
#69896/1;359,00;50,26;01/10/2009;Sistecart - Sistema de Cartório Certidões Ltda - EPP;
#69896/2;359,00;50,26;01/10/2009;Sistecart - Sistema de Cartório Certidões Ltda - EPP;
#70198/1;80,00;11,20;01/10/2009;Sistecart - Sistema de Cartório Certidões Ltda - EPP;
#70850/1;37,00;5,18;08/10/2009;Sistecart - Sistema de Cartório Certidões Ltda - EPP;
#70850/2;37,00;5,18;08/10/2009;Sistecart - Sistema de Cartório Certidões Ltda - EPP;
#71204/1;58,43;8,18;09/10/2009;Sistecart - Sistema de Cartório Certidões Ltda - EPP;
#72234/1;58,43;8,18;16/10/2009;Sistecart - Sistema de Cartório Certidões Ltda - EPP;
#72271/1;37,00;5,18;15/10/2009;Sistecart - Sistema de Cartório Certidões Ltda - EPP;
#72271/2;20,00;2,80;15/10/2009;Sistecart - Sistema de Cartório Certidões Ltda - EPP;
#72477/1;279,37;39,11;20/10/2009;Sistecart - Sistema de Cartório Certidões Ltda - EPP;
#72477/3;279,37;39,11;26/10/2009;Sistecart - Sistema de Cartório Certidões Ltda - EPP;
#73769/1;37,00;5,18;26/10/2009;Sistecart - Sistema de Cartório Certidões Ltda - EPP;
#74024/1;37,00;5,18;28/10/2009;Sistecart - Sistema de Cartório Certidões Ltda - EPP;
#74039/1;37,00;5,18;28/10/2009;Sistecart - Sistema de Cartório Certidões Ltda - EPP;
#75094/1;147,00;20,58;06/11/2009;Sistecart - Sistema de Cartório Certidões Ltda - EPP;
#78581/1;298,90;41,85;02/12/2009;Sistecart - Sistema de Cartório Certidões Ltda - EPP;
#78581/2;298,90;41,85;02/12/2009;Sistecart - Sistema de Cartório Certidões Ltda - EPP;
#78581/3;298,90;41,85;02/12/2009;Sistecart - Sistema de Cartório Certidões Ltda - EPP;
#79053/1;75,00;10,50;10/12/2009;Sistecart - Sistema de Cartório Certidões Ltda - EPP;
#80477/1;20,00;2,80;17/12/2009;Sistecart - Sistema de Cartório Certidões Ltda - EPP;
#80532/1;65,00;9,10;18/12/2009;Sistecart - Sistema de Cartório Certidões Ltda - EPP;
#88509/1;75,00;10,50;07/05/2010;Sistecart - Sistema de Cartório Certidões Ltda - EPP;
#90057/1;298,00;41,72;29/03/2010;Sistecart - Sistema de Cartório Certidões Ltda - EPP;
#97481/1;289,00;40,46;07/05/2010;Sistecart - Sistema de Cartório Certidões Ltda - EPP;
#97481/2;289,00;40,46;07/05/2010;Sistecart - Sistema de Cartório Certidões Ltda - EPP;
#79450/1;27,00;3,78;10/12/2009;Cartório Postal - Guarulhos - SP;
#84816/1;75,00;10,50;02/02/2010;Cartório Postal - Guarulhos - SP;
Subtotal:;3972,30;556,12;

Total:;0,00;3972,30;556,12;

