Ordens ;;Resposta ;custas;motivo do atraso
#146236/5;;1 Positiva ;;
#146236/2;;Negativa ;;
#146286/2;;Negativa ;;
#146286/5;;1 Positiva;;
#146303/2;;Negativa ;;
#146319/1;;Negativa ;;
#146367/2;;Negativa ;;
#146367/4;;1 Positiva;;
#146380/2;;Negativa ;;
#146438/225;;Negativa ;;
#146433/2;;Negativa ;;
#146433/4;;2 Positiva;;
#146438/1;;9 Positiva;;
#146438/2;;5 Positiva;;
#146438/3;;Negativa ;;
#146438/4;;3 Positiva;;
#146438/5;;Negativa ;;
#146438/6;;1 Positiva;;
#146438/7;;1 Positiva;;
#146438/8;;1 Positiva;;
#146438/9;;1 Positiva;;
#146438/10;;1 Positiva;;
#146438/11;;1 Positiva;;
#146438/12;;1 Positiva;;
#146438/13;;1 Positiva;;
#146438/14;;1 Positiva;;
#146438/15;;1 Positiva;;
#146438/16;;Negativa ;;
#146438/17;;1 Positiva;;
#146438/18;;3 Positiva;;
#146438/19;;2 Positiva;;
#146438/20;;1 Positiva;;
#146438/21;;Negativa ;;
#146438/22;;Negativa ;;
#146438/23;;Negativa ;;
#146438/24;;1 Positiva;;
#146438/25;;Negativa ;;
#146438/26;;4 Positiva;;
#146438/27;;Negativa ;;
#146438/28;;Negativa ;;
#146438/29;;Negativa ;;
#146438/30;;2 Positiva;;
#146438/31;;1 Positiva;;
#146438/32;;1 Positiva;;
#146438/33;;1 Positiva;;
#146438/34;;2 Positiva;;
#146438/35;;Negativa ;;
#146438/36;;1 Positiva;;
#146438/37;;Negativa ;;
#146438/38;;1 Positiva;;
#146438/39;;3 Positiva;;
#146438/40;;1 Positiva;;
#146438/41;;2 Positiva;;
#146438/42;;1 Positiva;;
#146438/43;;Negativa ;;
#146438/44;;Negativa ;;
#146438/45;;Negativa ;;
#146438/46;;Negativa ;;
#146438/47;;Negativa ;;
#146438/48;;Negativa ;;
#146438/49;;1 Positiva;;
#146438/50;;Negativa ;;
#146438/51;;3 Positiva;;
#146438/52;;4 Positiva;;
#146438/53;;1 Positiva;;
#146438/54;;Negativa ;;
#146438/55;;Negativa ;;
#146438/56;;Negativa ;;
#146438/57;;2 Positiva;;
#146438/58;;Negativa ;;
#146438/59;;1 Positiva;;
#146438/60;;Negativa ;;
#146438/61;;Negativa ;;
#146438/62;;1 Positiva;;
#146438/63;;Negativa ;;
#146438/64;;1 Positiva;;
#146438/65;;1 Positiva;;
#146438/66;;Negativa ;;
#146438/67;;Negativa ;;
#146438/68;;Negativa ;;
#146438/69;;Negativa ;;
#146438/70;;6 Positiva;;
#146438/71;;Negativa ;;
#146438/72;;3 Positiva;;
#146438/73;;1 Positiva;;
#146438/74;;1 Positiva;;
#146438/75;;1 Positiva;;
#146438/76;;1 Positiva;;
#146438/77;;1 Positiva;;
#146438/78;;1 Positiva;;
#146438/79;;1 Positiva;;
#146438/80;;Negativa ;;
#146438/81;;Negativa ;;
#146438/82;;1 Positiva;;
#146438/83;;5 Positiva;;
#146438/84;;1 Positiva;;
#146438/85;;Negativa ;;
#146438/86;;1 Positiva;;
#146438/87;;Negativa ;;
#146438/88;;Negativa ;;
#146438/89;;Negativa ;;
#146438/90;;Negativa ;;
#146438/91;;1 Positiva;;
#146438/92;;1 Positiva;;
#146438/93;;Negativa ;;
#146438/94;;Negativa ;;
#146438/95;;Negativa ;;
#146438/96;;3 Positiva;;
#146438/97;;1 Positiva;;
#146438/98;;Negativa ;;
#146438/99;;1 Positiva;;
#146438/100;;Negativa ;;
#146438/101;;1 Positiva;;
#146438/102;;Negativa ;;
#146438/103;;Negativa ;;
#146438/104;;Negativa ;;
#146438/105;;Negativa ;;
#146438/106;;Negativa ;;
#146438/107;;Negativa ;;
#146438/108;;2 Positiva;;
#146438/109;;Negativa ;;
#146438/110;;1 Positiva;;
#146438/111;;2 Positiva;;
#146438/112;;Negativa ;;
#146438/113;;Negativa ;;
#146438/114;;Negativa ;;
#146438/115;;3 Positiva;;
#146438/116;;Negativa ;;
#146438/117;;Negativa ;;
#146438/118;;1 Positiva;;
#146438/119;;Negativa ;;
#146438/120;;Negativa ;;
#146438/121;;1 Positiva;;
#146438/122;;1 Positiva;;
#146438/123;;Negativa ;;
#146438/124;;1 Positiva;;
#146438/125;;Negativa ;;
#146438/126;;Negativa ;;
#146438/127;;Negativa ;;
#146438/128;;Negativa ;;
#146438/129;;Negativa ;;
#146438/130;;1 Positiva;;
#146438/131;;Negativa ;;
#146438/132;;1 Positiva;;
#146438/133;;1 Positiva;;
#146438/134;;3 Positiva;;
