Ordens ;Protocolo;Resposta ;custas;motivo do atraso
#155154/3;;Negativa ;;Detran não emitiu a certidão na data prometida 
#155364/1;;Negativa ;;Detran não emitiu a certidão na data prometida 
#155364/2;;Negativa ;;Detran não emitiu a certidão na data prometida 
#155364/3;;2 Positiva;;Detran não emitiu a certidão na data prometida 
#155364/4;;Negativa ;;Detran não emitiu a certidão na data prometida 
#155364/5;;1 Positiva;;Detran não emitiu a certidão na data prometida 
#155364/6;;Negativa ;;Detran não emitiu a certidão na data prometida 
#155364/7;;Negativa ;;Detran não emitiu a certidão na data prometida 
#155364/8;;Negativa ;;Detran não emitiu a certidão na data prometida 
#155364/9;;Negativa ;;Detran não emitiu a certidão na data prometida 
#155364/10;;Negativa ;;Detran não emitiu a certidão na data prometida 
#155364/11;;1 Positiva;;Detran não emitiu a certidão na data prometida 
#155364/12;;Negativa ;;Detran não emitiu a certidão na data prometida 
#155364/13;;1 Positiva;;Detran não emitiu a certidão na data prometida 
#155364/14;;2 Positiva;;Detran não emitiu a certidão na data prometida 
#155364/15;;Negativa ;;Detran não emitiu a certidão na data prometida 
#155364/16;;Negativa ;;Detran não emitiu a certidão na data prometida 
#155364/17;;1 Positiva;;Detran não emitiu a certidão na data prometida 
#155364/18;;3 Positiva;;Detran não emitiu a certidão na data prometida 
#155364/19;;1 Positiva;;Detran não emitiu a certidão na data prometida 
#155364/20;;Negativa ;;Detran não emitiu a certidão na data prometida 
#155364/21;;2 Positiva;;Detran não emitiu a certidão na data prometida 
#155364/22;;1 Positiva;;Detran não emitiu a certidão na data prometida 
#155364/23;;1 Positiva;;Detran não emitiu a certidão na data prometida 
#155364/24;;1 Positiva;;Detran não emitiu a certidão na data prometida 
#155364/25;;Negativa ;;Detran não emitiu a certidão na data prometida 
#155364/26;;Negativa ;;Detran não emitiu a certidão na data prometida 
#155364/27;;Negativa ;;Detran não emitiu a certidão na data prometida 
#155364/28;;3 Positiva;;Detran não emitiu a certidão na data prometida 
#155364/29;;3 Positiva;;Detran não emitiu a certidão na data prometida 
#155364/30;;Negativa ;;Detran não emitiu a certidão na data prometida 
#155364/31;;1 Positiva;;Detran não emitiu a certidão na data prometida 
#155364/32;;Negativa ;;Detran não emitiu a certidão na data prometida 
#155364/33;;1 Positiva;;Detran não emitiu a certidão na data prometida 
#155364/34;;Negativa ;;Detran não emitiu a certidão na data prometida 
#155364/35;;1 Positiva;;Detran não emitiu a certidão na data prometida 
#155364/36;;Negativa ;;Detran não emitiu a certidão na data prometida 
#155364/37;;5 Positiva;;Detran não emitiu a certidão na data prometida 
#155364/38;;Negativa ;;Detran não emitiu a certidão na data prometida 
#155364/39;;2 Positiva;;Detran não emitiu a certidão na data prometida 
#155364/40;;Negativa ;;Detran não emitiu a certidão na data prometida 
#155364/41;;Negativa ;;Detran não emitiu a certidão na data prometida 
#155364/42;;Negativa ;;Detran não emitiu a certidão na data prometida 
#155364/43;;3 Positiva;;Detran não emitiu a certidão na data prometida 
#155364/44;;1 Positiva;;Detran não emitiu a certidão na data prometida 
#155364/45;;Negativa ;;Detran não emitiu a certidão na data prometida 
#155364/46;;1 Positiva;;Detran não emitiu a certidão na data prometida 
