Relatório ;0;;;;;;;
Entre ;11/12/2013 00:00:00 e 11/12/2013 23:59:59 ;tirado em 11/12/2013 18:45:51;;;;;;
Data/Hora;Ordem;Descrição;Pago;Troco;Valor;Forma;Feito;
00/00/0000 00:00:00;#273335/8; Cartórios de Protesto, Distribuidor Cri;;;17.50;Depósito;Não;
00/00/0000 00:00:00;#273335/9; Cartórios de Protesto, Distribuidor Cri;;;17.50;Depósito;Não;
00/00/0000 00:00:00;#273335/7; Cartórios de Protesto, Distribuidor Cri;;;36.37;Depósito;Não;
;

00/00/0000 00:00:00;#273335/3;Certidões de Ações Trabalhistas, Distrib;;;24.66;Depósito;Não;
00/00/0000 00:00:00;#273335/1;Certidões de Ações Trabalhistas, Distrib;;;30.19;Depósito;Não;
00/00/0000 00:00:00;#273335/2;Certidões de Ações Trabalhistas, Distrib;;;42.16;Depósito;Não;
00/00/0000 00:00:00;#273335/9;Certidões de Ações Trabalhistas, Distrib;;;0.04;Depósito;Não;
;;;;Total;168.42;;;
