Referência;09/2010;
CLIENTE;CNPJ;VALOR Setembro;PEDIDOS Setembro;
		BANCO DO BRASIL S/A;	00.000.000/2980-77;0,00;0
1 Banco do Brasil S.A.;	00.000.000/6516-13;0,00;0
RED BALLOON CURSO DE INGLES LTDA - UNIDADE PACAEMBU;	00.260.187/0001-62;0,00;0
104 Caixa Econômica Federal;	00.360.305/2678-87;0,00;0
ARGUS EMPREENDIMENTOS IMOBILIARIOS LTDA.;	00.958.276/0001-87;0,00;0
HSBC Bank Brasil S.A. Jurídico Crédito/Revisionais ( PFS );	01.701.201/0001-89;0,00;0
HSBC BANK BRASIL S/A BANCO MULTIPLO;	01.701.201/0909-00;0,00;0
399 HSBC Bank Brasil S.A. - Banco Multiplo;	01.701.201/1759-06;0,00;0
TSS TRADE SHOWS SERVICES LTDA;	02.207.253/0001-66;0,00;0
ZARIF PINHEIROS COMERCIAL LTDA ME;	02.897.207/0001-36;0,00;0
VERDYCON CONSERVACAO LTDA;	02.971.564/0001-05;0,00;0
NERONE DO BRASIL CIA. Securitizadora de Créditos Ltda.;	03.513.451/0001-10;0,00;0
J. A. Rezende advogados associados;	03.586.507/0001-67;0,00;0
LOSINOX LTDA.;	03.770.404/0001-52;0,00;0
TRADE NETWORK PARTICIPACOES LTDA;	04.764.745/0001-88;0,00;0
ALBERTO KIM TECIDOS - EPP;	04.886.647/0001-13;0,00;0
RECOVERY DO BRASIL CONSULTORIA LTDA;	05.032.035/0001-26;0,00;0
Afonso Maria Santucci;	05.494.313/0001-67;0,00;0
VANESSA DA SILVA DOS SANTOS ME;	06.026.147/0001-37;0,00;0
CONFORMITY ASSESSORIA EM GESTAO EMPRESARIAL;	06.120.493/0001-80;0,00;0
ANA PELLEGRINI ADVOGADOS ASSOCIADOS;	07.058.096/0001-98;0,00;0
Bicbanco S/A;	07.450.604/0001-89;0,00;0
ZFAC COMERCIAL LTDA.;	08.049.647/0001-10;0,00;0
Eliane da Silva Magalhães;	08.192.962/0001-00;0,00;0
LIBRO COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS.;	08.351.432/0001-59;0,00;0
LC 15 COMERCIO E CONFECÇÕES LTDA - ME;	08.472.787/0001-04;0,00;0
CDCPP - CENTRAL DE DISTRIBUIÇÃO DE CERTIDÕES;	09.067.775/0001-59;0,00;0
CONFECÇÕES SEMPRE ELA LTDA EPP;	10.203.006/0001-10;0,00;0
ACM  Legalizações Empresariais Ltda. - ME;	10.377.191/0001-69;0,00;0
MWCQ ASSES. EMPRESARIAL E REP. LTDA EPP;	10.824.935/0001-46;0,00;0
389 Banco Mercantil do Brasil S.A.;	17.184.037/0217-02;0,00;0
356 Banco ABN AMRO Real S.A.;	33.066.408/0948-53;0,00;0
CITIBANK RISK MANAGEMENT;	33.479.023/0001-80;0,00;0
Cobra Tecnologia S.A;	42.318.949/0001-84;0,00;0
151 Banco Nossa Caixa S.A.;	43.073.394/0421-15;0,00;0
CONVIVENCIA ENGENHARIA PLANEJAMENTO E CONSTRUCÃO;	45.017.639/0001-18;0,00;0
MEREB S/A EMPREEND. PARTICIPAÇÕES / Dr. Jesus Germano;	45.242.898/0001-42;0,00;0
Flytour Travel Solution;	51.757.300/0001-50;0,00;0
Tesheiner Cavassani e Giacomazi Advogados e Consultores Legais S/C;	53.283.180/0001-22;0,00;0
TEKNIA TECNOTUBO AUTOMOTIVE LTDA     ;	61.147.518/0001-47;0,00;0
Nextel Telecomunicações Ltda;	66.970.229/0001-67;0,00;0
DOMINGOS DA CRUZ;	69.131.159/0001-41;0,00;0
HSBC SEGUROS BRASIL S/A.;	76.538.446/0001-36;0,00;0
ASSOCIAÇÃO LITERÁRIA SÃO BOAVENTURA;	88.625.181/0001-92;0,00;0
