Relatório ;3;;;;;;;
Entre ;01/11/2011 00:00:00 e 26/11/2011 23:59:59 ;tirado em 27/11/2011 00:00:26;;;;;;
Data/Hora;Ordem;Descrição;Pago;Troco;Valor;Forma;Feito;
08/11/2011 14:06:05;#150654/1;Busca de Testamento ;47;;47.00;Depósito;Não;
;

23/11/2011 12:47:10;#152537/1;Casamento ;30;;30.00;Depósito;Não;
21/11/2011 14:48:13;#152297/1;Casamento ;29.4;;29.40;Depósito;Não;
21/11/2011 14:45:41;#152298/1;Casamento ;38;;38.00;Depósito;Não;
21/11/2011 14:42:02;#152296/1;Casamento ;65;;65.00;Depósito;Não;
04/11/2011 14:45:26;#147730/1;Casamento ;64.07;;64.07;Depósito;Não;
09/11/2011 16:07:53;#151152/1;Casamento ;43;;43.00;Depósito;Não;
04/11/2011 14:44:34;#150274/1;Casamento ;24.9;;24.90;Depósito;Não;
04/11/2011 14:45:40;#150387/1;Casamento ;38.85;;38.85;Depósito;Não;
11/11/2011 14:37:02;#151422/1;Casamento ;58;;58.00;Depósito;Não;
;

14/11/2011 13:41:14;#151549/1;Certidão de Distribuições Criminais ;20;;20.00;Depósito;Não;
08/11/2011 17:47:02;#150653/1;Certidão de Distribuições Criminais ;0.02;;0.02;Depósito;Não;
09/11/2011 17:53:05;#151203/1;Certidão de Distribuições Criminais ;48;;48.00;Depósito;Não;
21/11/2011 17:18:46;#150653/1;Certidão de Distribuições Criminais ;42.16;;42.16;Depósito;Não;
08/11/2011 13:45:30;#150938/1;Certidão de Distribuições Criminais ;32;;32.00;Depósito;Não;
14/11/2011 13:42:03;#151549/1;Certidão de Distribuições Criminais ;5.7;;5.70;Depósito;Não;
14/11/2011 13:41:19;#151555/1;Certidão de Distribuições Criminais ;20;;20.00;Depósito;Não;
;

11/11/2011 14:39:41;#151158/1;Certidão de Matrícula Atualizada ;47.34;;47.34;Depósito;Não;
;

06/11/2011 18:07:32;#150681/3;Despesas de Cartórios;33.34;;33.34;Dinheiro;Não;
06/11/2011 18:07:32;#150681/2;Despesas de Cartórios;19.6;;19.60;Dinheiro;Não;
;

24/11/2011 14:43:37;#152294/1;Distribuidor Civel ;13.7;;13.70;Dinheiro;Não;
21/11/2011 14:38:33;#152294/1;Distribuidor Civel ;14;;14.00;Boleto;Não;
14/11/2011 13:41:16;#151549/2;Distribuidor Civel ;28;;28.00;Depósito;Não;
14/11/2011 13:41:23;#151555/2;Distribuidor Civel ;28;;28.00;Depósito;Não;
21/11/2011 17:18:47;#150653/2;Distribuidor Civel ;28.16;;28.16;Depósito;Não;
09/11/2011 17:53:05;#151203/2;Distribuidor Civel ;28;;28.00;Depósito;Não;
06/11/2011 18:07:32;#150681/1;Distribuidor Civel ;14;;14.00;Dinheiro;Não;
08/11/2011 14:05:25;#150656/5;Distribuidor Civel ;14;;14.00;Dinheiro;Não;
08/11/2011 15:58:48;#147732/1;Distribuidor Civel ;44;;44.00;Depósito;Não;
08/11/2011 14:05:20;#150656/1;Distribuidor Civel ;14;;14.00;Dinheiro;Não;
08/11/2011 17:47:03;#150653/2;Distribuidor Civel ;0.02;;0.02;Depósito;Não;
;

21/11/2011 17:18:47;#150653/5;Executivos Fiscais ;28.16;;28.16;Depósito;Não;
08/11/2011 17:47:03;#150653/5;Executivos Fiscais ;0.01;;0.01;Depósito;Não;
09/11/2011 17:53:05;#151203/3;Executivos Fiscais ;34;;34.00;Depósito;Não;
14/11/2011 13:41:17;#151549/3;Executivos Fiscais ;28;;28.00;Depósito;Não;
14/11/2011 13:41:23;#151555/3;Executivos Fiscais ;28;;28.00;Depósito;Não;
;

08/11/2011 17:47:03;#150653/4;Justiça do Trabalho ;0.01;;0.01;Depósito;Não;
14/11/2011 13:41:23;#151555/5;Justiça do Trabalho ;30.53;;30.53;Depósito;Não;
14/11/2011 13:41:22;#151549/5;Justiça do Trabalho ;30.53;;30.53;Depósito;Não;
21/11/2011 17:18:47;#150653/4;Justiça do Trabalho ;28.16;;28.16;Depósito;Não;
08/11/2011 14:05:28;#150656/7;Justiça do Trabalho ;5.53;;5.53;Dinheiro;Não;
08/11/2011 14:05:23;#150656/3;Justiça do Trabalho ;10.33;;10.33;Dinheiro;Não;
21/11/2011 14:38:10;#152294/2;Justiça do Trabalho ;5.53;;5.53;Boleto;Não;
;

04/11/2011 14:41:59;#150537/1;Limpeza de Nome ;15.41;;15.41;Dinheiro;Não;
21/11/2011 17:18:47;#151736/1;Limpeza de Nome ;18.21;;18.21;Depósito;Não;
;

21/11/2011 17:18:47;#149335/1;Nascimento ;15;;15.00;Depósito;Não;
21/11/2011 17:18:45;#150546/1;Nascimento ;30;;30.00;Depósito;Não;
17/11/2011 14:29:26;#151154/1;Nascimento ;25;;25.00;Depósito;Não;
21/11/2011 17:18:47;#152229/1;Nascimento ;27.9;;27.90;Depósito;Não;
21/11/2011 17:18:47;#151889/1;Nascimento ;40;;40.00;Depósito;Não;
21/11/2011 17:18:44;#150228/1;Nascimento ;48;;48.00;Depósito;Não;
17/11/2011 14:29:25;#151608/1;Nascimento ;52;;52.00;Depósito;Não;
09/11/2011 16:00:25;#151148/1;Nascimento ;30;;30.00;Depósito;Não;
08/11/2011 13:53:48;#150802/1;Nascimento ;28.3;;28.30;Depósito;Não;
08/11/2011 13:51:45;#150802/2;Nascimento ;29.4;;29.40;Depósito;Não;
21/11/2011 17:18:47;#150777/1;Nascimento ;96.06;;96.06;Depósito;Não;
10/11/2011 13:47:15;#151299/1;Nascimento ;81;;81.00;Depósito;Não;
10/11/2011 13:51:47;#151308/1;Nascimento ;50;;50.00;Vale Postal On-line;Não;
11/11/2011 14:39:43;#150485/1;Nascimento ;41.11;;41.11;Dinheiro;Não;
23/11/2011 12:46:16;#152763/1;Nascimento ;55;;55.00;Depósito;Não;
21/11/2011 15:47:55;#150488/1;Nascimento ;50;;50.00;Depósito;Não;
23/11/2011 12:46:15;#152750/1;Nascimento ;44;;44.00;Depósito;Não;
23/11/2011 12:47:11;#152536/1;Nascimento ;24.4;;24.40;Dinheiro;Não;
;

21/11/2011 17:18:47;#150653/3;Negativa de Protesto ;39.16;;39.16;Depósito;Não;
09/11/2011 17:53:05;#151203/4;Negativa de Protesto ;41.82;;41.82;Depósito;Não;
08/11/2011 17:47:03;#150653/3;Negativa de Protesto ;0.01;;0.01;Depósito;Não;
14/11/2011 13:41:23;#151555/4;Negativa de Protesto ;89.71;;89.71;Dinheiro;Não;
14/11/2011 13:41:23;#151549/4;Negativa de Protesto ;89.71;;89.71;Dinheiro;Não;
21/11/2011 17:18:47;#152077/4;Negativa de Protesto ;32.05;;32.05;Depósito;Não;
08/11/2011 16:01:48;#150915/3;Negativa de Protesto ;47.74;;47.74;Depósito;Não;
08/11/2011 14:05:26;#150656/6;Negativa de Protesto ;25.23;;25.23;Dinheiro;Não;
08/11/2011 14:05:21;#150656/2;Negativa de Protesto ;25.23;;25.23;Dinheiro;Não;
14/11/2011 13:44:34;#150959/1;Negativa de Protesto ;44.22;;44.22;Dinheiro;Não;
;

04/11/2011 14:41:59;#150531/1;Óbito ;24.4;;24.40;Dinheiro;Não;
;;;;Total;2421.12;;;
