Referï¿½ncia;11/2015;
Franquia;Royalties;Fundo de Propaganda;Faturamento;Despesa;Tipo
Açailandia - MA;0,00;0,00;0,00;0,00;% do Bruto
Afrânio - PE;0,00;0,00;0,00;0,00;% do Bruto
Águas Claras - DF;0,00;0,00;0,00;0,00;% do Bruto
Alagoinhas - BA;0,00;0,00;0,00;0,00;% do Bruto
Alfenas - MG;0,00;0,00;0,00;0,00;% do Bruto
Altamira - PA;0,00;0,00;0,00;0,00;% do Bruto
Americana - SP;0,00;0,00;0,00;0,00;% do Bruto
Américo Brasiliense - SP;0,00;0,00;0,00;0,00;% do Bruto
Ananindeua - PA;0,00;0,00;0,00;0,00;% do Bruto
Anápolis - GO;0,00;0,00;0,00;0,00;% do Bruto
Angra dos Reis - RJ;0,00;0,00;0,00;0,00;% do Bruto
Aparecida de Goiânia  - GO;0,00;0,00;0,00;0,00;% do Bruto
Araçatuba - SP;0,00;0,00;0,00;0,00;% do Bruto
Araguaína - TO;0,00;0,00;0,00;0,00;% do Bruto
Araraquara - SP;0,00;0,00;0,00;0,00;% do Bruto
Araras - SP;0,00;0,00;0,00;0,00;% do Bruto
Araxá - MG;0,00;0,00;0,00;0,00;% do Bruto
Ariquemes - RO;0,00;0,00;0,00;0,00;% do Bruto
Assis - SP;0,00;0,00;0,00;0,00;% do Bruto
Assis Chateaubriand - PR;0,00;0,00;0,00;0,00;% do Bruto
Atibaia - SP;0,00;0,00;0,00;0,00;% do Bruto
Bacabal - MA;0,00;0,00;0,00;0,00;% do Bruto
Balneário Camboriú - SC;0,00;0,00;0,00;0,00;% do Bruto
Balsas - MA;0,00;0,00;0,00;0,00;% do Bruto
Barra da Tijuca - RJ;0,00;0,00;0,00;0,00;% do Bruto
Barra do Garças - MT;0,00;0,00;0,00;0,00;% do Bruto
Barretos - SP;0,00;0,00;0,00;0,00;% do Bruto
Barueri - SP;0,00;0,00;0,00;0,00;% do Bruto
Barueri Lj 02 - SP;0,00;0,00;0,00;0,00;% do Bruto
Bauru - SP;0,00;0,00;0,00;0,00;% do Bruto
Bebedouro - SP;0,00;0,00;0,00;0,00;% do Bruto
Belo Horizonte LJ 01 - MG;0,00;0,00;0,00;0,00;% do Bruto
Belo Horizonte LJ 02 - MG;0,00;0,00;0,00;0,00;% do Bruto
Belo Horizonte LJ 03 - MG;0,00;0,00;0,00;0,00;% do Bruto
Bento Gonçalves - RS;0,00;0,00;0,00;0,00;% do Bruto
Betim - MG;0,00;0,00;0,00;0,00;% do Bruto
Birigui - SP;0,00;0,00;0,00;0,00;% do Bruto
Blumenau - SC;0,00;0,00;0,00;0,00;% do Bruto
Boa Esperança - MG;0,00;0,00;0,00;0,00;% do Bruto
Boituva - SP;0,00;0,00;0,00;0,00;% do Bruto
Bom Jesus da Lapa - BA;0,00;0,00;0,00;0,00;% do Bruto
Botucatu - SP;0,00;0,00;0,00;0,00;% do Bruto
Bragança Paulista - SP;0,00;0,00;0,00;0,00;% do Bruto
Brás - SP;0,00;0,00;0,00;0,00;% do Bruto
Brasília - LJ 03  - DF;0,00;0,00;0,00;0,00;% do Bruto
Brasília LJ 04 - DF;0,00;0,00;0,00;0,00;% do Bruto
Brooklin - SP;0,00;0,00;0,00;0,00;% do Bruto
Bruxelas - Bélgica;0,00;0,00;0,00;0,00;% do Bruto
Cabo de Santo Agostinho - PE;0,00;0,00;0,00;0,00;% do Bruto
Cabo Frio - RJ;0,00;0,00;0,00;0,00;% do Bruto
Cáceres - MT;0,00;0,00;0,00;0,00;% do Bruto
Cachoeiro de Itapemirim - ES;0,00;0,00;0,00;0,00;% do Bruto
Caetité - BA;0,00;0,00;0,00;0,00;% do Bruto
Camaçari - BA;0,00;0,00;0,00;0,00;% do Bruto
Camaçari LJ 02 - BA;0,00;0,00;0,00;0,00;% do Bruto
Campinas - SP;0,00;0,00;0,00;0,00;% do Bruto
Campinas LJ 03 - SP;0,00;0,00;0,00;0,00;% do Bruto
Campo Grande - MS;0,00;0,00;0,00;0,00;% do Bruto
Campo Mourão - PR;0,00;0,00;0,00;0,00;% do Bruto
Campos do Jordão - SP;0,00;0,00;0,00;0,00;% do Bruto
Campos dos Goytacazes - RJ;0,00;0,00;0,00;0,00;% do Bruto
Canaã dos Carajás - PA;0,00;0,00;0,00;0,00;% do Bruto
Capão da Canoa - RS;0,00;0,00;0,00;0,00;% do Bruto
Caraguatatuba - SP;0,00;0,00;0,00;0,00;% do Bruto
Carapicuíba - SP;0,00;0,00;0,00;0,00;% do Bruto
Caratinga - MG;0,00;0,00;0,00;0,00;% do Bruto
Carmópolis de Minas - MG;0,00;0,00;0,00;0,00;% do Bruto
Cartório Postal - Uruçui - PI;0,00;0,00;0,00;0,00;% do Bruto
Caruaru - PE;0,00;0,00;0,00;0,00;% do Bruto
Cascavel - PR;0,00;0,00;0,00;0,00;% do Bruto
Caxias do Sul - RS;0,00;0,00;0,00;0,00;% do Bruto
Ceará - CE;0,00;0,00;0,00;0,00;% do Bruto
Chapadinha - MA;0,00;0,00;0,00;0,00;% do Bruto
Cianorte - PR;0,00;0,00;0,00;0,00;% do Bruto
Colombo - PR;0,00;0,00;0,00;0,00;% do Bruto
Conselheiro Lafaiete - MG;0,00;0,00;0,00;0,00;% do Bruto
Cotia - SP;0,00;0,00;0,00;0,00;% do Bruto
Cubatão - SP;0,00;0,00;0,00;0,00;% do Bruto
Curitiba Lj 02 - PR;0,00;0,00;0,00;0,00;% do Bruto
Curitiba LJ 03 - PR;0,00;0,00;0,00;0,00;% do Bruto
Curitibanos - SC;0,00;0,00;0,00;0,00;% do Bruto
Diadema - SP;0,00;0,00;0,00;0,00;% do Bruto
Duque de Caxias - RJ;0,00;0,00;0,00;0,00;% do Bruto
Extrema - MG;0,00;0,00;0,00;0,00;% do Bruto
Feira de Santana - BA;0,00;0,00;0,00;0,00;% do Bruto
Florianópolis  - SC;0,00;0,00;0,00;0,00;% do Bruto
Florianópolis LJ 02 - SC;0,00;0,00;0,00;0,00;% do Bruto
Formiga - MG;0,00;0,00;0,00;0,00;% do Bruto
Fortaleza LJ 02 - CE;0,00;0,00;0,00;0,00;% do Bruto
Foz do Iguaçu - PR;0,00;0,00;0,00;0,00;% do Bruto
Franca - SP;0,00;0,00;0,00;0,00;% do Bruto
Francisco Beltrão - PR;0,00;0,00;0,00;0,00;% do Bruto
Goianésia - GO;0,00;0,00;0,00;0,00;% do Bruto
Goiânia - GO;0,00;0,00;0,00;0,00;% do Bruto
Governador Valadares - MG;0,00;0,00;0,00;0,00;% do Bruto
Guanambi - BA;0,00;0,00;0,00;0,00;% do Bruto
Guapimirim - RJ;0,00;0,00;0,00;0,00;% do Bruto
Guaraí - TO;0,00;0,00;0,00;0,00;% do Bruto
Guarapari - ES;0,00;0,00;0,00;0,00;% do Bruto
Guaratinguetá - SP;0,00;0,00;0,00;0,00;% do Bruto
