Ordens ;Protocolo ;Resposta ;Custas ;Motivo de atrazo
#151072/2;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#151072/4;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#151072/6;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151072/8;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/1;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/2;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/3;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/4;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/5;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/6;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/7;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/8;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/9;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/10;;7 Positiva ;;Detran não emitiu a certidão na data prometida
#151078/11;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/12;;7 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/13;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/14;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/15;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/16;;3 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/17;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/18;;6 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/19;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/20;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/21;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/22;;3 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/23;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/24;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/25;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/26;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/27;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/28;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/29;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/30;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/31;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/32;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/33;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/34;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/35;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/36;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/37;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/38;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/39;;4 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/40;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/41;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/42;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/43;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/44;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/45;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/46;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/47;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/48;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/49;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/50;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/51;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/52;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/53;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/54;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/55;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/56;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/57;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/58;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/59;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/60;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/61;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/62;;Negativa ;;Detran não emitiu a certidão na data prometida 
#151078/63;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#151078/64;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
