Ordens ;Protocolo;Resposta ;Custas ;Motivo de atrazo
#149659/269;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#149659/450;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#149659/259;;3 Positiva ;;Detran não emitiu a certidão na data prometida 
#149659/75;;Negativa ;;Detran não emitiu a certidão na data prometida 
#149659/76;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#149659/77;;Negativa ;;Detran não emitiu a certidão na data prometida 
#149659/78;;Negativa ;;Detran não emitiu a certidão na data prometida 
#149659/79;;3 Positiva ;;Detran não emitiu a certidão na data prometida 
#149659/80;;Negativa ;;Detran não emitiu a certidão na data prometida 
#149659/81;;Negativa ;;Detran não emitiu a certidão na data prometida 
#149659/82;;Negativa ;;Detran não emitiu a certidão na data prometida 
#149659/83;;Negativa ;;Detran não emitiu a certidão na data prometida 
#149659/84;;Negativa ;;Detran não emitiu a certidão na data prometida 
#149659/85;;Negativa ;;Detran não emitiu a certidão na data prometida 
#149659/86;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#149659/87;;Negativa ;;Detran não emitiu a certidão na data prometida 
#149659/88;;Negativa ;;Detran não emitiu a certidão na data prometida 
#149659/89;;Negativa ;;Detran não emitiu a certidão na data prometida 
#149659/90;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#149659/91;;Negativa ;;Detran não emitiu a certidão na data prometida 
#149659/92;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#149659/93;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#149359/4;;4 Positiva ;;Detran não emitiu a certidão na data prometida 
