Referência;2010;
CLIENTE;CNPJ;VALOR Janeiro;PEDIDOS Janeiro;VALOR Fevereiro;PEDIDOS Fevereiro;VALOR Março;PEDIDOS Março;VALOR Abril;PEDIDOS Abril;VALOR Maio;PEDIDOS Maio;VALOR Junho;PEDIDOS Junho;VALOR Julho;PEDIDOS Julho;VALOR Agosto;PEDIDOS Agosto;VALOR Setembro;PEDIDOS Setembro;VALOR Outubro;PEDIDOS Outubro;VALOR Novembro;PEDIDOS Novembro;VALOR Dezembro;PEDIDOS Dezembro;VALOR Ano;Pedidos Ano;
		ORLANDO ALVES BATISTA  serra negra me;	;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;100,00;1;0,00;0;0,00;0;100,00;1,00
SOLICITAÇÃO GERALDO;	00.000.000/0000-00;150,02;3;0,00;0;300,16;18;0,00;0;754,20;4;2433,90;12;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;3638,28;37,00
1 Banco do Brasil S.A.;	00.000.000/0001-91;0,00;0;0,00;0;0,00;0;0,00;0;1457,70;6;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;1457,70;6,00
1 Banco do Brasil S.A.;	00.000.000/0647-50;597,80;2;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;597,80;2,00
1 Banco do Brasil S.A.;	00.000.000/0868-00;0,00;0;0,00;0;0,00;0;452,60;7;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;452,60;7,00
1 Banco do Brasil S.A.;	00.000.000/1860-07;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;1547,96;13;0,00;0;1547,96;13,00
BANCO DO BRASIL S/A;	00.000.000/2980-77;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;156,40;2;0,00;0;0,00;0;0,00;0;156,40;2,00
BANCO DO BRASIL -;	00.000.000/3569-64;0,01;1;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,01;1,00
1 Banco do Brasil S.A.;	00.000.000/4471-70;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;150,00;1;0,00;0;0,00;0;0,00;0;0,00;0;150,00;1,00
1 Banco do Brasil S.A.;	00.000.000/5070-91;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;648,40;3;0,00;0;0,00;0;1257,00;13;0,00;0;0,00;0;1905,40;16,00
1 Banco do Brasil S.A.;	00.000.000/5288-46;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;235,60;2;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;235,60;2,00
1 Banco do Brasil S.A.;	00.000.000/6516-13;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;1725,80;11;0,00;0;0,00;0;0,00;0;1725,80;11,00
151 Banco Nossa Caixa S.A. - Banco do Brasil;	00.000.000/6731-88;0,00;0;0,00;0;0,00;0;896,70;3;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;896,70;3,00
1 Banco do Brasil S.A.;	00.000.000/6793-80;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;838,00;12;838,00;12,00
Dadá Produçoes e Eventos ME;	00.009.609/0001-21;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;30,00;1;0,00;0;0,00;0;30,00;1,00
Artepasta Ind e Com Ltda;	00.019.628/0001-39;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;40,00;1;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;40,00;1,00
