Relatório ;Aprovado;Minha Unidade;;;;;;
Entre ;20/03/2011 00:00:00 e 25/03/2011 23:59:59 ;tirado em 25/03/2011 09:55:22;;;;;;
Data/Hora;Ordem;Descrição;Pago;Troco;Valor;;Feito;
22/03/2011 11:06:32;#125431/1;Cópia do Contrato Social ;38;;38.00;Depósito;Não;
22/03/2011 11:06:32;#125431/2;Breve Relato Completo ;32;;32.00;Depósito;Não;
22/03/2011 11:06:33;#125431/3;Justiça do Trabalho ;19.53;;19.53;Depósito;Não;
22/03/2011 11:06:33;#125431/4;Distribuidor Civel ;28;;28.00;Depósito;Não;
22/03/2011 11:06:33;#125431/5;Executivos Fiscais ;28;;28.00;Depósito;Não;
22/03/2011 11:06:33;#125431/6;Falência e Concordata ;28;;28.00;Depósito;Não;
22/03/2011 11:06:33;#125431/9;Cópia do Contrato Social ;77;;77.00;Depósito;Não;
22/03/2011 11:06:33;#125431/10;Certidão de Imóvel - Por Endereço ;51.34;;51.34;Depósito;Não;
22/03/2011 11:06:33;#125431/11;Certidão de Matrícula Atualizada ;51.34;;51.34;Depósito;Não;
22/03/2011 11:06:32;#125431/1;Cópia do Contrato Social ;24;;24.00;Depósito;Não;
22/03/2011 11:06:33;#125431/7;Negativa de Protesto ;33.41;;33.41;Depósito;Não;
24/03/2011 14:04:56;#125731/2;Pesquisa Detran ;105;;105.00;Depósito;Não;
24/03/2011 14:04:35;#125431/1;Cópia do Contrato Social ;62;;62.00;Depósito;Não;
24/03/2011 14:08:43;#125731/1;Pesquisa Detran ;129;;129.00;Depósito;Não;
24/03/2011 14:15:38;#125431/2;Breve Relato Completo ;32;;32.00;Depósito;Não;
24/03/2011 14:15:38;#125431/3;Justiça do Trabalho ;19.53;;19.53;Depósito;Não;
24/03/2011 14:15:38;#125431/4;Distribuidor Civel ;28;;28.00;Depósito;Não;
24/03/2011 14:15:38;#125431/5;Executivos Fiscais ;28;;28.00;Depósito;Não;
24/03/2011 14:15:38;#125431/6;Falência e Concordata ;28;;28.00;Depósito;Não;
24/03/2011 14:15:38;#125431/7;Negativa de Protesto ;33.41;;33.41;Depósito;Não;
24/03/2011 14:15:38;#125431/9;Cópia do Contrato Social ;77;;77.00;Depósito;Não;
24/03/2011 14:15:38;#125431/10;Certidão de Imóvel - Por Endereço ;51.34;;51.34;Depósito;Não;
24/03/2011 14:15:38;#125431/11;Certidão de Matrícula Atualizada ;51.34;;51.34;Depósito;Não;
;;;;Total;1055.24;;;
