Referência;05/2013;
Franquia;Royalties;Fundo de Propaganda;Faturamento;Despesa;Tipo
Águas de Lindóia - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0.00% do Bruto
Alagoinhas - BA;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Alfenas - MG;R$ 500,00;R$ 6,39;R$ 319,69;R$ 0,00;Fixo 500.00 semestre
Américo Brasiliense - SP;R$ 500,00;R$ 50,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Anália Franco - SP;R$ 800,00;R$ 80,00;R$ 1.537,00;R$ 0,00;Fixo 800.00 semestre
Ananindeua - PA;R$ 500,00;R$ 40,26;R$ 2.013,00;R$ 0,00;Fixo 500.00 semestre
Aparecida de Goiânia - GO;R$ 500,00;R$ 50,00;R$ 5.742,36;R$ 0,00;Fixo 500.00 semestre
Araçatuba - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Araguaína - TO;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Araguari - MG;R$ 500,00;R$ 30,20;R$ 1.510,00;R$ 0,00;Fixo 500.00 semestre
Arapongas - PR;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Araraquara - SP;R$ 99,50;R$ 39,80;R$ 1.990,00;R$ 0,00;5.00% do Bruto
Araruama - RJ;R$ 300,00;R$ 14,06;R$ 703,10;R$ 0,00;Fixo 300.00 semestre
Araxá - MG;R$ 500,00;R$ 15,80;R$ 790,17;R$ 0,00;Fixo 500.00 semestre
Assis - SP;R$ 500,00;R$ 3,30;R$ 165,00;R$ 0,00;Fixo 500.00 semestre
Atibaia - SP;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Balneário Camboriú - SC;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Barra da Tijuca - Rio de Janeiro - RJ;R$ 1.750,00;R$ 64,12;R$ 3.206,00;R$ 0,00;Fixo 1750.00 semestre
Barreiras - BA;R$ 500,00;R$ 70,14;R$ 3.507,00;R$ 0,00;Fixo 500.00 semestre
Barretos - SP;R$ 204,19;R$ 81,67;R$ 4.083,72;R$ 0,00;5.00% do Bruto
Barueri - SP;R$ 9,75;R$ 3,90;R$ 195,00;R$ 0,00;5.00% do Bruto
Barueri Lj 02 - SP;R$ 750,00;R$ 75,00;R$ 6.553,62;R$ 0,00;Fixo 750.00 semestre
Bauru - SP;R$ 555,06;R$ 105,72;R$ 11.551,04;R$ 5.745,00;10.50% do Líquido
Bebedouro - SP;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 0.00 semestre
Belo Horizonte LJ 01 - MG;R$ 66,65;R$ 26,66;R$ 1.333,00;R$ 0,00;5.00% do Bruto
Belo Horizonte LJ 04 - MG;R$ 3.500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 3500.00 semestre
Betim - MG;R$ 21,10;R$ 8,44;R$ 422,00;R$ 0,00;5.00% do Bruto
Birigui - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Blumenau - SC;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Boa Vista - RR;R$ 1.000,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 1000.00 semestre
Boituva - SP;R$ 500,00;R$ 44,07;R$ 2.203,35;R$ 0,00;Fixo 500.00 semestre
Botafogo - Rio de Janeiro - RJ;R$ 500,00;R$ 34,54;R$ 1.727,00;R$ 0,00;Fixo 500.00 semestre
Bragança Paulista - SP;R$ 277,10;R$ 110,84;R$ 5.541,98;R$ 0,00;5.00% do Bruto
Brasília - DF;R$ 95,20;R$ 38,08;R$ 1.904,00;R$ 0,00;5.00% do Bruto
Brasília - LJ 02  - DF;R$ 1.000,00;R$ 17,59;R$ 879,42;R$ 0,00;Fixo 1000.00 semestre
Cabo Frio - RJ;R$ 21,08;R$ 8,43;R$ 421,54;R$ 0,00;5.00% do Bruto
Camaçari - BA;R$ 500,00;R$ 5,03;R$ 251,60;R$ 0,00;Fixo 500.00 semestre
Campinas - SP;R$ 0,10;R$ 0,04;R$ 2,02;R$ 0,00;5.00% do Bruto
Campinas LJ 03 - SP;R$ 600,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 600.00 semestre
Campo Grande - Rio de Janeiro - RJ;R$ 1.000,00;R$ 100,65;R$ 5.032,43;R$ 0,00;Fixo 1000.00 semestre
Campo Mourão - PR;R$ 1.000,00;R$ 3,76;R$ 188,06;R$ 0,00;Fixo 1000.00 semestre
Canaã dos Carajás - PA;R$ 1.000,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 1000.00 semestre
