Ordens;Protocolo;Resposta ;Custas ;Motivo de atraso
#149356/2;;Negativa ;;
#149359/2;;Negativa ;;
#149359/4;;Negativa ;;
#149543/1;;2 Positiva ;;
#149543/2;;3 Positiva ;;
#149543/3;;Negativa ;;
#149543/4;;Negativa ;;
#149543/5;;Negativa ;;
#149543/6;;1 Positiva ;;
#149543/7;;2 Positiva ;;
#149543/8;;Negativa ;;
#149543/9;;1 Positiva ;;
#149543/10;;Negativa ;;
#149543/11;;1 Positiva ;;
#149589/2;;Negativa ;;
#149589/4;;Negativa ;;
#149598/2;;Negativa ;;
#149598/4;;2 Positiva ;;
#149630/2;;1 Positiva ;;
#149630/4;;2 Positiva ;;
#149633/2;;Negativa ;;
#149633/4;;Negativa ;;
#149633/6;;1 Positiva ;;
#149659/1;;2 Positiva ;;
#149659/2;;1 Positiva ;;
#149659/3;;Negativa ;;
#149659/4;;1 Positiva ;;
#149659/5;;Negativa ;;
#149659/6;;Negativa ;;
#149659/7;;Negativa ;;
#149659/8;;1 Positiva ;;
#149659/9;;2 Positiva ;;
#149659/10;;Negativa ;;
#149659/11;;1 Positiva ;;
#149659/12;;Negativa ;;
#149659/13;;1 Positiva ;;
#149659/14;;1 Positiva ;;
#149659/15;;1 Positiva ;;
#149659/16;;2 Positiva ;;
#149659/17;;Negativa ;;
#149659/18;;Negativa ;;
#149659/19;;2 Positiva ;;
#149659/20;;1 Positiva ;;
#149659/21;;Negativa ;;
#149659/22;;2 Positiva ;;
#149659/23;;Negativa ;;
#149659/24;;Negativa ;;
#149659/25;;Negativa ;;
#149659/26;;1 Positiva ;;
#149659/27;;2 Positiva ;;
#149659/28;;1 Positiva ;;
#149659/29;;3 Positiva ;;
#149659/30;;2 Positiva ;;
#149659/31;;3 Positiva ;;
#149659/32;;1 Positiva ;;
#149659/33;;Negativa ;;
#149659/34;;Negativa ;;
#149659/35;;1 Positiva ;;
#149659/36;;Negativa ;;
#149659/37;;Negativa ;;
#149659/38;;Negativa ;;
#149659/39;;3 Positiva ;;
#149659/40;;6 Positiva ;;
#149659/41;;Negativa ;;
#149659/42;;Negativa ;;
#149659/43;;Negativa ;;
#149659/44;;1 Positiva ;;
#149659/45;;2 Positiva ;;
#149659/46;;1 Positiva ;;
#149659/47;;Negativa ;;
#149659/48;;Negativa ;;
#149659/49;;Negativa ;;
#149659/50;;Negativa ;;
#149659/51;;Negativa ;;
#149659/52;;Negativa ;;
#149659/53;;Negativa ;;
#149659/54;;Negativa ;;
#149659/55;;3 Positiva ;;
#149659/56;;2 Positiva ;;
#149659/57;;Negativa ;;
#149659/58;;3 Positiva ;;
#149659/59;;Negativa ;;
#149659/60;;1 Positiva ;;
#149659/61;;Negativa ;;
#149659/62;;1 Positiva ;;
#149659/63;;1 Positiva ;;
#149659/64;;46 Positiva ;;
#149659/65;;1 Positiva ;;
#149659/66;;1 Positiva ;;
#149659/67;;Negativa ;;
#149659/68;;Negativa ;;
#149659/69;;3 Positiva ;;
#149659/70;;1 Positiva ;;
#149659/71;;1 Positiva ;;
#149659/72;;1 Positiva ;;
#149659/73;;Negativa ;;
#149659/74;;1 Positiva ;;
#149659/75;;2 Positiva ;;
#149659/76;;Negativa ;;
#149659/77;;Negativa ;;
#149659/78;;3 Positiva ;;
#149659/79;;Negativa ;;
#149659/80;;Negativa ;;
#149659/81;;Negativa ;;
#149659/82;;Negativa ;;
#149659/83;;Negativa ;;
#149659/84;;Negativa ;;
#149659/85;;Negativa ;;
#149659/86;;1 Positiva ;;
#149659/87;;Negativa ;;
#149659/88;;Negativa ;;
#149659/89;;Negativa ;;
#149659/90;;1 Positiva ;;
#149659/91;;Negativa ;;
#149659/92;;1 Positiva ;;
#149659/93;;2 Positiva ;;
#149659/94;;Negativa ;;
#149659/95;;2 Positiva ;;
#149659/96;;1 Positiva ;;
#149659/97;;Negativa ;;
#149659/98;;Negativa ;;
#149659/99;;1 Positiva ;;
#149659/100;;4 Positiva ;;
#149659/101;;Negativa ;;
#149659/102;;1 Positiva ;;
#149659/103;;Negativa ;;
#149659/104;;1 Positiva ;;
#149659/105;;1 Positiva ;;
#149659/106;;1 Positiva ;;
#149659/107;;Negativa ;;
#149659/108;;2 Positiva ;;
#149659/109;;Negativa ;;
#149659/110;;Negativa ;;
#149659/111;;1 Positiva ;;
#149659/112;;2 Positiva ;;
#149659/113;;Negativa ;;
#149659/114;;1 Positiva ;;
#149659/115;;1 Positiva ;;
#149659/116;;6 Positiva ;;
#149659/117;;3 Positiva ;;
#149659/118;;3 Positiva ;;
#149659/119;;Negativa ;;
#149659/120;;Negativa ;;
#149659/121;;2 Positiva ;;
#149659/122;;Negativa ;;
#149659/123;;Negativa ;;
#149659/124;;Negativa ;;
#149659/125;;4 Positiva ;;
#149659/126;;1 Positiva ;;
#149659/127;;Negativa ;;
#149659/128;;1 Positiva ;;
#149659/129;;Negativa ;;
#149659/130;;Negativa ;;
#149659/131;;1 Positiva ;;
#149659/132;;Negativa ;;
#149659/133;;2 Positiva ;;
#149659/134;;Negativa ;;
#149659/135;;Negativa ;;
#149659/136;;2 Positiva ;;
#149659/137;;1 Positiva ;;
#149659/138;;1 Positiva ;;
#149659/139;;3 Positiva ;;
#149659/140;;1 Positiva ;;
#149659/141;;Negativa ;;
#149659/142;;Negativa ;;
#149659/143;;Negativa ;;
#149659/144;;5 Positiva ;;
#149659/145;;3 Positiva ;;
#149659/146;;Negativa ;;
#149659/147;;Negativa ;;
#149659/148;;1 Positiva ;;
#149659/149;;1 Positiva ;;
#149659/150;;Negativa ;;
#149659/151;;Negativa ;;
#149659/152;;1 Positiva ;;
#149659/153;;7 Positiva ;;
#149659/154;;1 Positiva ;;
#149659/155;;4 Positiva ;;
#149659/156;;Negativa ;;
#149659/157;;2 Positiva ;;
#149659/158;;Negativa ;;
#149659/159;;4 Positiva ;;
#149659/160;;2 Positiva ;;
#149659/161;;2 Positiva ;;
#149659/162;;3 Positiva ;;
#149659/163;;Negativa ;;
#149659/164;;Negativa ;;
#149659/165;;2 Positiva ;;
#149659/166;;Negativa ;;
#149659/167;;Negativa ;;
#149659/168;;2 Positiva ;;
#149659/169;;Negativa ;;
#149659/170;;Negativa ;;
#149659/171;;1 Positiva ;;
#149659/172;;1 Positiva ;;
#149659/173;;2 Positiva ;;
#149659/174;;Negativa ;;
#149659/175;;Negativa ;;
#149659/176;;Negativa ;;
#149659/177;;3 Positiva ;;
#149659/178;;3 Positiva ;;
#149659/179;;Negativa ;;
#149659/180;;1 Positiva ;;
#149659/181;;Negativa ;;
#149659/182;;Negativa ;;
#149659/183;;1 Positiva ;;
#149659/184;;Negativa ;;
