Relatório ;0;;;;;;;
Entre ;19/06/2011 00:00:00 e 20/06/2014 23:59:59 ;tirado em 20/06/2014 09:32:17;;;;;;
Data/Hora;Ordem;Descrição;Pago;Troco;Valor;Forma;Feito;
00/00/0000 00:00:00;#306367/1;Matricula Atualizada;;;38.48;Dinheiro;Não;
00/00/0000 00:00:00;#305029/2;Matricula Atualizada;;;38.48;Dinheiro;Não;
00/00/0000 00:00:00;#306135/2;Matricula Atualizada;;;38.48;Dinheiro;Não;
00/00/0000 00:00:00;#305999/1;Matricula Atualizada;;;38.48;Dinheiro;Não;
00/00/0000 00:00:00;#306135/1;Matricula Atualizada;;;38.48;Dinheiro;Não;
00/00/0000 00:00:00;#304917/2;Matricula Atualizada;;;38.48;Dinheiro;Não;
;

00/00/0000 00:00:00;#306363/1;Negativa de Protesto ;;;97.10;Dinheiro;Não;
;

00/00/0000 00:00:00;#304780/1;Óbito ;;;50.00;Dinheiro;Não;
;;;;Total;377.98;;;
