Número de Serviços por Departamento;
Referência:; 08/2011
Dia;2 via;Processos;Imóveis;Protesto de Cheques;
1;19;34;31;7
2;22;85;25;4
3;23;528;435;2
4;21;364;286;
5;18;77;49;1
6;5;;;
7;;;;
8;19;128;93;
9;36;99;74;1
10;24;54;48;4
11;17;35;16;7
12;24;1089;1065;8
13;;;;
14;;;;
15;27;28;27;6
16;14;40;56;7
17;17;155;138;
18;20;21;15;4
19;13;365;363;1
20;;;;
21;;;;
22;6;173;99;27
23;15;99;18;4
24;17;96;21;3
25;14;59;37;8
26;24;52;37;1
27;;;;
28;;;;
29;14;47;21;1
30;26;323;335;11
31;10;37;32;2
;445;3988;3321;109;
