Ordens ;Protocolo;Resposta ;custas;motivo do atraso
#154653/1;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/2;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/3;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/4;;5 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/5;;4 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/6;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/7;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/8;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/9;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/10;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/11;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/12;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/13;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/14;;4 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/15;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/16;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/17;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/18;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/19;;11 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/20;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/21;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/22;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/23;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/24;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/25;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/26;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/27;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/28;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/29;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/30;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/31;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/32;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/33;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/34;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/35;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/36;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/37;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/38;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/39;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/40;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/41;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/42;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/43;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/44;;6 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/45;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/46;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/47;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/48;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/49;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/50;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/51;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/52;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/53;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/54;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/55;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/56;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#154653/57;;Negativa ;;Detran não emitiu a certidão na data prometida 
#154653/58;;Negativa ;;Detran não emitiu a certidão na data prometida 
