 - %;
Referência:; 04/2010;
Dia;Faturamento;Impostos;Royalties;Propaganda
1;6.874,58;;0,00;137,49;
2;0,00;;0,00;0,00;
3;0,00;;0,00;0,00;
4;0,00;;0,00;0,00;
5;3.160,93;;0,00;63,22;
6;5.537,87;;0,00;110,76;
7;16.169,99;;0,00;323,40;
8;8.899,41;;0,00;177,99;
9;14.369,02;;0,00;287,38;
10;0,00;;0,00;0,00;
11;0,00;;0,00;0,00;
12;3.406,56;;0,00;68,13;
13;11.663,69;;0,00;233,27;
14;7.354,09;;0,00;147,08;
15;3.312,07;;0,00;66,24;
16;2.995,91;;0,00;59,92;
17;0,00;;0,00;0,00;
18;0,00;;0,00;0,00;
19;8.935,40;;0,00;178,71;
20;8.787,00;;0,00;175,74;
21;925,00;;0,00;18,50;
22;10.055,57;;0,00;201,11;
23;142,00;;0,00;2,84;
24;0,00;;0,00;0,00;
25;0,00;;0,00;0,00;
26;0,00;;0,00;0,00;
27;0,00;;0,00;0,00;
28;0,00;;0,00;0,00;
29;0,00;;0,00;0,00;
30;0,00;;0,00;0,00;
31;0,00;;0,00;0,00;
Total;112.589,09;;0,00;2.251,78;
Pedidos Contabilizados:
#92162/1;90,00;
#92110/1;35,00;
#91819/1;114,66;
#91793/1;40,00;
#91530/1;62,50;
#91463/4;45,00;
#91463/3;45,00;
#91463/2;45,00;
#91463/1;45,00;
#91202/1;62,50;
#91015/1;82,5;
#90847/2;48,00;
#90812/4;42,00;
#90812/3;42,00;
#90812/2;42,00;
#90812/1;42,00;
#90756/2;27,72;
#90756/1;48,60;
#90753/2;27,72;
#90753/1;48,60;
#86322/9;60,00;
#90636/6;71,00;
#90636/5;98,00;
#90636/4;71,00;
#90636/3;71,00;
#90636/2;71,00;
#90636/1;90,00;
#90593/1;121,00;
#90275/7;108,00;
#90275/6;180,00;
#90275/5;164,00;
#90275/4;108,00;
#90275/3;108;
#90514/1;136,00;
#90507/1;150;
#90282/13;38,00;
#90282/11;143,00;
#90315/1;80,00;
#90282/10;38,00;
#90282/9;38,00;
#90282/8;38,00;
#90282/5;38,00;
#90282/4;143,00;
#90282/3;38,00;
#90282/2;38,00;
#90282/1;38,00;
#90275/1;108,00;
#90267/2;44;
#90267/1;86,02;
#90256/1;333,00;
#90241/1;680,00;
#90236/1;148,75;
#90180/1;100,00;
#90156/1;124,43;
#90138/1;185;
#90049/1;72,30;
#89980/1;83,00;
#89696/1;147;
#87240/1;95,75;
#86990/1;129,00;
#86978/2;75,00;
#86689/1;62,50;
#86519/1;147,00;
#85757/1;148,00;
#85397/1;62,50;
#85259/1;80,60;
#85216/1;88,20;
#85042/1;62,50;
#82724/1;149;
#82265/1;120,00;
#81720/2;80,23;
#75460/2;150,00;
#92247/12;45,00;
#92247/11;45,00;
#92247/10;45,00;
#92225/1;25,00;
#92134/1;62,50;
#91908/1;62,50;
#91761/1;130;
#91730/1;47,50;
#91722/1;45,00;
#91718/1;45,00;
#91542/1;81,00;
#91491/1;109,00;
#91054/1;75,00;
#91042/2;30,00;
#91042/1;30,00;
#91029/1;110,00;
