Referência;06/2012;
Franquia;Royalties;Fundo de Propaganda;Faturamento;Despesa;Tipo
Campinas LJ 03 - SP;R$ 1.000,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 1000.00 semestre
Amapá - AP;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Amazonas - AM;R$ 22,50;R$ 9,00;R$ 450,00;R$ 0,00;5.00% do Bruto
Aparecida de Goiânia - GO;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Araçatuba - SP;R$ 35,63;R$ 14,25;R$ 712,53;R$ 0,00;5.00% do Bruto
Araguaína - TO;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Araraquara - SP;R$ 43,00;R$ 17,20;R$ 860,00;R$ 0,00;5.00% do Bruto
Atibaia - SP;R$ 500,00;R$ 33,98;R$ 1.699,00;R$ 0,00;Fixo 500.00 semestre
Barreiras - BA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Barretos - SP e Bebedouro-SP;R$ 140,15;R$ 56,06;R$ 2.803,00;R$ 0,00;5.00% do Bruto
Barueri - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Batatais - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Bauru - SP;R$ 199,42;R$ 37,98;R$ 4.643,19;R$ 2.535,00;10.50% do Líquido
Belém - PA;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Belo Horizonte - MG;R$ 82,50;R$ 33,00;R$ 1.650,00;R$ 0,00;5.00% do Bruto
Betim - MG;R$ 5,50;R$ 2,20;R$ 110,00;R$ 0,00;5.00% do Bruto
Birigui - SP;R$ 500,00;R$ 40,62;R$ 2.031,00;R$ 0,00;Fixo 500.00 semestre
Blumenau - SC;R$ 4,35;R$ 1,74;R$ 87,00;R$ 0,00;5.00% do Bruto
Bragança Paulista - SP;R$ 82,00;R$ 32,80;R$ 1.640,00;R$ 0,00;5.00% do Bruto
Brasília - DF;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Cabo Frio - RJ;R$ 18,50;R$ 7,40;R$ 370,00;R$ 0,00;5.00% do Bruto
Cajamar - SP;R$ 500,00;R$ 5,60;R$ 280,00;R$ 0,00;Fixo 500.00 semestre
Campinas - SP;R$ 253,65;R$ 101,46;R$ 5.072,97;R$ 0,00;5.00% do Bruto
Campinas LJ 02 - SP;R$ 13,50;R$ 5,40;R$ 270,00;R$ 0,00;5.00% do Bruto
Campo Grande - MS;R$ 25,45;R$ 10,18;R$ 509,00;R$ 0,00;5.00% do Bruto
Campo Mourão - PR;R$ 1.000,00;R$ 29,08;R$ 1.453,83;R$ 0,00;Fixo 1000.00 semestre
Capivari - SP;R$ 41,40;R$ 16,56;R$ 828,00;R$ 0,00;5.00% do Bruto
Caraguatatuba - SP;R$ 121,20;R$ 48,48;R$ 2.424,00;R$ 0,00;5.00% do Bruto
Cascavel - PR;R$ 10,00;R$ 4,00;R$ 199,93;R$ 0,00;5.00% do Bruto
Chapecó - SC;R$ 168,75;R$ 67,50;R$ 3.375,00;R$ 0,00;5.00% do Bruto
Conselheiro Lafaiete - MG;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Curitiba - PR;R$ 72,45;R$ 28,98;R$ 1.449,00;R$ 0,00;5.00% do Bruto
