0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Brigadeiro Faria Lima           4.440     2º andar  Itaim Bibi                    São Paulo                     04538132SPBicbanco S/A                                                                    27052014                                                                                                                                                                                                                                                                                                                                                                                                000001
1009421012831COBR_CAUC_COR  ASA ALIMENTOS S/A                       009587239000427COOPERATIVA MISTA DOS AVICULT. DO       ESTRADA TERESINA UNIAO ZONA LESTE       TERESINA                                64058305PI4762500001001514290050205     22052014900BRADESCO S/A        1206201400000000011475000CC                                                                                                                                                                                                                                                                                                                                                                                           302577-1      000002
1021420930887COBR_CAUC_COR  DEDINI S/A INDUSTRIAS DE BASE           033273681000110FLOWSERVE DO BRASIL LTDA                ESTRADA DO PEDREGOSO CAMPO GRANDE BR    RIO DE JANEIRO                          23078450RJ47626000010656875748494-3-3   21052014900BRADESCO S/A        2006201400000000020087511CC                                                                                                                                                                                                                                                                                                                                                                                           302577-2      000003
1048421002195COBR_CAUC_COR  SERVIMED COMERCIAL LTDA                 054375647003738DROGAL FARMACEUTICA LTDA                AV DR CASSIO P PADOVANI 1910            PIRACICABA                              13405190SP47627000010197589610883422    21052014900BRADESCO S/A        1806201400000000014046015CC                                                                                                                                                                                                                                                                                                                                                                                           302577-3      000004
1050421001492COBR_CAUC_COR  M J NOVAES DE LIMA & CIA LTDA           003384037000159MASTROTTO BRASIL S.A                    ROD BR 101, KM 201,201                  CACHOEIRA                               44300000BA47628000010000274614/5888B    22052014900BRADESCO S/A        1206201400000000011957952CC                                                                                                                                                                                                                                                                                                                                                                                           302577-4      000005
1007421077072COBR_CAUC_BIC  SIDMEX INTERNACIONAL LTDA               003684434000227DISKPAR LOGISTICA E AUTOMACAO LTDA      LOURENCO BELLOLI,877                    OSASCO                                  06268110SP47629000010293649514343       22052014007PAULISTA            1507201400000000017504641CC                                                                                                                                                                                                                                                                                                                                                                                           302577-5      000006
1007421077072COBR_CAUC_BIC  SIDMEX INTERNACIONAL LTDA               003684434000227DISKPAR LOGISTICA E AUTOMACAO LTDA      LOURENCO BELLOLI,877                    OSASCO                                  06268110SP47629000020293650914344       22052014007PAULISTA            1507201400000000017504641CC                                                                                                                                                                                                                                                                                                                                                                                           302577-6      000007
1022421008866COBR_CAUC_COR  FRIGOL S.A. EM RECUPERACAO JUDICIAL     010700821000194RAIMUNDO NONATO BANDEIRA E SILVA        RUA BELA VISTA, 05                      NATAL                                   59060190RN47630000010000087500036451-1  22052014900BRADESCO S/A        2606201400000000011607518CC                                                                                                                                                                                                                                                                                                                                                                                           302577-7      000008
1021421017050COBR_CAUC_COR  STAR DISTR PROD FARMACEUTICOS LTDA      003176330000120VAREJAO DOS COMPRIMIDOS LTDA - EPP      RUA DO POCINHO, 187                     FORTALEZA                               60055120CE4763100001000010970000001901  02052014900BRADESCO S/A        0106201400000000031200598CC                                                                                                                                                                                                                                                                                                                                                                                           302577-8      000009
1021421017050COBR_CAUC_COR  STAR DISTR PROD FARMACEUTICOS LTDA      003176330000120VAREJAO DOS COMPRIMIDOS LTDA - EPP      RUA DO POCINHO, 187                     FORTALEZA                               60055120CE4763100002000011010000001902  02052014900BRADESCO S/A        1106201400000000031200597CC                                                                                                                                                                                                                                                                                                                                                                                           302577-9      000010
1021421017050COBR_CAUC_COR  STAR DISTR PROD FARMACEUTICOS LTDA      061549259000180DROGARIA ONOFRE LTDA                    PRACA DA SE , 170                       SAO PAULO                               01001000SP4763200001000011270000326701  19052014900BRADESCO S/A        2406201400000000028374484CC                                                                                                                                                                                                                                                                                                                                                                                           302577-10     000011
1016421009571COBR_CAUC_BIC  IMPORTADORA DE FRUTAS LA VIOLETERA      006314327000203JC DIST LOGISTICA IMP EXP PROD IND      RUA 1 QD1 LOTE 2 S/N                    APARECIDA DE GO                         74980970GO4765600001045084810029732301  21052014018GOIANIA             1806201400000000011548938CC                                                                                                                                                                                                                                                                                                                                                                                           302578-1      000012
1018421034826COBR_CAUC_BIC  LACEL LATICINIOS CERES LTDA             023439441001323ARMAZEM MATEUS LTDA                     AV ENG.EMILIANO MACIEIRA, 5 - DEPOSITO  SAO LUIS                                65095602MA476570000103710363032505      22052014042SAO LUIS            2306201400000000011174400CC                                                                                                                                                                                                                                                                                                                                                                                           302578-2      000013
1018421034834COBR_CAUC_COR  LACEL LATICINIOS CERES LTDA             023439441000190ARMAZEMMATEUS LTDA                      RUA PROFESSOR JOCA REGONR.100           BALSAS                                  65800000MA476580000103710380032500      22052014900BRADESCO S/A        2506201400000000054900000CC                                                                                                                                                                                                                                                                                                                                                                                           302578-3      000014
1048421002195COBR_CAUC_COR  SERVIMED COMERCIAL LTDA                 011420176000119A B DO AMARAL                           R 24 600                                GOIANIA                                 74030060GO47659000010197712111399222    22052014900BRADESCO S/A        2605201400000000049750483CC                                                                                                                                                                                                                                                                                                                                                                                           302578-4      000015
