0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Brigadeiro Faria Lima           4.440     2º andar  Itaim Bibi                    São Paulo                     04538132SPBicbanco S/A                                                                    23092014                                                                                                                                                                                                                                                                                                                                                                                                000001
1046421006070DIR_CREDIT     METALURGICA DS LTDA                     060857349000176TRW AUTOMOTIVE LTDA                     VIA ANHANGUERA KM 147                   LIMEIRA                                 13486915SP4914700001                                                                                                                                          012675293           260320070000018698            16092014000404fornecimento de discos e tambores de freio para automóveis.                                                                                                                                                                                     079414868000198323608-1      000002
1023421008678DIR_CREDIT     AUTO VIACAO A B C LTDA                  007096200000139CMT-CONSÓRCIO METROPOLITANO DE TRANSPORTAVENIDA REBOUÇAS Nº1368 JARDIM PAULISTA SÃO PAULO                               05402100SP4916400001                                                                                                                                          012518791           020320090000024370            05032014051902VENDA DE PASSAGENS E RESPECTIVOS BILHETES E TODAS AS DEMAIS OPERAÇÕESCOMPREENDIDAS NO "SISTEMA" DA CMT, DESTACANDO A MARCA "BOM-BILHETE ÔNIBUS METROPOLITANO",CADASTOS E OUTROS ATIVOS, MATERIAIS E IMATERIAIS NA OPERAÇÃO.                     059153569000130323608-2      000003
1017421012786COBR_CAUC_BIC  FABRICA DA PEDRA S.A FIAC.E TECELAG     000886257000788ATMOSFERA GESTAO E HIGIENIZACAO DE      R. ANTONIO PIVABARRANQUEIROS, ,S/N      JUNDIAI                                 13212000SP49192000010259885123462-A01   19092014007PAULISTA            2212201400000000013405540CC                                                                                                                                                                                                                                                                                                                                                                                           323608-3      000004
1019421004658COBR_CAUC_COR  S/A ESTADO DE MINAS                     016705345000180SINDICATO DAS EMP.TRANSP.PASSAG.MG      AIMORES 2152BR                          BELO HORIZONTE                          30140072MG4919300001013229202511944-1   19092014900BRADESCO S/A        0311201400000000015000000CC                                                                                                                                                                                                                                                                                                                                                                                           323608-4      000005
1008421022487COBR_CAUC_COR  EBP - EMPRESA BRASILEIRA DE PESCADO     033381286000151SUPER MERCADO ZONA SUL S/A              RUA COMANDANTE VERGUEIRO DA CRUZ, 226   RIO DE JANEIRO                          21021020RJ4919400001018035910029147/    19092014900BRADESCO S/A        2310201400000000011718000CC                                                                                                                                                                                                                                                                                                                                                                                           323608-5      000006
1050421002855COBR_CAUC_COR  C F SANTOS COM DE ALIMENTOS LTDA        004899316000118IMIFARMA PRODUTOS FARMAC. E COSMET      TV QUINTINO BOCAIUVA 381,381            BELEM                                   66053240PA491950000100001120406675      19092014900BRADESCO S/A        1810201400000000010299010CC                                                                                                                                                                                                                                                                                                                                                                                           323608-6      000007
1046421006070DIR_CREDIT     METALURGICA DS LTDA                     060857349000176TRW AUTOMOTIVE LTDA                     VIA ANHANGUERA KM 147                   LIMEIRA                                 13486915SP4919900001                                                                                                                                          012677784           260320070000018698            19092014000404fornecimento de discos e tambores de freio para automóveis.                                                                                                                                                                                     079414868000198323608-7      000008
1015421021867COBR_CAUC_COR  COTRIJUI COOP AGROP & INDUSTRIAL        000491913000158JAIR DA SILVA MERCEARIA                 RUA MARCIONILIO SARAIVA DA FONSECA 727  SAO JERONIMO                            96700000RS492000000103184841107253-1    04092014900BRADESCO S/A        2509201400000000000015630CC                                                                                                                                                                                                                                                                                                                                                                                           323608-8      000009
1015421021867COBR_CAUC_COR  COTRIJUI COOP AGROP & INDUSTRIAL        012366468000183NATURASUL IND E COM ALIMENTOS           RUA LIBERIA 363                         NOVO HAMBURGO                           93348390RS492010000103179813111519-3    25082014900BRADESCO S/A        2909201400000000000005250CC                                                                                                                                                                                                                                                                                                                                                                                           323608-9      000010
1015421021867COBR_CAUC_COR  COTRIJUI COOP AGROP & INDUSTRIAL        012366468000183NATURASUL IND E COM ALIMENTOS           RUA LIBERIA 363                         NOVO HAMBURGO                           93348390RS492010000203183217107069-2    02092014900BRADESCO S/A        0111201400000000000010500CC                                                                                                                                                                                                                                                                                                                                                                                           323608-10     000011
1015421021867COBR_CAUC_COR  COTRIJUI COOP AGROP & INDUSTRIAL        050575109000125MAK BAR LTDA ME                         AV. DR.ADHEMAR P.BARROS 109             SAO PAULO                               03454070SP492020000106422476160856-1    15092014900BRADESCO S/A        2909201400000000000015840CC                                                                                                                                                                                                                                                                                                                                                                                           323608-11     000012
1015421021867COBR_CAUC_COR  COTRIJUI COOP AGROP & INDUSTRIAL        011316810000178MARIA ROSECLEIDE M. F. ROCHA LANCH      RUA JOAO AUGUSTO SILVEIRA (VILA SOARES) SAO BERNARDO DO                         09851715SP492030000106421046160713-1    15092014900BRADESCO S/A        2909201400000000000015840CC                                                                                                                                                                                                                                                                                                                                                                                           323608-12     000013
1015421021867COBR_CAUC_COR  COTRIJUI COOP AGROP & INDUSTRIAL        018495058000119NUTRIBENNE REFEICOES LTDA - ME          AV. PENHA DE FRANCA 796                 SAO PAULO                               03606000SP492040000106423197160932-1    16092014900BRADESCO S/A        3009201400000000000015840CC                                                                                                                                                                                                                                                                                                                                                                                           323608-13     000014
1015421021867COBR_CAUC_COR  COTRIJUI COOP AGROP & INDUSTRIAL        012261839000162TORRES REFEICOES CORPORATIVAS LTDA      RUA GLAUCO ANTONIO GALLI,               GUARULHOS                               07076010SP492050000106425092161126-1    17092014900BRADESCO S/A        2409201400000000000015840CC                                                                                                                                                                                                                                                                                                                                                                                           323608-14     000015
