0REMESSANOTIFICA«√O ELETRONICA        99999999999999Bicbanco S/A                            Avenida Paulista                        1048      12∫ andar BELA VISTA                    S√O PAULO                     01310100SPBicbanco S/A                                                                    26042011                                                                                                                                                                                                                                                                                                                                                                                                000001
1031421007893COBR_CAUC_BIC  DIPLOMATA S/AINDL. E COMERCIAL          010915021000190TOP ALTO PARTICIPACOES E COMERCIO       RUA SAO JOAO CAXIAS 99                  SAO JOAO DE MER                         25515420RJ2728700001048632900223100-01  19042011014RIO DE JANEIRO      0505201100000000013230000CC                                                                                                                                                                                                                                                                                                                                                                                           128703-1      000002
1031421007893COBR_CAUC_BIC  DIPLOMATA S/AINDL. E COMERCIAL          010915021000190TOP ALTO PARTICIPACOES E COMERCIO       RUA SAO JOAO CAXIAS 99                  SAO JOAO DE MER                         25515420RJ2728700002048633030223101-01  19042011014RIO DE JANEIRO      0805201100000000013230000CC                                                                                                                                                                                                                                                                                                                                                                                           128703-2      000003
1031421007893COBR_CAUC_BIC  DIPLOMATA S/AINDL. E COMERCIAL          010915021000190TOP ALTO PARTICIPACOES E COMERCIO       RUA SAO JOAO CAXIAS 99                  SAO JOAO DE MER                         25515420RJ2728700003048633110223102-01  19042011014RIO DE JANEIRO      0805201100000000013230000CC                                                                                                                                                                                                                                                                                                                                                                                           128703-3      000004
1031421007893COBR_CAUC_BIC  DIPLOMATA S/AINDL. E COMERCIAL          010915021000190TOP ALTO PARTICIPACOES E COMERCIO       RUA SAO JOAO CAXIAS 99                  SAO JOAO DE MER                         25515420RJ2728700004048633200108217-01  19042011014RIO DE JANEIRO      1005201100000000011765880CC                                                                                                                                                                                                                                                                                                                                                                                           128703-4      000005
1007421035264COBR_CAUC_COR  ALLIED ADVANCED TECHNOLOGIES LTDA       072456809000133CYBELAR COMERCIO E INDUSTRIA LTDA       RODOVIA CORNELIO PIRES, KM 78           TIETE                                   18530000SP272880000100514356000044942A  18032011900BRADESCO S/A        1705201100000000014520000CC                                                                                                                                                                                                                                                                                                                                                                                           128703-5      000006
1007421017118COBR_CAUC_BIC  NILPEL IND E COM DE PAPEIS LTDA         000190373000172INDUSTRIA E COMERCIO DE COSMETICOS      AV FRANCISCO MATARAZZO 1500 ED NEW YO   S„O PAULO                               05001100SP272890000100513511NFE3-25772  18042011007PAULISTA            1206201100000000013464062CC                                                                                                                                                                                                                                                                                                                                                                                           128703-6      000007
1007421024386COBR_CAUC_BIC  TRES EDITORIAL LTDA                     004206050009056TIM CELULAR S/A                         AV. MOFARREJ,1174                       SAO PAULO                               05311000SP272900000100513864022652-A    19042011007PAULISTA            1505201100000000010065600CC                                                                                                                                                                                                                                                                                                                                                                                           128703-7      000008
1007421049419COBR_CAUC_BIC  UNIPAC EMBALAGENS LTDA                  003092122000143PROTERVAC IND E COM DE EMBALAGENS       AV. DR. RODRIGUES ALVES,82              SAO CAETANO DO                          09520300SP272910000100514682001021338   19042011038ABC                 1807201100000000015201650CC                                                                                                                                                                                                                                                                                                                                                                                           128703-8      000009
1037421007060COBR_CAUC_BIC  CONGR FILHAS N S STELLA MARIS           074466137000172UNIMED GUARULHOS COOPERATIVA DE TR      RUA TABAJARA, 642                       GUARULHOS                               07111120SP2729200001044681258.223-A     31032011037GUARULHOS           2005201100000000040577472CC                                                                                                                                                                                                                                                                                                                                                                                           128703-9      000010
1021420930887COBR_CAUC_COR  DEDINI S/A INDUSTRIAS DE BASE           007930999000206TOTAL AGROINDUSTRIA CANAVIEIRA S A      ROD MG 827 KM BAMBUI MEDEIROS BR        BAMBUI                                  38900000MG27315000010614692581218-17-2  14012011800UNIBANCO S/A        0405201100000000015052594CC                                                                                                                                                                                                                                                                                                                                                                                           128822-1      000011
1021420930887COBR_CAUC_COR  DEDINI S/A INDUSTRIAS DE BASE           015527906002937LDC BIOENERGIA S.A.                     VL LUCIANIA ZONA RURAL BR               LAGOA DA PRATA                          35590000MG27316000010614679826104-1-1   05042011800UNIBANCO S/A        0405201100000000070000000CC                                                                                                                                                                                                                                                                                                                                                                                           128822-2      000012
1046421000048COBR_CAUC_COR  SBDE SOC BRAS DE EMB E DESC LTDA        048295562001450USINA ALTO ALEGRE S/A ACUCAR E ALC      RUA JOSE LEITE, 40                      PRESIDENTE PRUD                         19050010SP2731700001011104580001572701  19042011600HSBC BANK BRASIL    0305201100000000019576702CC                                                                                                                                                                                                                                                                                                                                                                                           128822-3      000013
1010421004134COBR_CAUC_BIC  USINA CRUANGI S/A                       002909530000182FEDERAL DISTR DE PETROLEO LTDA          AV.ANTONIO DE GOES,183                  RECIFE                                  51110000PE27318000010412027422446       21032011010RECIFE              3010201100000000060000000CC                                                                                                                                                                                                                                                                                                                                                                                           128822-4      000014
1010421004134COBR_CAUC_BIC  USINA CRUANGI S/A                       002909530000182FEDERAL DISTR DE PETROLEO LTDA          AV.ANTONIO DE GOES,183                  RECIFE                                  51110000PE27318000020412028222447       21032011010RECIFE              3011201100000000060000000CC                                                                                                                                                                                                                                                                                                                                                                                           128822-5      000015
1010421004134COBR_CAUC_BIC  USINA CRUANGI S/A                       002909530000182FEDERAL DISTR DE PETROLEO LTDA          AV.ANTONIO DE GOES,183                  RECIFE                                  51110000PE27318000030412029122448       21032011010RECIFE              3012201100000000060000000CC                                                                                                                                                                                                                                                                                                                                                                                           128822-6      000016
1007421043100COBR_CAUC_COR  MACROPORT INTERNACIONAL LTDA            004695222000208RODABRAS COMERCIO DE PNEUS LTDA-ME      R.ONILDO REIS,150                       ITAJAI                                  88311725SC273190000100516871581         18042011600HSBC BANK BRASIL    1706201100000000020458946CC                                                                                                                                                                                                                                                                                                                                                                                           128822-7      000017
1007421043100COBR_CAUC_COR  MACROPORT INTERNACIONAL LTDA            004695222000208RODABRAS COMERCIO DE PNEUS LTDA-ME      R.ONILDO REIS,150                       ITAJAI                                  88311725SC273190000200516880579         18042011600HSBC BANK BRASIL    1706201100000000020365873CC                                                                                                                                                                                                                                                                                                                                                                                           128822-8      000018
1007421034080COBR_CAUC_BIC  SIDMEX INTERNACIONAL LTDA               004887369000119BIZ - BORD COMERCIAL LTDA               RUA FERNAO DE MAGALHAES,152             SAO PAULO                               03023010SP27346000010042931688110A      09032011007PAULISTA            1005201100000000011700000CC                                                                                                                                                                                                                                                                                                                                                                                           128822-9      000019
9000018                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000020
