0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Brigadeiro Faria Lima           4.440     2º andar  Itaim Bibi                    São Paulo                     04538132SPBicbanco S/A                                                                    13062014                                                                                                                                                                                                                                                                                                                                                                                                000001
1045421005424DIR_CREDIT     SAO LUCAS MEDICO HOSPITALAR LTDA        013360276000122UNIMED SERGIPE - COOP DE TRAB MEDICO    RUA SOCORRO 100_ SAO JOSE               ARACAJU                                 49015300SE4761700001                                                                                                                                          012587134           01052003000000852505/2003     21052014000404Contrato de prestação de serviços hospitalares aos beneficiários dos planos de saúde operacionalizados pela contratante.                                                                                                                        013131370000100305572-1      000002
1008421002710DIR_CREDIT     OCS MIN E EMPREENDIMENTOS LTDA          034230979005418SUPERMIX CONCRETO S/A                   R PROF. JOSE VIEIRA DE MENDONçA, 1121   BELO HORIZONTE                          31310260MG4764200001                                                                                                                                          012577187           100120070000012817            22052014000404fornecimento de material produzido pela OCS-Mineração e EmpreendimentosLtda,a saber Brita 19mm,Brita 9,5mm e areia grossa de Brita,todos fornecidos e oferecidos em forma de tonelada.                                                          007323439000102305572-2      000003
1014421024990DIR_CREDIT     FLAVIO MOVEIS LTDA                      027406222000165DACASA FINANCEIRA S/A                   AV NOSSA SENHORA DA PENHA, 2035         VITORIA                                 29056245ES4765500001                                                                                                                                          012586461           010620070000023670S/NR        22052014000403recebíveis do cartão de crédito Private Label denominado CartãoPalladium Móveis - DACASA.                                                                                                                                                       005107922000116305572-3      000004
1029420932648DIR_CREDIT     PRATO FEITO ALIMENTACAO E SERVICOS      000350387000106A.T.C ASSOCIATED TOBACCO COMPANY BR LTDABR 471 KM 132 - DISTRITO INDUSTRIAL     SANTA CRUZ DO SUL                       96835642RS4766400001                                                                                                                                          012112289           201220010000000796S/N         17012013051902FornecimentO de refeições coletivos.                                                                                                                                                                                                            094161122000103305572-4      000005
1029420932648DIR_CREDIT     PRATO FEITO ALIMENTACAO E SERVICOS      095428231001421JTI KANNENBERG COM DE TABACOS DO BRASIL BR 471 KM 133,5                         SANTA CRUZ DO SUL                       96810971RS4766500001                                                                                                                                          012112289           210120070000000798S/N         17012013051902fornecimento de refeições coletivas.                                                                                                                                                                                                            094161122000103305572-5      000006
1029420932648DIR_CREDIT     PRATO FEITO ALIMENTACAO E SERVICOS      061064929004328DU PONT DO BRASIL S/A                   BR 471 KM 49                            SANTA CRUZ DO SUL                       96835640RS4766600001                                                                                                                                          012112289           230120070000000802S/N         17012013051902fornecimento de refeições coletivas.                                                                                                                                                                                                            094161122000103305572-6      000007
1029421016661DIR_CREDIT     PRATO FEITO ALIMENTACAO E SERVICOS      089086961000336DAKOTA CALCADOS LTDA                    RUA BARAO DO RIO BRANCO,101             SARANDI                                 99560000RS4766700001                                                                                                                                          012112289           020520000000008494029/SN      17012013051902Fornecimento de refeições coletivas.                                                                                                                                                                                                            094161122000103305572-7      000008
1008421002710DIR_CREDIT     OCS MIN E EMPREENDIMENTOS LTDA          034230979005418SUPERMIX CONCRETO S/A                   R PROF. JOSE VIEIRA DE MENDONçA, 1121   BELO HORIZONTE                          31310260MG4774400001                                                                                                                                          012595274           100120070000012817            29052014000404fornecimento de material produzido pela OCS-Mineração e EmpreendimentosLtda,a saber Brita 19mm,Brita 9,5mm e areia grossa de Brita,todos fornecidos e oferecidos em forma de tonelada.                                                          007323439000102305572-8      000009
1016420932350COBR_CAUC_BIC  PLASTICOS DO PARANA LTDA                017359233000188TECIDOS E ARM MIGUEL BARTOLOMEU S/      MUN COELHO JACINTO JUNIOR,0             CONTAGEM                                32150245MG47908000010452883120486/1     05062014019BELO HORIZONTE      2006201400000000011314295CC                                                                                                                                                                                                                                                                                                                                                                                           305572-9      000010
1048421000338COBR_CAUC_COR  FRIGOESTRELA S.A. EM RECUP JUDICIAL     003384037000159MASTROTTO BRASIL S/A                    ROD BR 101 KM 201, S/N                  CACHOEIRA                               44300000BA4790900001082659830112832601  06062014900BRADESCO S/A        0407201400000000032554034CC                                                                                                                                                                                                                                                                                                                                                                                           305572-10     000011
1007421065309COBR_CAUC_BIC  OCEANO IND.GRAFICA E EDITORA LTDA       056529217000148COM. APARAS PRIMOS DE RIO CLARO LT      RODOVIA SP 191 KM 63,191-KM 63          RIO CLARO                               13500970SP47910000010299802463708-B     13052014021CAMPINAS            1507201400000000015000000CC                                                                                                                                                                                                                                                                                                                                                                                           305572-11     000012
1021421017050COBR_CAUC_BIC  STAR DISTR PROD FARMACEUTICOS LTDA      054375647003738DROGAL FARMACEUTICA LTDA                AVENIDA DR.CASSIO PASCHOAL PADOVANI,1910PIRACICABA                              13420355SP4791100001000020850000337001  03062014021CAMPINAS            0107201400000000012250526CC                                                                                                                                                                                                                                                                                                                                                                                           305572-12     000013
1021421017050COBR_CAUC_BIC  STAR DISTR PROD FARMACEUTICOS LTDA      054375647003738DROGAL FARMACEUTICA LTDA                AVENIDA DR.CASSIO PASCHOAL PADOVANI,1910PIRACICABA                              13420355SP4791100002000020930000337101  03062014021CAMPINAS            0107201400000000010739748CC                                                                                                                                                                                                                                                                                                                                                                                           305572-13     000014
1021421017050COBR_CAUC_BIC  STAR DISTR PROD FARMACEUTICOS LTDA      061549259000180DROGARIA ONOFRE LTDA                    PRACA DA SE , 170                       SAO PAULO                               01001000SP4791200001000021310000337501  03062014007PAULISTA            1107201400000000013124948CC                                                                                                                                                                                                                                                                                                                                                                                           305572-14     000015
1021421017050COBR_CAUC_BIC  STAR DISTR PROD FARMACEUTICOS LTDA      061585865000151RAIA DROGASIL S/A                       AVENIDA CORIFEU DE AZEVEDO MARQUES, 3097SAO PAULO                               05339000SP4791300001000022710000338901  06062014007PAULISTA            2006201400000000024136341CC                                                                                                                                                                                                                                                                                                                                                                                           305572-15     000016
1021421017050COBR_CAUC_BIC  STAR DISTR PROD FARMACEUTICOS LTDA      061585865000151RAIA DROGASIL S/A                       AVENIDA CORIFEU DE AZEVEDO MARQUES, 3097SAO PAULO                               05339000SP4791300002000022800000339001  06062014007PAULISTA            2006201400000000072559109CC                                                                                                                                                                                                                                                                                                                                                                                           305572-16     000017
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        007273592000164IRMANDADE BENEF DA SANTA CASA DA M      R BARAO DO RIO BRANCO , 20              FORTALEZA                               60025060CE47924000010001991901P76334    21052014900BRADESCO S/A        2006201400000000000110300CC                                                                                                                                                                                                                                                                                                                                                                                           305572-17     000018
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        007273592000164IRMANDADE BENEF DA SANTA CASA DA M      R BARAO DO RIO BRANCO , 20              FORTALEZA                               60025060CE47924000020001992701P76335    21052014900BRADESCO S/A        2006201400000000000110300CC                                                                                                                                                                                                                                                                                                                                                                                           305572-18     000019
1008421030137COBR_CAUC_COR  CECOMIL COMERCIO E SERVICOS LTDA        007273592000164IRMANDADE BENEF DA SANTA CASA DA M      R BARAO DO RIO BRANCO , 20              FORTALEZA                               60025060CE47924000030001993501P76336    21052014900BRADESCO S/A        2006201400000000000110300CC                                                                                                                                                                                                                                                                                                                                                                                           305572-19     000020
