0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Brigadeiro Faria Lima           4.440     2º andar  Itaim Bibi                    São Paulo                     04538132SPBicbanco S/A                                                                    01082013                                                                                                                                                                                                                                                                                                                                                                                                000001
1028421001518COBR_CAUC_COR  GAIA AGRIBUSINESS AGRICOLA LTDA         000002322134104RAFAEL LOPES MAGNOS                     RUA 213,117                             MORRINHOS                               75650000GO42928000010290475135785       05032013800UNIBANCO S/A        2509201300000000011989263CC                                                                                                                                                                                                                                                                                                                                                                                           249161-1      000002
1028421001518COBR_CAUC_COR  GAIA AGRIBUSINESS AGRICOLA LTDA         000094733961120FABIO DANTAS DA COSTA                   RUA RIO GRANDE DO SUL,546               GOIATUBA                                75600000GO42930000010290477839133       05072013900BRADESCO S/A        2512201300000000012000000CC                                                                                                                                                                                                                                                                                                                                                                                           249161-2      000003
1028421001518COBR_CAUC_COR  GAIA AGRIBUSINESS AGRICOLA LTDA         000082255210134CRISTIANO LOPES ARANTES                 RUA URUGUAI,85                          ITUMBIARA                               75503970GO42929000010290476039134       05072013800UNIBANCO S/A        3012201300000000012000000CC                                                                                                                                                                                                                                                                                                                                                                                           249161-3      000004
1013421019571DIR_CREDIT     JPNOR ENGENHARIA LTDA                   001202799000242RIO POLIMEROS S.A.                      RUA MARUMBI, 1001-CAMPOS ELISEOS        DUQUE DE CAXIAS                         25070235RJ4293700001                                                                                                                                          012296564           10022010000001985910108       05072013000404Elaboração de projetos conceituais, de engenharia básica, de detalha-mento de projeto, de automação, estudos técnicos e estudos de viabilidade.                                                                                                 001531864000100249161-4      000005
1007421059872DIR_CREDIT     LP ADMINISTRADORA DE BENS LTDA          053558342000198ANIS RAZUK IND E COM LTDA               R.MINISTRO FIRMINO WHITAKER,63 - BRáS   SãO PAULOS                              03012020SP4292200001                                                                                                                                          012015808           280320120000022768            08102012000403locação de imovel situado em CAJAMAR/SP - Galpão 13 sito a Rodovia Edgar Máximo Zambotto, Setor dos Paes - Parte - 2 - Gleba 2.                                                                                                                 006193516000186249161-5      000006
1044421012350DIR_CREDIT     PAPI PRONTO SOCORRO                     008380701000105UNIMED NATAL                            RUA MIPIBU, 511 - PETRÓPOLIS            NATAL                                   59020250RN4291100001                                                                                                                                          012291280           260320080000005352001         04072013000404ATENDIMENTO MEDICO/AMBULATORIAL DOS CONVENIADOS A UNIMED/NATAL.                                                                                                                                                                                 008423220000130249161-6      000007
1046421001443COBR_CAUC_COR  COSTAO DO SANTINHO TUR E LAZER LTDA     002932074000604HYPERMARCAS S/A                         AV. PRESIDENTE KUBITSCHECK,1830         SAO PAULO                               04543900SP42959000010001107308072013    08072013900BRADESCO S/A        2607201300000000025000000CC                                                                                                                                                                                                                                                                                                                                                                                           249164-1      000008
1008421022487COBR_CAUC_COR  EBP - EMPRESA BRASILEIRA DE PESCADO     033304981000110SUPERMERCADOS MUNDIAL LTDA              RUADONA EMILIA, 2                       RIO DE JANEIRO                          20765110RJ4296100001016275300019837/    27062013900BRADESCO S/A        1707201300000000031050000CC                                                                                                                                                                                                                                                                                                                                                                                           249164-2      000009
1016421008591COBR_CAUC_BIC  GLOBOAVES SAO PAULO AGROAVICOLA LTD     083044016000980TYSON DO BRASIL ALIMENTOS LTDA          ROD BR 487 ESTR BOIADEIRA KM 185,0      CAMPO MOURAO                            87305380PR429600000104066691094513      04072013016CURITIBA            0108201300000000010963000CC                                                                                                                                                                                                                                                                                                                                                                                           249164-3      000010
1028421002921COBR_CAUC_COR  MATABOI ALIMENTOS S/A - EM REC.JUD.     016559614000148SOBERANO INDUSTRIA E COMERCIO DE A      RUA MANUEL DUARTE167GALPAO PARTE G      SAO GONCALO                             24430500RJ4295400001003850480010504001  05072013900BRADESCO S/A        0208201300000000015549548CC                                                                                                                                                                                                                                                                                                                                                                                           249164-4      000011
1029421018494COBR_CAUC_BIC  PRO SALUTE SERVICOS PARA SAUDE LTDA     088611264000122INTRAL S A IND DE MATERIAIS ELETRI      TRAV. RIO GRANDE , 130                  CAXIAS DO SUL                           95098750RS4295600001099866240133693.A   03072013029CAXIAS DO SUL       1008201300000000010148249CC                                                                                                                                                                                                                                                                                                                                                                                           249164-5      000012
1029421018494COBR_CAUC_BIC  PRO SALUTE SERVICOS PARA SAUDE LTDA     093785822000106SAN MARINO ONIBUS E IMPLEMENTOS LT      IRMAO GILDO SCHIAVO, 110                CAXIAS DO SUL                           95058510RS4295800001099866410133740.A   03072013029CAXIAS DO SUL       2007201300000000018130349CC                                                                                                                                                                                                                                                                                                                                                                                           249164-6      000013
1029421018494COBR_CAUC_BIC  PRO SALUTE SERVICOS PARA SAUDE LTDA     090467424000153VIACAO SANTA TEREZA DE CAXIAS DO S      RUA JULIO CALEGARI, 940                 CAXIAS DO SUL                           95095230RS4295700001099866590133759.A   03072013029CAXIAS DO SUL       1807201300000000022987994CC                                                                                                                                                                                                                                                                                                                                                                                           249164-7      000014
1009420930764COBR_CAUC_BIC  SA CORREIO BRAZILIENSE                  027865757002571GLOBO COMUNICACAO E PARTICIPACOES       SRTVN Q 701 CONJ. A ED TV GLOBO ASANOR  BRASILIA                                70719901DF4295500001014029812003-1      08072013009BRASILIA            3007201300000000012765480CC                                                                                                                                                                                                                                                                                                                                                                                           249164-8      000015
1007421069410COBR_CAUC_BIC  FULL COMEX TRADING S/A                  002065011000185CYNTHRON COMERCIAL IMPORTADORA E S      RUA DO ROCIO,423,C.J 1                  SAO PAULO                               04552000SP429770000102055715865.1       08072013007PAULISTA            2607201300000000014996600CC                                                                                                                                                                                                                                                                                                                                                                                           249170-1      000016
1029421012917COBR_CAUC_COR  GERMANI ALIMENTOS LTDA                  090341561000147ATACADAO COM. DE GEN. ALIM. LTDA        RODOVIA RS 118,10000                    GRAVATAI                                94100000RS429740000100029058136684-1    28062013900BRADESCO S/A        1508201300000000025000000CC                                                                                                                                                                                                                                                                                                                                                                                           249170-2      000017
