0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Paulista , 1048 12º andar                           BELA VISTA                    SÃO PAULO                     01310100SPBicbanco S/A                                                                    08032010                                                                                                                                                                                                                                                                                                                                                                                                000001
1044421004276DIR_CREDIT     MIRAGE ENGENHARIA LTDA                  008122657000133PREFEITURA MUNICIPAL DO ESPIRITO SANTO  RUA FCO RODRIGUES,                      ESPIRITO SANTO - RN                     59000000RN2072000001                                                                                                                                          481011023           060320090000011541S/N         01032010000404OBRA DE CONSTRUÇÃO DE 40 ( QUARETNA ) UNIDADES HABITACIONAIS NO MUNICIPIO DE ESPIRÍTO SANTO - RN. TOMADA DE PREÇO 02/2008.                                                                                                                      00104272100012788400-1       000002
1021421009694DIR_CREDIT     PRIME ENGENHARIA E CONSTRUCAO LTDA      044573087000161PM DE TUPA                              PRACA DA BANDEIRA 800                   TUPA                                    17601000SP2072300001                                                                                                                                          010874750           080620090000010215190/2009    01032010000407SERVICO DE REFORMA E AMPLIACAO DO PREDIO DO FORUM DA COMARCA DE TUPA-SP                                                                                                                                                                         00712489200018188400-2       000003
1028421001470DIR_CREDIT     CASA DE SAUDE SANTA MARTA LTDA          018431312001359PM DE UBERLANDIA                        AV ANSELMO ALVES SANTOS,600 STA MONICA  UBERLANDIA                              38400000MG2072800001                                                                                                                                          481004360           020320070000008629111111      02032010000404prestação de serviços de UTIS e enfermaria emergenciais pagosconformetabeladivulgada pela prefeitura ,conforme divulgado em Diarios Oficiais do Municipio                                                                                       02565438500013188400-3       000004
1018421012024DIR_CREDIT     INDUSTRIA QUIMICA DO ESTADO GOIAS       002529964000157SECRETARIA ESTADUAL DA SAUDE            RUA SC 1, NR. 299                       GOIANIA                                 74860270GO2077100001                                                                                                                                          010184728           280920060000006188NOTAS FISCAI16122009000403VENDA DE MEDICAMENTOS A SEC. SAUDE,NÃO HÁ CONTRATO ENTRE AS PARTES,APENAS EMISSÃO DE EMPENHOS(VIDE RELAÇÃO NR. 01/2008 ANEXA AO DOMICILIO) E NOTAS FISCAIS FATURADAS.                                                                           00154128300014188400-4       000005
1007421034080COBR_CAUC_BIC  SIDMEX INTERNACIONAL LTDA               045145075000107SANTO ANDRE DISTRIBUIDORA INDUSTRI      RUA CAIUBI ,60                          SANTO ANDRE                             09185610SP20772000010972284915111       23022010038ABC                 0503201000000000000092457CC                                                                                                                                                                                                                                                                                                                                                                                           88400-5       000006
1007421034080COBR_CAUC_BIC  SIDMEX INTERNACIONAL LTDA               045145075000107SANTO ANDRE DISTRIBUIDORA INDUSTRI      RUA CAIUBI ,60                          SANTO ANDRE                             09185610SP20772000020972285715112       23022010038ABC                 0503201000000000000273812CC                                                                                                                                                                                                                                                                                                                                                                                           88400-6       000007
1007421034080COBR_CAUC_BIC  SIDMEX INTERNACIONAL LTDA               045145075000107SANTO ANDRE DISTRIBUIDORA INDUSTRI      RUA CAIUBI ,60                          SANTO ANDRE                             09185610SP20772000030972286515113       23022010038ABC                 0503201000000000000802847CC                                                                                                                                                                                                                                                                                                                                                                                           88400-7       000008
1007421034080COBR_CAUC_BIC  SIDMEX INTERNACIONAL LTDA               045145075000107SANTO ANDRE DISTRIBUIDORA INDUSTRI      RUA CAIUBI ,60                          SANTO ANDRE                             09185610SP20772000040972287315091       23022010038ABC                 0503201000000000000092457CC                                                                                                                                                                                                                                                                                                                                                                                           88400-8       000009
1007421034080COBR_CAUC_BIC  SIDMEX INTERNACIONAL LTDA               045145075000107SANTO ANDRE DISTRIBUIDORA INDUSTRI      RUA CAIUBI ,60                          SANTO ANDRE                             09185610SP20772000050972288115092       23022010038ABC                 0503201000000000010799849CC                                                                                                                                                                                                                                                                                                                                                                                           88400-9       000010
1007421034080COBR_CAUC_BIC  SIDMEX INTERNACIONAL LTDA               045145075000107SANTO ANDRE DISTRIBUIDORA INDUSTRI      RUA CAIUBI ,60                          SANTO ANDRE                             09185610SP20772000060972289015093       23022010038ABC                 0503201000000000011591020CC                                                                                                                                                                                                                                                                                                                                                                                           88400-10      000011
1021420930887COBR_CAUC_COR  DEDINI S/A INDUSTRIAS DE BASE           049972326000170USINA MOEMA ACUCAR E ALCOOL LTDA        FAZENDA MOEMA ZONA RURAL BR             ORINDIUVA                               15480000SP207740000105744942101259-9-9  01032010900BRADESCO S/A        3006201000000000011587720CC                                                                                                                                                                                                                                                                                                                                                                                           88401-1       000012
1016421001333COBR_CAUC_COR  CONDUSPAR CONDUTORES ELETRICOS LTDA     002554135000124ACOME DO BRASIL LTDA                    RUA VEREADOR FRANCOIS ABIB, 400         IRATI                                   84500000PR207750000102695683206148      22022010600HSBC BANK BRASIL    2403201000000000020562923CC                                                                                                                                                                                                                                                                                                                                                                                           88401-2       000013
1016421001333COBR_CAUC_COR  CONDUSPAR CONDUTORES ELETRICOS LTDA     002554135000124ACOME DO BRASIL LTDA                    RUA VEREADOR FRANCOIS ABIB, 400         IRATI                                   84500000PR207750000202695691206252      24022010600HSBC BANK BRASIL    2603201000000000012302960CC                                                                                                                                                                                                                                                                                                                                                                                           88401-3       000014
1016421001333COBR_CAUC_COR  CONDUSPAR CONDUTORES ELETRICOS LTDA     002554135000124ACOME DO BRASIL LTDA                    RUA VEREADOR FRANCOIS ABIB, 400         IRATI                                   84500000PR207750000302695853206413      26022010600HSBC BANK BRASIL    2603201000000000012301925CC                                                                                                                                                                                                                                                                                                                                                                                           88401-4       000015
