0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Paulista , 1048 12º andar                           BELA VISTA                    SÃO PAULO                     01310100SPBicbanco S/A                                                                    29032010                                                                                                                                                                                                                                                                                                                                                                                                000001
1010421015845DIR_CREDIT     CONSTRUTORA MUNIZ DE ARAUJO LTDA        005440725000114FUNDACAO UNI. FED. VALE S. F. - UNIVASF AV JOSE DE Sá MANIçOBA, S/S             PETROLINA                               48902300PE2111100001                                                                                                                                          010893370           10022009000001060725/2009 UNIV19032010000407contrato para construção do complexo de educação fisica, na universidade federal do vale do são francisco - juazeiro-ba.                                                                                                                        02445786300015091423-1       000002
1043421001147DIR_CREDIT     MK CONSTRUCOES LTDA                     005055128000680U F C G - CUITE                         SITIO OLHO D´AGUA DA BICA, S/N, Z RURAL CUITE                                   58175000PB2111500001                                                                                                                                          010895955           11012010000001213001/2010     19032010000403CONSTRUÇÃO DA CENTRAL DE LABORATORIOS - CAMPUS DE SUME - UFCG.                                                                                                                                                                                  00607410500017191423-2       000003
1010420932380DIR_CREDIT     HOSPITAL DE AVILA LTDA                  011944899000117INST DE REC HUMANOS - IRH               RUA HENRIQUE DIAS, S/N                  RECIFE                                  50070140PE2116800001                                                                                                                                          481017279           020120080000012559007/2008    23032010000404serviço de assistência à saúde aos usuários do SASSEPE(servidores),ati-vos ou inativos que mantenham contrato com o irh.                                                                                                                        03571616600019391423-3       000004
1014421018817DIR_CREDIT     GEVA CONSTRUTORA LTDA                   072840085000127SANED COMPANHIA DE SANEAMENTO DE DIADEMARUA ESTADOS UNIDOS, 78                  DIADEMA                                 09921030SP2117600001                                                                                                                                          481019210           28052008000001195510.137-3/08 23032010000404EXECUÇÃO DE REDE DE ESGOTO EM VIAS PÚBLICAS E NOVOS LOTEAMENTOS E COLE-TOR TRONCO CURRAL GRANDE NO MUNICÍPIO DE DIADEMA.                                                                                                                        00815809100010891423-4       000005
1036421013940DIR_CREDIT     FACON ELETROM IND COM E SERV LTDA       088309620000662ALSTOM BRASIL ENERGIA E TRANSPORTE LTDA ALAMEDA CAMPINAS, 463 15AND             SAO PAULO                               01404000SP2119300001                                                                                                                                          481015583           1510200900000109289           24032010000404serviços especializados de elaboração e fornecimento de projeto de ins-talação,execução de montagem e instalação dos equipamentos,partes e peças dossistemas de sinalização e telecomunicações da Linha 1 da CMSP.                              00091126600019691423-5       000006
1036421013940DIR_CREDIT     FACON ELETROM IND COM E SERV LTDA       088309620000158ALSTOM BRASIL ENERGIA E TRANSPORTE LTDA ALAMEDA CAMPINAS, 463 - 15 ANDAR        SÃO PAULO                               01404000SP2119400001                                                                                                                                          481015583           01062009000001192503          24032010000404CONTRATO DE PRESTAÇÃO DE SERVIÇOS Nº 03 ESPECIALIZADOS DE PROJETO DE E-EXECUÇÃO DE MONTAGEM E INSTALAÇÃO DE SINALIZAÇÃO E TELECOMUNICAÇÕES.                                                                                                     00091126600019691423-6       000007
1010421015152DIR_CREDIT     MD ADMINISTRACAO DE IMOVEIS LTDA        003559037000142UNIDADE REGIONAL DE ATEND EM PERNAMBUCO RUA DO RIACHUELO,105 SALAS 1,1 E 4      RECIFE                                  50050400PE2120200001                                                                                                                                          010900970           171220080000008693            24032010000403Locação de imovel comercial,celebrado com a União por meio da advocaciaGeral da União e Moura Comércio Derivados, por um prazo de 60 meses.                                                                                                     00904166600016291423-7       000008
1016141013986COBR_CAUC_BIC  RODO MAR VEICULOS E MAQUINAS LTDA       076487651000110COCELPA CIA CELULOSE DO PARANA          ROD DO XISTO BR 476 KM 14,5             ARAUCARIA                               83707440PR2120700001027135502000/01     15032010016CURITIBA            1004201000000000016454985TD                                                                                                                                                                                                                                                                                                                                                                                           91423-8       000009
1016141013986COBR_CAUC_BIC  RODO MAR VEICULOS E MAQUINAS LTDA       076487651000110COCELPA CIA CELULOSE DO PARANA          ROD DO XISTO BR 476 KM 14,5             ARAUCARIA                               83707440PR2120700002027135682001/01     15032010016CURITIBA            1005201000000000016454985TD                                                                                                                                                                                                                                                                                                                                                                                           91423-9       000010
1016141013986COBR_CAUC_BIC  RODO MAR VEICULOS E MAQUINAS LTDA       076487651000110COCELPA CIA CELULOSE DO PARANA          ROD DO XISTO BR 476 KM 14,5             ARAUCARIA                               83707440PR2120700003027135762002/01     15032010016CURITIBA            1006201000000000016454985TD                                                                                                                                                                                                                                                                                                                                                                                           91423-10      000011
1016141013986COBR_CAUC_BIC  RODO MAR VEICULOS E MAQUINAS LTDA       076487651000110COCELPA CIA CELULOSE DO PARANA          ROD DO XISTO BR 476 KM 14,5             ARAUCARIA                               83707440PR2120700004027135842003/01     15032010016CURITIBA            1007201000000000016454985TD                                                                                                                                                                                                                                                                                                                                                                                           91423-11      000012
1007421022022COBR_CAUC_BIC  SOL EMBALAGENS PLASTICAS LTDA.          009592286000116PIRAMIDE INDUSTRIA E COMERCIO DE P      RUA JOAO PAULO I, 220 -GALPAO03         CAIEIRAS                                07700000SP21208000010976897102363!      25032010007PAULISTA            2807201000000000010400000CC                                                                                                                                                                                                                                                                                                                                                                                           91423-12      000013
1007421022022COBR_CAUC_BIC  SOL EMBALAGENS PLASTICAS LTDA.          009592701000131IBERIA INDUSTRIA E COMERCIO DE EMB      RUA JOAO PAULO I, 220 - GALPAO 01       CAIEIRAS                                07700000SP21209000010976881402279!      24032010007PAULISTA            2306201000000000010400000CC                                                                                                                                                                                                                                                                                                                                                                                           91423-13      000014
1010421008539COBR_CAUC_COR  EXITO IMPORTADORA E EXPORTADORA S/A     045483146000173USINA SANTA ROSA LTDA                   FAZ SANTA ROSA 0                        BOITUVA                                 18550000SP212100000100033024153         23032010900BRADESCO S/A        0504201000000000012200000CC                                                                                                                                                                                                                                                                                                                                                                                           91423-14      000015
1010421008539COBR_CAUC_COR  EXITO IMPORTADORA E EXPORTADORA S/A     045483146000173USINA SANTA ROSA LTDA                   FAZ SANTA ROSA 0                        BOITUVA                                 18550000SP212100000200033032153         23032010900BRADESCO S/A        0505201000000000012150000CC                                                                                                                                                                                                                                                                                                                                                                                           91423-15      000016
1010421008539COBR_CAUC_COR  EXITO IMPORTADORA E EXPORTADORA S/A     045483146000173USINA SANTA ROSA LTDA                   FAZ SANTA ROSA 0                        BOITUVA                                 18550000SP212100000300033041153         23032010900BRADESCO S/A        0506201000000000012150000CC                                                                                                                                                                                                                                                                                                                                                                                           91423-16      000017
1010421008539COBR_CAUC_COR  EXITO IMPORTADORA E EXPORTADORA S/A     052806122000173CENTRAL LOCADORA DE EQUIPAMENTOS L      R FRANCISCO DE PAULA ALVARENGA 235      OSASCO                                  06283070SP212110000100033164157         25032010900BRADESCO S/A        2504201000000000012500000CC                                                                                                                                                                                                                                                                                                                                                                                           91423-17      000018
1010421008539COBR_CAUC_COR  EXITO IMPORTADORA E EXPORTADORA S/A     052806122000173CENTRAL LOCADORA DE EQUIPAMENTOS L      R FRANCISCO DE PAULA ALVARENGA 235      OSASCO                                  06283070SP212110000200033172157         25032010900BRADESCO S/A        2505201000000000012500000CC                                                                                                                                                                                                                                                                                                                                                                                           91423-18      000019
1008421005590COBR_CAUC_BIC  MM MONTEIRO PESCA EXPORTACAO LTDA       033304981001949SUPERMERCADOS MUNDIAL LTDA              AV ITAOCA,2600                          RIO DE JANEIRO                          21061020RJ2121200001079138447608        20032010014RIO DE JANEIRO      0304201000000000016934400CC                                                                                                                                                                                                                                                                                                                                                                                           91423-19      000020
1018141006024COBR_CAUC_BIC  ACRESUL INDUSTRIA E COMERCIO LTDA       000045420610191FLAVIO CAMILO DE OLIVEIRA               RUA BARAO DE FRANCA Q.13 L.16           GOIANIA                                 74430080GO2121300001015556385788        22032010018GOIANIA             1706201000000000013850000TD                                                                                                                                                                                                                                                                                                                                                                                           91423-20      000021
1018141006024COBR_CAUC_BIC  ACRESUL INDUSTRIA E COMERCIO LTDA       000045420610191FLAVIO CAMILO DE OLIVEIRA               RUA BARAO DE FRANCA Q.13 L.16           GOIANIA                                 74430080GO2121300002015556465789        22032010018GOIANIA             2806201000000000013000000TD                                                                                                                                                                                                                                                                                                                                                                                           91423-21      000022
1044421007828DIR_CREDIT     SUPRINOR - SUPRIMENTOS DO NORDESTE      008170862000174PM DE PARNAMIRIM                        AV TENENTE MEDEIROS,105                 PARNAMIRIM                              59150000RN2124400001                                                                                                                                          481011392           170820090000011517185/2009    25032010000404FORNECIMENTO DE GENEROS ALIMENTICIOS PELA CONTRATADA PARA TENDER A SECRETARIA MUNICIPAL DE SAUDE.                                                                                                                                               00720947700012091423-22      000023
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900001015565021602-17     10032010038ABC                 0904201000000000005479110CC                                                                                                                                                                                                                                                                                                                                                                                           91423-23      000024
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900002015562011441-17     04032010038ABC                 0504201000000000005422950CC                                                                                                                                                                                                                                                                                                                                                                                           91423-24      000025
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900003015562191442-17     04032010038ABC                 0504201000000000004454190CC                                                                                                                                                                                                                                                                                                                                                                                           91423-25      000026
1018421014353COBR_CAUC_BIC  SEMENTES SELECTA S/A                    060434487000223CIA LECO DE PROD ALIMENTICIOS           RUA ANAZONAS,77                         S. CAETANO SUL                          09520070SP2124900004015562271447-17     04032010038ABC                 0504201000000000005082480CC                                                                                                                                                                                                                                                                                                                                                                                           91423-26      000027
