0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Brigadeiro Faria Lima           4.440     2º andar  Itaim Bibi                    São Paulo                     04538132SPBicbanco S/A                                                                    14022013                                                                                                                                                                                                                                                                                                                                                                                                000001
1038421018922COBR_CAUC_COR  AMEPLAN ASSIST MEDICA PLANEJADA         011031202000117MOBIBRASIL TRANSPORTE URBANO LTDA       R. GENARO DE CARVALHO,145               SAO PAULO                               04377220SP40140000010129733148204       06022013900BRADESCO S/A        2502201300000000012522021CC                                                                                                                                                                                                                                                                                                                                                                                           221350-1      000002
1016421001333COBR_CAUC_COR  CONDUSPAR CONDUTORES ELETRICOS LTDA     013380006000183CONSORCIO CONSTRUTOR BELO MONTE         R BELEM, 3158                           ALTAMIRA                                68372620PA401370000103897204266478      24012013800UNIBANCO S/A        1503201300000000015174000CC                                                                                                                                                                                                                                                                                                                                                                                           221350-2      000003
1006421012739COBR_CAUC_BIC  CTZ TOWER INDUSTRIA E COMERCIO LTDA     008146882000100SUZLON ENERGIAEOLICA DO BRASIL LTD      AV SENADOR VIRGILIO TAVORA 195          FORTALEZA                               60170250CE401430000109387656078         03122012006BEZERRA             2003201300000000077700000CC                                                                                                                                                                                                                                                                                                                                                                                           221350-3      000004
1021420930887COBR_CAUC_COR  DEDINI S/A INDUSTRIAS DE BASE           051990778000126ACUCAR E ALCOOL OSWALDO R MENDONCA      RUA FAZ S JOSE DA GLORIA, S N RURAL BR  GUAIRA                                  14790000SP401360000106369991197255-5-5  04022013900BRADESCO S/A        2903201300000000010765137CC                                                                                                                                                                                                                                                                                                                                                                                           221350-4      000005
1038421011812COBR_CAUC_BIC  ENERGY COML IMPORT E EXPORT LTDA        014555032000168REPLAS COMERCIO DE RESINAS PLASTIC      AVENIDA PRESIDENTE WILSON ,5700         SAO PAULO                               04220002SP401410000100014149002400      06022013007PAULISTA            0803201300000000011697443CC                                                                                                                                                                                                                                                                                                                                                                                           221350-5      000006
1038421011812COBR_CAUC_BIC  ENERGY COML IMPORT E EXPORT LTDA        014555032000168REPLAS COMERCIO DE RESINAS PLASTIC      AVENIDA PRESIDENTE WILSON ,5700         SAO PAULO                               04220002SP401410000200014157002399      06022013007PAULISTA            0803201300000000011697443CC                                                                                                                                                                                                                                                                                                                                                                                           221350-6      000007
1038421011812COBR_CAUC_BIC  ENERGY COML IMPORT E EXPORT LTDA        014555032000168REPLAS COMERCIO DE RESINAS PLASTIC      AVENIDA PRESIDENTE WILSON ,5700         SAO PAULO                               04220002SP401410000300014165002401      06022013007PAULISTA            0803201300000000011697443CC                                                                                                                                                                                                                                                                                                                                                                                           221350-7      000008
1038421011812COBR_CAUC_BIC  ENERGY COML IMPORT E EXPORT LTDA        014555032000168REPLAS COMERCIO DE RESINAS PLASTIC      AVENIDA PRESIDENTE WILSON ,5700         SAO PAULO                               04220002SP401410000400014173002402      06022013007PAULISTA            0803201300000000011697443CC                                                                                                                                                                                                                                                                                                                                                                                           221350-8      000009
1007421031242COBR_CAUC_BIC  GP GUARDA PATRIMONIAL DE S.P. LTDA      062144175000120BANCO PINE S A                          AVDAS NACOES UNIDAS8 501 29E 30         SAO PAULO                               05425070SP40138000010007506988975       05022013007PAULISTA            0103201300000000024162396CC                                                                                                                                                                                                                                                                                                                                                                                           221350-9      000010
1019421014505COBR_CAUC_BIC  IND E COM DE CAFE E QUEIJOS LELO LT     075315333000109ATACADAO DIST COM E IND LTDA            AV MORVAN DIAS FIGUEIREDO , 6169        SAO PAULO                               02170901SP401440000106671787000065731   06022013007PAULISTA            0903201300000000011737000CC                                                                                                                                                                                                                                                                                                                                                                                           221350-10     000011
1024420934410COBR_CAUC_BIC  INTERCOOP INT SUIN MED NORTE MT LTD     004613751000487CRISTALFRIGO IND COM IMPORTACAO EX      AV DOS ANDRADAS ,2229-STA EFIGENIA      BELO HORIZONTE                          30120010MG40139000010200696593973       31012013019BELO HORIZONTE      2802201300000000013997980CC                                                                                                                                                                                                                                                                                                                                                                                           221350-11     000012
1046421007840COBR_CAUC_COR  PROELT ENGENHARIA LTDA                  047769120000111RIO VERDE ENGENHARIA E CONSTR           ROD. BR 104,0-KM 85                     RIO LARGO                               57100000AL4014200001017686231764        07022013900BRADESCO S/A        0803201300000000012558395CC                                                                                                                                                                                                                                                                                                                                                                                           221350-12     000013
9000012                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000014
