0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Brigadeiro Faria Lima           4.440     2º andar  Itaim Bibi                    São Paulo                     04538132SPBicbanco S/A                                                                    30052012                                                                                                                                                                                                                                                                                                                                                                                                000001
1031420931210COBR_CAUC_BIC  ROTA INDUSTRIA LTDA                     004919212000128ALUITA ALUMINIO PORTO ALEGRE LTDA       AV SERTORIO N 1544 1566                 PORTO ALEGRE                            91020000RS35609000010499428922603-1/7   25052012015PORTO ALEGRE        2007201200000000013752000CC                                                                                                                                                                                                                                                                                                                                                                                           177064-1      000002
1046141000986COBR_CAUC_COR  COOPERATIVA DE EXTRACAO DE CARVAO M     083163576000105CARBONIFERA BELLUNO LTDA                ESTRADA GERAL RIO FIORITA, 10           OSASCO                                  88860000SP3561000001014720072639        18052012900BRADESCO S/A        2308201200000000068000000TD                                                                                                                                                                                                                                                                                                                                                                                           177064-2      000003
1010421023481DIR_CREDIT     HOSPITAL DE AVILA LTDA                  004171205000190VIVA PLANOS DE SAUDE LTDA               AV.DR.JOSE A.MOREIRA, 1251 - CASA CAIADAOLINDA                                  53130410PE3561700001                                                                                                                                          011809941           010320100000020792S/N         28052012000403Prestação de serviços de assistência médico-hospitalar.                                                                                                                                                                                         035716166000193177064-3      000004
1044000000000DIR_CREDIT     PAPI PRONTO SOCORRO                     008380701000105UNIMED NATAL                            RUA MIPIBU, 511 - PETRÓPOLIS            NATAL                                   59020250RN3562400001                                                                                                                                          011837416           260320080000005352001         28052012000403ATENDIMENTO MEDICO/AMBULATORIAL DOS CONVENIADOS A UNIMED/NATAL.                                                                                                                                                                                 008423220000130177064-4      000005
1016421017590COBR_CAUC_COR  COMPACTA SERV INT E ARM GERAIS LTDA     006292922000791COOPERATIVA AGROINDUSTRIAL SALTO V      AVENIDA TUPI,100-SALA2                  PATO BRANCO                             85506000PR3563000001033966634474        07052012800UNIBANCO S/A        0106201200000000001944800CC                                                                                                                                                                                                                                                                                                                                                                                           177064-5      000006
1016421017590COBR_CAUC_COR  COMPACTA SERV INT E ARM GERAIS LTDA     006292922000791COOPERATIVA AGROINDUSTRIAL SALTO V      AVENIDA TUPI,100-SALA2                  PATO BRANCO                             85506000PR3563000002033966714475        07052012800UNIBANCO S/A        0106201200000000000408320CC                                                                                                                                                                                                                                                                                                                                                                                           177064-6      000007
1016421017590COBR_CAUC_COR  COMPACTA SERV INT E ARM GERAIS LTDA     008673932000298BR FRANGO ALIMENTOS LTDA                EST PARA AGUA DO CANTO L,248-RURAL      SANTO INACIO                            86650000PR3563100001033673534180        03042012800UNIBANCO S/A        3005201200000000002533840CC                                                                                                                                                                                                                                                                                                                                                                                           177064-7      000008
1016421017590COBR_CAUC_COR  COMPACTA SERV INT E ARM GERAIS LTDA     008673932000298BR FRANGO ALIMENTOS LTDA                EST PARA AGUA DO CANTO L,248-RURAL      SANTO INACIO                            86650000PR3563100002033673704180        03042012800UNIBANCO S/A        3005201200000000002533840CC                                                                                                                                                                                                                                                                                                                                                                                           177064-8      000009
1016421017590COBR_CAUC_COR  COMPACTA SERV INT E ARM GERAIS LTDA     008673932000298BR FRANGO ALIMENTOS LTDA                EST PARA AGUA DO CANTO L,248-RURAL      SANTO INACIO                            86650000PR3563100003033673614182        03042012800UNIBANCO S/A        3005201200000000002364360CC                                                                                                                                                                                                                                                                                                                                                                                           177064-9      000010
1016421017590COBR_CAUC_COR  COMPACTA SERV INT E ARM GERAIS LTDA     008673932000298BR FRANGO ALIMENTOS LTDA                EST PARA AGUA DO CANTO L,248-RURAL      SANTO INACIO                            86650000PR3563100004033675234182        03042012800UNIBANCO S/A        3005201200000000002364360CC                                                                                                                                                                                                                                                                                                                                                                                           177064-10     000011
