0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Paulista , 1048 12º andar                           BELA VISTA                    SÃO PAULO                     01310100SPBicbanco S/A                                                                    30062010                                                                                                                                                                                                                                                                                                                                                                                                000001
1021420930887COBR_CAUC_COR  DEDINI S/A INDUSTRIAS DE BASE           000073957003850ELETROSUL CENTRAIS ELETRICAS S A        ESTRADA MUNICIPAL SALTO ZONA RURAL BR   ROQUE GONZALES                          97970000RS22962000010583593016171-2-2   24062010900BRADESCO S/A        2407201000000000021422832CC                                                                                                                                                                                                                                                                                                                                                                                           104503-1      000002
1022141001217COBR_CAUC_BIC  BALDIN BIOENERGIA S/A                   001062529000100DULCINI S/A                             ESTR SITIO TABOAO S/N Z RURAL           PIRASSUNUNGA                            13631301SP2296300001039094088097/09     08062010021CAMPINAS            1908201000000000025000000TD                                                                                                                                                                                                                                                                                                                                                                                           104503-2      000003
1022141001217COBR_CAUC_BIC  BALDIN BIOENERGIA S/A                   001062529000100DULCINI S/A                             ESTR SITIO TABOAO S/N Z RURAL           PIRASSUNUNGA                            13631301SP2296300002039094168097/10     08062010021CAMPINAS            2008201000000000025000000TD                                                                                                                                                                                                                                                                                                                                                                                           104503-3      000004
1022141001217COBR_CAUC_BIC  BALDIN BIOENERGIA S/A                   001062529000100DULCINI S/A                             ESTR SITIO TABOAO S/N Z RURAL           PIRASSUNUNGA                            13631301SP2296300003039094248097/11     08062010021CAMPINAS            2308201000000000025000000TD                                                                                                                                                                                                                                                                                                                                                                                           104503-4      000005
1022141001217COBR_CAUC_BIC  BALDIN BIOENERGIA S/A                   001062529000100DULCINI S/A                             ESTR SITIO TABOAO S/N Z RURAL           PIRASSUNUNGA                            13631301SP2296300004039094328097/12     08062010021CAMPINAS            2408201000000000025000000TD                                                                                                                                                                                                                                                                                                                                                                                           104503-5      000006
1017141010961COBR_CAUC_BIC  GTS FERT. E DEFENSIVOS LTDA             012274379000450LAGINHA AGRO INDUSTRIAL S/A - GUAX      ROD AL 101 NORTE KM 06 3600             MACEIO                                  57033070AL2296400001025004782821A       01062010017MACEIO              3009201000000000038553000TD                                                                                                                                                                                                                                                                                                                                                                                           104503-6      000007
1017141010961COBR_CAUC_BIC  GTS FERT. E DEFENSIVOS LTDA             012274379000450LAGINHA AGRO INDUSTRIAL S/A - GUAX      ROD AL 101 NORTE KM 06 3600             MACEIO                                  57033070AL2296400002025004862822A       01062010017MACEIO              3009201000000000016240000TD                                                                                                                                                                                                                                                                                                                                                                                           104503-7      000008
1017141010961COBR_CAUC_BIC  GTS FERT. E DEFENSIVOS LTDA             012274379000450LAGINHA AGRO INDUSTRIAL S/A - GUAX      ROD AL 101 NORTE KM 06 3600             MACEIO                                  57033070AL2296400003025004942812A       01062010017MACEIO              3009201000000000018350000TD                                                                                                                                                                                                                                                                                                                                                                                           104503-8      000009
1017141010961COBR_CAUC_BIC  GTS FERT. E DEFENSIVOS LTDA             012274379000450LAGINHA AGRO INDUSTRIAL S/A - GUAX      ROD AL 101 NORTE KM 06 3600             MACEIO                                  57033070AL2296400004025005162823A       01062010017MACEIO              3009201000000000047908000TD                                                                                                                                                                                                                                                                                                                                                                                           104503-9      000010
1017141010961COBR_CAUC_BIC  GTS FERT. E DEFENSIVOS LTDA             012274379000450LAGINHA AGRO INDUSTRIAL S/A - GUAX      ROD AL 101 NORTE KM 06 3600             MACEIO                                  57033070AL2296400005025005242812B       01062010017MACEIO              3010201000000000018350000TD                                                                                                                                                                                                                                                                                                                                                                                           104503-10     000011
9000010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000012
