0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Brigadeiro Faria Lima           4.440     2º andar  Itaim Bibi                    São Paulo                     04538132SPBicbanco S/A                                                                    11062012                                                                                                                                                                                                                                                                                                                                                                                                000001
1028421002719COBR_CAUC_BIC  SIPCAM UPL BRASIL S/A                   005772606000169ROTAM DO BRASIL AGROQ. E PROD. AGR      RUA SIQUEIRA CAMPOS, 233                CAMPINAS                                13106006SP3575700001027735840001113901  28052012021CAMPINAS            2706201200000000014272800CC                                                                                                                                                                                                                                                                                                                                                                                           178182-1      000002
1007421044581COBR_CAUC_BIC  GRANCARGA TRANSP. E GUINDASTES S/A.     001027335000166WOBBEN WINDPOWER IND.E COM.LTDA.        AV.FERNANDO STECCA,100                  SOROCABA                                18087149SP357580000101265431002261      04062012007PAULISTA            2706201200000000109047952CC                                                                                                                                                                                                                                                                                                                                                                                           178182-2      000003
1007421044581COBR_CAUC_BIC  GRANCARGA TRANSP. E GUINDASTES S/A.     001027335000166WOBBEN WINDPOWER IND.E COM.LTDA.        AV.FERNANDO STECCA,100                  SOROCABA                                18087149SP357580000201265449002264      04062012007PAULISTA            2706201200000000040167863CC                                                                                                                                                                                                                                                                                                                                                                                           178182-3      000004
1007421034080COBR_CAUC_BIC  SIDMEX INTERNACIONAL LTDA               002976966000194CONFECCOES U2 LTDA.                     PROFESSOR CESARE LOMBROSO,178           SAO PAULO                               01122021SP357590000101265422456722      01062012007PAULISTA            2509201200000000019600000CC                                                                                                                                                                                                                                                                                                                                                                                           178182-4      000005
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     011751805000193CONSORCIO SANTA BARBARA - MENDES J      AVENIDA AGRICOLA PAES DE BARROS,0       CUIABA                                  78030210MT35776000010337916598824       18042012024CUIABA              1206201200000000003252558CC                                                                                                                                                                                                                                                                                                                                                                                           178182-5      000006
1016421022241COBR_CAUC_COR  STOCKFER COM DIST DE FERRO ACO LTDA     061522512003390CONSTRUTORA E COMERCIO CAMARGO COR      RUA IZABEL VIEIRA MARTINS,131           ITAPERUNA                               28300000RJ35777000010341947799663       23052012800UNIBANCO S/A        2606201200000000003576124CC                                                                                                                                                                                                                                                                                                                                                                                           178182-6      000007
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     013407056000107CONSORCIO ETANOL                        RUA FREI DONATO,320                     LEME                                    13610290SP35778000010340620199392       11052012021CAMPINAS            1006201200000000002186100CC                                                                                                                                                                                                                                                                                                                                                                                           178182-7      000008
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     013407056000107CONSORCIO ETANOL                        RUA FREI DONATO,320                     LEME                                    13610290SP35778000020341919199676       23052012021CAMPINAS            2706201200000000001539000CC                                                                                                                                                                                                                                                                                                                                                                                           178182-8      000009
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     013407056000107CONSORCIO ETANOL                        RUA FREI DONATO,320                     LEME                                    13610290SP35778000030341918399681       23052012021CAMPINAS            2206201200000000000441989CC                                                                                                                                                                                                                                                                                                                                                                                           178182-9      000010
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     013407056000107CONSORCIO ETANOL                        RUA FREI DONATO,320                     LEME                                    13610290SP35778000040341943499682       23052012021CAMPINAS            2206201200000000000120400CC                                                                                                                                                                                                                                                                                                                                                                                           178182-10     000011
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     013407056000107CONSORCIO ETANOL                        RUA FREI DONATO,320                     LEME                                    13610290SP35778000050341940099689       23052012021CAMPINAS            2206201200000000000594409CC                                                                                                                                                                                                                                                                                                                                                                                           178182-11     000012
1016421022241COBR_CAUC_COR  STOCKFER COM DIST DE FERRO ACO LTDA     076519974000814J MALUCELLI CONSTRUTORA DE OBRAS        RUA MATO GROSSO,169                     NOVA CANAA DO N                         78515000MT35779000010341942699685       23052012800UNIBANCO S/A        0207201200000000005200000CC                                                                                                                                                                                                                                                                                                                                                                                           178182-12     000013
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     008371303000122WZ OLIVEIRA MANUTENCAO E MONTAGENS      RUA FRANCISCO GALARDA,411               ARAUCARIA                               83706540PR35780000010342945699891       31052012016CURITIBA            0507201200000000000281522CC                                                                                                                                                                                                                                                                                                                                                                                           178182-13     000014
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     008371303000122WZ OLIVEIRA MANUTENCAO E MONTAGENS      RUA FRANCISCO GALARDA,411               ARAUCARIA                               83706540PR35780000020342946499891/2     31052012016CURITIBA            1207201200000000000281522CC                                                                                                                                                                                                                                                                                                                                                                                           178182-14     000015
