0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Brigadeiro Faria Lima           4.440     2º andar  Itaim Bibi                    São Paulo                     04538132SPBicbanco S/A                                                                    10082012                                                                                                                                                                                                                                                                                                                                                                                                000001
1031421007850COBR_CAUC_BIC  AGRICOLA JANDELLE S/A                   001928075002062DMA DISTRIBUIDORA S/A                   RODOVIA BR 040 KM 531 NR 180            BELO HORIZONTE                          30855500MG3681100001050086950009146301  30072012019BELO HORIZONTE      2908201200000000010409684CC                                                                                                                                                                                                                                                                                                                                                                                           187671-1      000002
1021421015970COBR_CAUC_COR  UNITED MILLS ALIMENTOS LTDA             009338123000101MONA VIE BRASIL COMERCIAL LTDA.         AL IRAE, 634, LOJA TERREO               SAO PAULO                               04075000SP368120000106348676000059743A  25072012900BRADESCO S/A        2408201200000000013743120CC                                                                                                                                                                                                                                                                                                                                                                                           187671-2      000003
1021421015970COBR_CAUC_COR  UNITED MILLS ALIMENTOS LTDA             009338123000101MONA VIE BRASIL COMERCIAL LTDA.         AL IRAE, 634, LOJA TERREO               SAO PAULO                               04075000SP368120000206348684000059743B  25072012900BRADESCO S/A        2409201200000000013743119CC                                                                                                                                                                                                                                                                                                                                                                                           187671-3      000004
1015421011667DIR_CREDIT     HERTER CEREAIS LTDA                     007053693000987NIDERA SEMENTES LTDA                    RUA DONA LAURA 320                      PORTO ALEGRE                            90430090RS3688600001                                                                                                                                          011935825           12072012000002209214324       300720120170021000 toneladas metricas de trigo em graos                                                                                                                                                                                                       004830828000128187684-1      000005
1015421011667DIR_CREDIT     HERTER CEREAIS LTDA                     007053693000987NIDERA SEMENTES LTDA                    RUA DONA LAURA 320                      PORTO ALEGRE                            90430090RS3688700001                                                                                                                                          011935825           21062012000002209713748       30072012017002trigo em graos                                                                                                                                                                                                                                  004830828000128187684-2      000006
1015421011667DIR_CREDIT     HERTER CEREAIS LTDA                     007053693000987NIDERA SEMENTES LTDA                    RUA DONA LAURA 320                      PORTO ALEGRE                            90430090RS3688800001                                                                                                                                          011935825           17052012000002209812915       30072012017002trigo em graos                                                                                                                                                                                                                                  004830828000128187684-3      000007
1019421004658COBR_CAUC_COR  S/A ESTADO DE MINAS                     017281106000103CIA DE SANEAMENTO DE MINAS GERAIS       R MAR DE ESPANHA 525                    BELO HORIZONTE                          30330270MG3692200001011581781259850-1   31072012900BRADESCO S/A        1508201200000000019599490CC                                                                                                                                                                                                                                                                                                                                                                                           187684-4      000008
1028421008814COBR_CAUC_COR  PARANAIBA FERTILIZANTES IND E COM L     071320915002095COOP.PLANT CANA OESTE ESTADO SP         AV. BARAO DO RIO BRANCO, ,1359          UBERABA                                 38020300MG36923000010000054521534       26072012900BRADESCO S/A        2708201200000000014878000CC                                                                                                                                                                                                                                                                                                                                                                                           187684-5      000009
1007420931444COBR_CAUC_BIC  PLASINCO LTDA                           047090782000160DANEVA MAQ. E COND. EL. LTDA.           RUA VOTUPORANGA,415                     POA                                     08558050SP36924000010136452821930       30072012007PAULISTA            2108201200000000023950674CC                                                                                                                                                                                                                                                                                                                                                                                           187684-6      000010
1046421007255COBR_CAUC_COR  MAESTRO DO BRASIL IND METALUR LTDA      019166917000199EMBRASIL EMPRESA BRASILEIRA DISTRI      RODOVIA BR-040,KM-517,S/N               RIBEIRAO DAS NE                         33823310MG36925000010153787723023-1/1   27072012800UNIBANCO S/A        1708201200000000011510819CC                                                                                                                                                                                                                                                                                                                                                                                           187684-7      000011
1031421007850COBR_CAUC_BIC  AGRICOLA JANDELLE S/A                   004557157000335PREZUNIC COMERCIAL LTDA                 RUA DO ALPISTE 568                      RIO DE JANEIRO                          21011010RJ3692600001050120130021048401  31072012014RIO DE JANEIRO      3008201200000000011226600CC                                                                                                                                                                                                                                                                                                                                                                                           187684-8      000012
1031421007850COBR_CAUC_BIC  AGRICOLA JANDELLE S/A                   004641376007300SUPERMERCADOS BH COMERCIO DE ALIME      AVENIDA GERALDO ROCHA 200               CONTAGEM                                32183054MG3692700001050120560009166801  31072012019BELO HORIZONTE      2808201200000000012236767CC                                                                                                                                                                                                                                                                                                                                                                                           187684-9      000013
