0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Brigadeiro Faria Lima           4.440     2º andar  Itaim Bibi                    São Paulo                     04538132SPBicbanco S/A                                                                    04082014                                                                                                                                                                                                                                                                                                                                                                                                000001
1022421006650DIR_CREDIT     PASSAREDO T. AEREOS LTDA-EM REC.JUD     007575651000159VRG LINHAS AEREAS S/A                   AV VINTE DE JANEIRO, S/N GALEAO         RIO DE JANEIRO                          21941570RJ4862300001                                                                                                                                          012054810           141220100000018045            26112012000403Transporte de passageiros portadores de contratos de transporteadquiridos da empresa vendedora e sua respectiva bagagem, em voos regulares ede reforço da empresa transportadora.                                                               000512777000135313860-1      000002
1021420930887COBR_CAUC_COR  DEDINI S/A INDUSTRIAS DE BASE           075717355000367USINA DE ACUCAR SANTA TEREZINHA LT      AV MARCELO MESSIAS BUSIQUIA 847 PQ INDUSMARINGA                                 87065006PR486490000106586771264169-2-2  25072014900BRADESCO S/A        3009201400000000031053436CC                                                                                                                                                                                                                                                                                                                                                                                           313860-2      000003
1021420930887COBR_CAUC_COR  DEDINI S/A INDUSTRIAS DE BASE           075717355000367USINA DE ACUCAR SANTA TEREZINHA LT      AV MARCELO MESSIAS BUSIQUIA 847 PQ INDUSMARINGA                                 87065006PR486490000206586780264051-3-3  25072014900BRADESCO S/A        3110201400000000020386877CC                                                                                                                                                                                                                                                                                                                                                                                           313860-3      000004
1018421034834COBR_CAUC_BIC  LACEL LATICINIOS CERES LTDA             023439441001323ARMAZEM MATEUS LTDA                     AV ENG.EMILIANO MACIEIRA, 5 - DEPOSITO  SAO LUIS                                65095602MA486500000103790511034123      29072014042SAO LUIS            0209201400000000016915500CC                                                                                                                                                                                                                                                                                                                                                                                           313860-4      000005
1019421010259COBR_CAUC_BIC  L & S INTERBANK FOMENTO LTDA            004744781000341ADM COMERCIO DE ROUPASLTDA              ALAMEDASTO AMARO, 326/330               SAO PAULO                               04745001SP4865100001069819212441/02     30072014007PAULISTA            1411201400000000010319400CC                                                                                                                                                                                                                                                                                                                                                                                           313860-5      000006
1019421010259COBR_CAUC_BIC  L & S INTERBANK FOMENTO LTDA            004744781000341ADM COMERCIO DE ROUPASLTDA              ALAMEDASTO AMARO, 326/330               SAO PAULO                               04745001SP4865100002069819301965/01     30072014007PAULISTA            1811201400000000012757680CC                                                                                                                                                                                                                                                                                                                                                                                           313860-6      000007
1007421060307COBR_CAUC_BIC  ROTHENBERG COMERCIO DE PERFUMES E C     005753951000317DOTCOM GROUP COMERCIO DE PRESENTES      AV DAS AMERICAS 700 BL 8 LJ 317 F       RIO DE JANEIRO                          22640100RJ486520000103148130RR4123105B  29072014014RIO DE JANEIRO      1209201400000000016054926CC                                                                                                                                                                                                                                                                                                                                                                                           313860-7      000008
1046421006070DIR_CREDIT     METALURGICA DS LTDA                     060857349000176TRW AUTOMOTIVE LTDA                     VIA ANHANGUERA KM 147                   LIMEIRA                                 13486915SP4866300001                                                                                                                                          012640589           260320070000018698            30072014000404fornecimento de discos e tambores de freio para automóveis.                                                                                                                                                                                     079414868000198313860-8      000009
1031421012447COBR_CAUC_COR  AGRICOLA JANDELLE S/A                   011224864000103REAL FOODS COMERCIO ATAC DE GEN AL      AVENIDA DAS AMERICAS 8445 SALA 515 E 516RIO DE JANEIRO                          22793081RJ4866400001060045960025078301  30072014900BRADESCO S/A        2908201400000000010951200CC                                                                                                                                                                                                                                                                                                                                                                                           314065-1      000010
1048421002195COBR_CAUC_COR  SERVIMED COMERCIAL LTDA                 006161357000138CONDE NETO & CIA LTDA                   R CARAVELAS 65                          SAO JOSE DOS CA                         12238170SP48665000010217503678751422    30072014900BRADESCO S/A        1009201400000000015201989CC                                                                                                                                                                                                                                                                                                                                                                                           314065-2      000011
1009421013315COBR_CAUC_COR  BONASA ALIMENTOS S/A                    009587239000427COOPERATIVA MISTA DOS AVICULT. DO       ESTRADA TERESINA UNIAO ZONA LESTE KM 03 TERESINA                                64058305PI486660000100016602000142501   31072014900BRADESCO S/A        2108201400000000011475000CC                                                                                                                                                                                                                                                                                                                                                                                           314065-3      000012
1031421012064COBR_CAUC_BIC  I. F. EMPREEND IMOB LTDA                002489004000100GLOBOSUINOS AGROPECUARIA S/A            BR 467 KM 03                            CASCAVEL                                85802970PR48667000010542551218960-2     25072014016CURITIBA            1010201400000000050000000CC                                                                                                                                                                                                                                                                                                                                                                                           314065-4      000013
1031421012064COBR_CAUC_BIC  I. F. EMPREEND IMOB LTDA                002489004000100GLOBOSUINOS AGROPECUARIA S/A            BR 467 KM 03                            CASCAVEL                                85802970PR48667000020542552118960-1     25072014016CURITIBA            1009201400000000050000000CC                                                                                                                                                                                                                                                                                                                                                                                           314065-5      000014
1021421017050COBR_CAUC_BIC  STAR DISTR PROD FARMACEUTICOS LTDA      061585865073701RAIA DROGASIL S/A                       RUA PATAXOS , 1412                      EMBU                                    06833073SP4866800001000035960000371501  31072014007PAULISTA            2108201400000000013528988CC                                                                                                                                                                                                                                                                                                                                                                                           314065-6      000015
