0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Brigadeiro Faria Lima           4.440     2º andar  Itaim Bibi                    São Paulo                     04538132SPBicbanco S/A                                                                    15122014                                                                                                                                                                                                                                                                                                                                                                                                000001
1046421002474COBR_CAUC_COR  MACROMAQ EQUIPAMENTOS LTDA              008347554000171DISTRIBUIDORA DE PRODUTOS ALIMENTI      RUA MARECHAL DEODORO,1730               CAMPOS NOVOS                            89620000SC50277000010261003970239/02    27112014700BANCO REAL- ABN AMRO2912201400000000011994310CC                                                                                                                                                                                                                                                                                                                                                                                           336772-1      000002
1010421024356COBR_CAUC_COR  DIST EQUADOR DE PROD PETROLEO LTDA      001362266000147TRANSGLOBAL SERVICOS LTDA               AV ABIURANA, 2351                       MANAUS                                  69075010AM502890000100122302136459-001  06122014900BRADESCO S/A        2112201400000000016380000CC                                                                                                                                                                                                                                                                                                                                                                                           336773-1      000003
1015421022340COBR_CAUC_BIC  BORRACHAS VIPAL SA                      002926987000103UNIMAK REFORMADORA DE PNEUS LTDA        ROD. DO ACUCARKM154                     RIO DAS PEDRAS                          13390000SP502900000101390452053553402   05122014021CAMPINAS            2312201400000000012363689CC                                                                                                                                                                                                                                                                                                                                                                                           337266-1      000004
1007421035337COBR_CAUC_BIC  COMERCIAL IMP.E EXP.CANTAREIRA LTDA     010875861000177CASA ANTUERPIA COM DE ALIMENTOS LT      R MILHO, DO, 124 , A                    RIO DE JANEIRO                          21011090RJ502910000103505684124485001   08122014014RIO DE JANEIRO      1201201500000000011409200CC                                                                                                                                                                                                                                                                                                                                                                                           337266-2      000005
1007421035337COBR_CAUC_BIC  COMERCIAL IMP.E EXP.CANTAREIRA LTDA     010875861000177CASA ANTUERPIA COM DE ALIMENTOS LT      R MILHO, DO, 124 , A                    RIO DE JANEIRO                          21011090RJ502910000203505692124485002   08122014014RIO DE JANEIRO      1701201500000000011409200CC                                                                                                                                                                                                                                                                                                                                                                                           337266-3      000006
1007421035337COBR_CAUC_BIC  COMERCIAL IMP.E EXP.CANTAREIRA LTDA     010875861000177CASA ANTUERPIA COM DE ALIMENTOS LT      R MILHO, DO, 124 , A                    RIO DE JANEIRO                          21011090RJ502910000303505706124485003   08122014014RIO DE JANEIRO      2201201500000000011409200CC                                                                                                                                                                                                                                                                                                                                                                                           337266-4      000007
1007421035337COBR_CAUC_BIC  COMERCIAL IMP.E EXP.CANTAREIRA LTDA     010875861000177CASA ANTUERPIA COM DE ALIMENTOS LT      R MILHO, DO, 124 , A                    RIO DE JANEIRO                          21011090RJ502910000403505714124485004   08122014014RIO DE JANEIRO      2701201500000000011409200CC                                                                                                                                                                                                                                                                                                                                                                                           337266-5      000008
1007421035337COBR_CAUC_BIC  COMERCIAL IMP.E EXP.CANTAREIRA LTDA     010875861000177CASA ANTUERPIA COM DE ALIMENTOS LT      R MILHO, DO, 124 , A                    RIO DE JANEIRO                          21011090RJ502910000503505722124485005   08122014014RIO DE JANEIRO      0102201500000000011409200CC                                                                                                                                                                                                                                                                                                                                                                                           337266-6      000009
1031421011181COBR_CAUC_COR  AGROIND IRMAOS DALLA COSTA LTDA         062527619000106ROYAL CANIN DO BRASIL INDUSTRIA E       RUA JOAO AUGUSTO CIRELLI 00210          DESCALVADO                              13690000SP50292000010546604918620/1     08122014800UNIBANCO S/A        1701201500000000010437000CC                                                                                                                                                                                                                                                                                                                                                                                           337266-7      000010
1031421011181COBR_CAUC_COR  AGROIND IRMAOS DALLA COSTA LTDA         062527619000106ROYAL CANIN DO BRASIL INDUSTRIA E       RUA JOAO AUGUSTO CIRELLI 00210          DESCALVADO                              13690000SP50292000020546644817616/1     17112014800UNIBANCO S/A        2712201400000000010048500CC                                                                                                                                                                                                                                                                                                                                                                                           337266-8      000011
1031421011181COBR_CAUC_COR  AGROIND IRMAOS DALLA COSTA LTDA         062527619000106ROYAL CANIN DO BRASIL INDUSTRIA E       RUA JOAO AUGUSTO CIRELLI 00210          DESCALVADO                              13690000SP50292000030546677417723/1     18112014800UNIBANCO S/A        2812201400000000010451000CC                                                                                                                                                                                                                                                                                                                                                                                           337266-9      000012
1031421011181COBR_CAUC_BIC  AGROIND IRMAOS DALLA COSTA LTDA         064308299000129INTERCONTINENTAL COMERCIO DE ALIME      ROD PRESIDENTE DUTRA 01957              SAO JOAO DE MER                         25515230RJ50293000010546685518301/1     29112014014RIO DE JANEIRO      2712201400000000016731000CC                                                                                                                                                                                                                                                                                                                                                                                           337266-10     000013
1021421017050COBR_CAUC_BIC  STAR DISTR PROD FARMACEUTICOS LTDA      061585865073701RAIA DROGASIL S/A                       RUA PATAXOS , 1412                      EMBU                                    06833073SP5029400001000079740000445501  09122014007PAULISTA            2312201400000000028738980CC                                                                                                                                                                                                                                                                                                                                                                                           337266-11     000014
1048421000338COBR_CAUC_COR  FRIGOESTRELA S AEM RECUP JUDICIAL       004107954000159INTERMEZZO COM. DE PROD. GOURMET S      RUA OLIMPIO PORTUGAL, 148               SAO PAULO                               03112010SP5029900001089321140120595601  09122014900BRADESCO S/A        0301201500000000022121355CC                                                                                                                                                                                                                                                                                                                                                                                           337268-1      000015
1021421017050COBR_CAUC_BIC  STAR DISTR PROD FARMACEUTICOS LTDA      061585865073701RAIA DROGASIL S/A                       RUA PATAXOS , 1412                      EMBU                                    06833073SP5030000001000078770000443401  04122014007PAULISTA            0202201500000000049600432CC                                                                                                                                                                                                                                                                                                                                                                                           337268-2      000016
1021421017050COBR_CAUC_BIC  STAR DISTR PROD FARMACEUTICOS LTDA      061585865073701RAIA DROGASIL S/A                       RUA PATAXOS , 1412                      EMBU                                    06833073SP5030000002000080080000446001  09122014007PAULISTA            2312201400000000011210259CC                                                                                                                                                                                                                                                                                                                                                                                           337268-3      000017
1022421008149COBR_CAUC_COR  PASSAREDO T. AEREOS LTDA-EM REC.JUD     010760260000119CVC BRASIL OPERADORA E AGENCIA DE       RUA GERTRUDES DE LIMA,53-CJ 52          SANTO ANDRE                             09020000SP503080000100018766118443      10122014900BRADESCO S/A        2312201400000000024048698CC                                                                                                                                                                                                                                                                                                                                                                                           337387-1      000018
1021421017050COBR_CAUC_BIC  STAR DISTR PROD FARMACEUTICOS LTDA      061585865073701RAIA DROGASIL S/A                       RUA PATAXOS , 1412                      EMBU                                    06833073SP5030900001000080910000450101  11122014007PAULISTA            0902201500000000014885740CC                                                                                                                                                                                                                                                                                                                                                                                           337387-2      000019
9000018                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000020
