0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Brigadeiro Faria Lima           4.440     2º andar  Itaim Bibi                    São Paulo                     04538132SPBicbanco S/A                                                                    04062014                                                                                                                                                                                                                                                                                                                                                                                                000001
1019421004658COBR_CAUC_COR  S/A ESTADO DE MINAS                     001637895000132VOTORANTIM CIMENTOS LTDA                PCA PROFESSOR JOSE LANNES 40 9 ANDAR    SAO PAULO                               04571100SP4775800001012961632362748-1   30052014900BRADESCO S/A        1506201400000000015155280CC                                                                                                                                                                                                                                                                                                                                                                                           303951-1      000002
1019421004658COBR_CAUC_COR  S/A ESTADO DE MINAS                     010426715000164CONSORCIO OTIMO DE BILHETAGEM ELET      AQUILES LOBO 504 6 ANDAR                BELO HORIZONTE                          30150160MG4775900001012953702362695-1   29052014900BRADESCO S/A        1507201400000000020000000CC                                                                                                                                                                                                                                                                                                                                                                                           303951-2      000003
1019421004658COBR_CAUC_COR  S/A ESTADO DE MINAS                     010426715000164CONSORCIO OTIMO DE BILHETAGEM ELET      AQUILES LOBO 504 6 ANDAR                BELO HORIZONTE                          30150160MG4775900002012953882362696-1   29052014900BRADESCO S/A        1508201400000000020000000CC                                                                                                                                                                                                                                                                                                                                                                                           303951-3      000004
1031421012447COBR_CAUC_COR  AGRICOLA JANDELLE S/A                   064308299000129INTERCONTINENTAL COMERCIO DE ALIME      RODOVIA PRESIDENTE DUTRA 1957 KM 167    SAO JOAO DE MER                         25515230RJ4776000001060018210007743801  30052014900BRADESCO S/A        2706201400000000011542200CC                                                                                                                                                                                                                                                                                                                                                                                           303951-4      000005
1007421065309COBR_CAUC_BIC  OCEANO IND.GRAFICA E EDITORA LTDA       015103047016232SANTANA S/A DROGARIAS FARMACIAS         R. GOMES DE CARVALHO - DE 155,1629      SAO PAULO                               04547006SP4776100001029653631623        29052014007PAULISTA            3006201400000000016778558CC                                                                                                                                                                                                                                                                                                                                                                                           303951-5      000006
1007421065309COBR_CAUC_BIC  OCEANO IND.GRAFICA E EDITORA LTDA       062270186000156PRECOLANDIA COMERCIALLTDA               AV. ALVARO RAMOS,2178                   SAO PAULO                               03330000SP47762000010296540164585-C     29052014007PAULISTA            2808201400000000010454400CC                                                                                                                                                                                                                                                                                                                                                                                           303951-6      000007
1007421065309COBR_CAUC_BIC  OCEANO IND.GRAFICA E EDITORA LTDA       062270186000156PRECOLANDIA COMERCIALLTDA               AV. ALVARO RAMOS,2178                   SAO PAULO                               03330000SP47762000020296541064585-B     29052014007PAULISTA            2907201400000000010454400CC                                                                                                                                                                                                                                                                                                                                                                                           303951-7      000008
1050421000089COBR_CAUC_BIC  ATIVO ALIMENTOS EXP E IMP EIRELI        011596442003427CARVALHO E FERNANDES LTDA               AVE DEPUTADO PAULO FERRAZ 4888          TERESINA                                64078820PI477630000100577501254269/1    29052014042SAO LUIS            2806201400000000021123173CC                                                                                                                                                                                                                                                                                                                                                                                           303951-8      000009
1046421002474COBR_CAUC_COR  MACROMAQ EQUIPAMENTOS LTDA              078256336000107ZANOTTI S A                             RUA GERMANO WAGNER,1000                 JARAGUA DO SUL                          89256800SC47764000010241060963300/01    29052014700BANCO REAL- ABN AMRO1506201400000000011143113CC                                                                                                                                                                                                                                                                                                                                                                                           303951-9      000010
1021421017050COBR_CAUC_BIC  STAR DISTR PROD FARMACEUTICOS LTDA      061549259000180DROGARIA ONOFRE LTDA                    PRACA DA SE , 170                       SAO PAULO                               01001000SP4776500001000017550000332101  29052014007PAULISTA            0607201400000000013121177CC                                                                                                                                                                                                                                                                                                                                                                                           303951-10     000011
1021421017050COBR_CAUC_BIC  STAR DISTR PROD FARMACEUTICOS LTDA      061585865073701RAIA DROGASIL S/A                       RUA PATAXOS , 1412                      EMBU                                    06833073SP4776600001000017800000333101  29052014007PAULISTA            2806201400000000033628748CC                                                                                                                                                                                                                                                                                                                                                                                           303951-11     000012
1021421017050COBR_CAUC_BIC  STAR DISTR PROD FARMACEUTICOS LTDA      061585865073701RAIA DROGASIL S/A                       RUA PATAXOS , 1412                      EMBU                                    06833073SP4776600002000018610000335801  30052014007PAULISTA            2006201400000000023857621CC                                                                                                                                                                                                                                                                                                                                                                                           303951-12     000013
1010421024062COBR_CAUC_COR  VALE ATACADO E DIST DE ALIM LTDA        005781732000180RECIFE JN ALIMENTOS LTDA                AV ZEQUINHA BARRETO ,136-258            JABOATAO GUARAR                         54400090PE47782000010001704527562       03042014900BRADESCO S/A        2206201400000000000652548CC                                                                                                                                                                                                                                                                                                                                                                                           303951-13     000014
1010421024062COBR_CAUC_COR  VALE ATACADO E DIST DE ALIM LTDA        005781732000180RECIFE JN ALIMENTOS LTDA                AV ZEQUINHA BARRETO ,136-258            JABOATAO GUARAR                         54400090PE47782000020001724027644       07042014900BRADESCO S/A        1106201400000000000646488CC                                                                                                                                                                                                                                                                                                                                                                                           303951-14     000015
