0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Brigadeiro Faria Lima           4.440     2º andar  Itaim Bibi                    São Paulo                     04538132SPBicbanco S/A                                                                    13112013                                                                                                                                                                                                                                                                                                                                                                                                000001
1007421072259COBR_CAUC_COR  BOMBRIL S/A                             005103939000286ZAMBONI COMERCIAL LTDA                  ROD BR116 RIO BAHIA KM 809,7 S/N        ALEM PARAIBA                            36660000MG4516700001024141710051529001  31102013900BRADESCO S/A        2811201300000000011396963CC                                                                                                                                                                                                                                                                                                                                                                                           268645-1      000002
1007421072259COBR_CAUC_COR  BOMBRIL S/A                             008899849000401SPACE MINAS DISTRIBUIDORA LTDA          AV PRESIDENTE TANCRE 1090, GALPAO A     IUNA                                    29390000ES4516900001024142860837319001  31102013900BRADESCO S/A        2111201300000000010009808CC                                                                                                                                                                                                                                                                                                                                                                                           268645-2      000003
1007421072259COBR_CAUC_COR  BOMBRIL S/A                             007633671000139REAL COMERCIO DE MIUDEZAS LTDA          ROD BR-040 KM 688 S/N, P 03 LJ05        CONTAGEM                                32145900MG4516800001024142510051609001  31102013900BRADESCO S/A        2811201300000000010803531CC                                                                                                                                                                                                                                                                                                                                                                                           268645-3      000004
1022421007525COBR_CAUC_COR  D. CENTER DISTRIBUIDORA LTDA            002543945000690ULTRAFARMA SAUDE LTDA                   ESTR MUN DEP EST FRANCISCO FRANCO 1363  SANTA ISABEL                            07500000SP4517000001011754667167316     07112013900BRADESCO S/A        1912201300000000010501338CC                                                                                                                                                                                                                                                                                                                                                                                           268645-4      000005
1022421007525COBR_CAUC_COR  D. CENTER DISTRIBUIDORA LTDA            013048432000114COML DE ALIMENTOS ESTHAMPA LTDA         ROD BR 040 KM 688, SN PAVH 8 LJ 13 14 27CONTAGEM                                32145900MG45171000010117461324393206    07112013900BRADESCO S/A        1411201300000000019511003CC                                                                                                                                                                                                                                                                                                                                                                                           268645-5      000006
1017421002802DIR_CREDIT     LAGINHA AGRO INDUSTRIAL S/A             033453598000123RAIZEN COMBUSTIVEIS S/A                 AV DAS AMERICAS 4200 BLOCO 5            RIO DE JANEIRO                          22640102RJ4506700001                                                                                                                                          012416697           090820120000022261            01112013000401Fornecimento de 80.000(oitenta mil) metros cúbicos de álcool anidro carburante Padrão ANP, NAS SAFRAS 2012/2012 e 2013/2014.                                                                                                                    012274379000107268645-6      000007
1007421072259COBR_CAUC_COR  BOMBRIL S/A                             013495487000172DESTRO BRASIL DISTRIBUICAO LTDA         AV ANDRE COSTA 2002                     JUNDIAI                                 13214730SP4519200001024186050051537001  31102013900BRADESCO S/A        0612201300000000010184790CC                                                                                                                                                                                                                                                                                                                                                                                           268647-1      000008
1007421072259COBR_CAUC_COR  BOMBRIL S/A                             013495487000172DESTRO BRASIL DISTRIBUICAO LTDA         AV ANDRE COSTA 2002                     JUNDIAI                                 13214730SP4519200002024186130051539001  31102013900BRADESCO S/A        0612201300000000010184790CC                                                                                                                                                                                                                                                                                                                                                                                           268647-2      000009
1007420933899DIR_CREDIT     EMPARSANCO S/A                          046523239000147PREFEITURA DO MUNICIPIO DE SBCAMPO      PRACA SAMUEL SABATINI 50 CENTRO         SBCAMPO                                 09750001SP4520300001                                                                                                                                          012134761           220620120000023512101/2012    14102013000403Execução de obra de canalização de trecho do Córrego Saracantan, localizado nos bairros Baeta Neves e Nova Petrólis, com início na Rua Princesa Maria Amélia e término na Av. Amazona.                                                          056473317000108268647-3      000010
1007420933899DIR_CREDIT     EMPARSANCO S/A                          046523239000147PREFEITURA DO MUNICIPIO DE SBCAMPO      PRACA SAMUEL SABATINI 50 CENTRO         SBCAMPO                                 09750001SP4520400001                                                                                                                                          011778568           220620120000023512101/2012    15102013000403Execução de obra de canalização de trecho do Córrego Saracantan, localizado nos bairros Baeta Neves e Nova Petrólis, com início na Rua Princesa Maria Amélia e término na Av. Amazona.                                                          056473317000108268647-4      000011
